id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	postpositional phrase	non-dedicated	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
11	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	talibov2007; alekseevazaev2019	85-100; 177		Vasiliy Zerzele	-r	https://drive.google.com/file/d/1dpSoOesbj5ZzmbeBEfBPBpU7ZKc0-pKa/view?usp=drive_link	ǯinehi-ǯer jux ʕat'in-ǯi	cotton-ABL milk pour-PST	процедил молоко сквозь марлю	he poured milk through cotton	mejlanova1984	58		
12	East Caucasian	Andic	Chamalal	Lower Gakvari	village	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	bokarev1949a	53		Vasiliy Zerzele	-qχo	https://drive.google.com/file/d/1OXZ3dBmwkkGb103O2wzqPS8YJ3pT3PJl/view?usp=drive_link	čʼor buts' inna-qχo	sparrow-NOM III-flee window-ABL	воробей вылетел (букв, 'убежал’) через окно	sparrow fled through the window	bokarev1949	49	I did my best at trying to gloss this but the result is dissapointing	
13	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	path encoding	dedicated case	Path Encoding			nichols1994	24	formed through allative. some grammars don't recognize it?	Vasiliy Zerzele	-xula	https://drive.google.com/file/d/1UEOUiELLc3M8LmnPXRFFu1m7W4IPCYfp/view?usp=drive_link	so kuoraa-xula gu-sh j-ara cu shimmuo hu liela-d-o	1SG.NOM window-TRANS see:IPFV-CVBsim J-be.PST DEM two.ERG what carry:INF-D-make:IPFV.PRS	I (could) see through the window what those two were doing	I (could) see through the window what those two were doing	molochieva2010	210		
14	East Caucasian	Dargwa	Mehweb	Mehweb	language	yes	yes	path encoding	dedicated case	Path Encoding			danieletal2019	58		Vasiliy Zerzele	-di	https://drive.google.com/file/d/16C8GVaN-96pc1wcsUt-R2OitBzkFO1h9/view?usp=drive_link	škaf unza-le-ʡeʕ-di b-aʕq’-un.	wardrobe door-OBL-APUD-TRANS N-go:PFV-AOR	The wardrobe went through the door	The wardrobe went through the door	danieletal2019	68		
16	East Caucasian	Dargwa	Southwestern Dargwa	Tanti	dialect_toplevel	yes	yes	path encoding	dedicated case	Path Encoding			sumbatovalander2014	31, 57-59		Vasiliy Zerzele	-tːi	https://drive.google.com/file/d/17KZyYJ6Khp_QmjcrAB_kD9AozXYQrGRp/view?usp=drive_link	kːumi-li-gu-tːi mašina ag-ur	bridge-OBL-SUB-TRANS car leave:PF-PRET	машина проехала под мостом	the car drove under the bridge	sumbatovalander2014	69		
18	East Caucasian	Dargwa	Kubachi	Kubachi	language	yes	yes	path encoding	dedicated case	Path Encoding			magometov1963	45		Vasiliy Zerzele	-di	https://drive.google.com/file/d/1aZYKDWBKx0tWrpXGAN-FMoGa_FD5zrTZ/view?usp=drive_link	bečʼi-ze-di	head-ALL-TRANS	через голову	through the head	magometov1982	45		
15	East Caucasian	Dargwa	North-Central Dargwa	Standard Dargwa	language	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	musaev2002	49, 53, 137		Vasiliy Zerzele	-(či)-b/r-ad	https://drive.google.com/file/d/1CnyxhF0W-a4zZ9iRQQrGfy_Mttcbk8wH/view?usp=drive_link	ralliq'jana-zi njaɢ buts-аqili, Aminat ħerk'li-či.rad retaqruq-un	female.friend-INT-LAT hand take-CONV.CAUS Aminat lake-SUPER.ABL swim-AOR	Подругу руку держать заставив, Аминат переправилась через реку	Having forced her friend to hold her [Aminat] hand, Aminat crossed the river	musaev2002	137	Again, I did my best but there is a big chance I messed up in the glosses since there are no glosses in the original example and this is the only example I could use	
17	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	sumbatovamutalov2003	20-23	čir is both postposition and elative case. I have no idea how to classify this, will stick to non-dedicated.	Vasiliy Zerzele	-čir/-lir/-leher/-her	https://drive.google.com/file/d/1o7oVlz0XI-G0WhQVC5EMv9PA17kEEURE/view?usp=drive_link	q'aq'a-leher čir.ūq-an-aj	street-POSTEL step.PERF-ITR-SUBJ	to cross (SUBJ) the street	to cross the street (subjunctive)	sumbatovamutalov2003	33		
19	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	path encoding	dedicated case	Path Encoding			hewitt1995	148-149	do preverbs count?	Vasiliy Zerzele	ga(r)da-	https://drive.google.com/file/d/1_rPkmblD033_wh5qJrfoXD2JeurQqsz0/view?usp=drive_link	gada-di-s	ACROSS-go-3SG.SUBJ	X is going over/across/through	He/She/It is going across	hewitt1995	149		
20	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	path encoding	dedicated case	Path Encoding			kibriketal1996	17		Vasiliy Zerzele	-ruχu/-ridi/-rudi/-ritɬʼi	https://drive.google.com/file/d/1kMTPk5oE3A-qeCjTfXc26H3BBHE5duTV/view?usp=drive_link	ihur-a-χa-rudi	lake-OBL-AD-TRANS	through the lake	through the lake	kibriketal1996	89		
21	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative2	forker2013	80, 100, 367	to denote translative abl2 is used, but abl1 and abl2 can also mean translative in combination with ALOC suffix. There is also a translative =bito enclitic clearly stated in the grammar, though I will treat it just as an adposition and thus abl2 and abl1-ALOC get priority.	Vasiliy Zerzele	-(de)zo	https://drive.google.com/file/d/1SZ0SG3WBeYjCuJas8VfxhN8mpS2-GJYE/view?usp=drive_link	toqqo debez ratɬ’-mo-tɬ’o-zo ɬine-s=no ruk	hear.PRS you.SG.DAT earth-OBL-SPR-GEN2 what.OBL-GEN1=and sound	‘Do you hear any sound through the earth?’ (N)	Do you hear any sound through the earth?	forker2013	80		
22	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	path encoding	dedicated case	Path Encoding			isakovxalilov2012	130-137		Vasiliy Zerzele	-tɬʼ(ū)	https://drive.google.com/file/d/1TIborsxykAWdNnnYoR9530zrpNnh0DCK/view?usp=drive_link	ile atɬ-ā t'ɨrə-tɬʼo-tɬʼ metɬ-er	3PL village-INESS bridge-SUPER-TRANSL go-PST.I	Мы пошли в село через мост	we went to the village across a bridge	isakovkhalilov2012	139		
23	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	path encoding	adposition	Path Encoding	dative		nichols2011	434, 504		Vasiliy Zerzele	ɣolla	https://drive.google.com/file/d/12c0_SLqyiiWIe1__pPn58KpvfM1Btgaq/view?usp=drive_link	cysjk geanazhta jiq'ie gholla dwa-dedar	cat tree.PL.DAT between along DX-D.run.WP	The cat ran between the trees.	The cat ran through the trees.	Nichols2011	504		
24	East Caucasian	Andic	Karata-Tukita	Karata	dialect_toplevel	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	magomedbekova1971	72-73	"magomedbekova1971 c.70: ""Направительный и сквозной падежи в собственно-каратинском диалекте по значению часто не дифференцированы, в токитинском очи противопоставляются более отчетливо."" Even in grammars translative = elative and authors make no effort to distinguish the two."	Vasiliy Zerzele	-gal	https://drive.google.com/file/d/18FlpPXwISJHay1yVHGYrRL2DtVqSPc9n/view?usp=drive_link	bajdan-tɬ'a-gal	square-SUPER-EL	с площади, через площадь	from the square/through the square	magomedbekova1971	73		
25	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	kibriketal1972	140, 148		Vasiliy Zerzele	-(r/χ)-illi	https://drive.google.com/file/d/1v5zZgcE6HlDxLv0to4nikQC8EihX-3SN/view?usp=drive_link	zw wnka-χilli havar aχ-šømø	1SG.NOM river-TARGETEL up go-PST	я по-реке вверх шел	I went up along the river	kibriketal1972	140		
26	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	path encoding	dedicated case	Path Encoding			khalilova2009	74		Vasiliy Zerzele	-ɣužaz	https://drive.google.com/file/d/1MyS4CpHGRlZkWfXbXdBHh2dDCZidtkE8/view?usp=drive_link	ɨtɬ'o ílʲo Iqqo-ɣul m-ok’-i Aɣvali-ɣužaz	last.year 1PL.ABS Inkhokwari.CONT-VERS HPL-go-PST.W Agvali-TRANSL	Last year we went to Inkhokwari through Agvali	Last year we went to Inkhokwari through Agvali	khalilova2009	93		
27	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	authier2009	216		Vasiliy Zerzele	-aˤ	https://drive.google.com/file/d/1BG39IBMAiQPIU8KSwlnFSRQYpEHZE0VY/view?usp=drive_link	žin kur-aˤ ar ja-rč’ar-džiz xhidžik ča-p-džib	1PL.EXCL river-INEL PV-pass-SIMUL water.SUB PV-stumble-AOR.HPL	En passant la rivière, nous sommes tombés dans l’eau.	As we crossed the river, we fell into the water.	authier2009	216		
28	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	abdullaevaetal2014	189		Vasiliy Zerzele	-dan	https://drive.google.com/file/d/1i90r4xHbrBmUm_-P2KJfM6prMUjJmwO1/view?usp=drive_link	jurt-dan čɯq-dɯ kjopjur-ler-den øtdju	village-ABL leave-3SG bridge-PL-ABL go-PST	Он вышел из села, прошел через мосты	he left the village, passed through the bridges	abdullaevaetal2014	189		
29	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	path encoding	dedicated case	Path Encoding			kazenin2013	145		Vasiliy Zerzele	-χ	https://drive.google.com/file/d/1K8wM0cFWyqSLa3dBvo9r8HpEAdn592te/view?usp=drive_link	zu-n k:ak:an ban bjuqʰajs:a-r cʼaraj-χ zanazissa insanta-l	2PL-DAT show do could-3PL fire-TRANSL go people-ERG	Вам могут показать людей, идущих через огонь	they might show you people going through fire	kazenin2013	145		
30	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	haspelmath1993	157, 200, 316	inessive AND inelative. Compare haspelmath1993 p. 200 (473b) and p. 205 (488). It doesn't help that two suffixes are distinguished only by a weak approximant like j	Vasiliy Zerzele	-a(j)	https://drive.google.com/file/d/1umh7xwbbQWjk8hBsEcLHs0-KdM9kTppJ/view?usp=drive_link	čun pud hafte.d-a saki wiri y.lkwe.d-a qeqwe-da.	we:ABS three week-INESS almost all country-INESS pass-FUT	In three weeks we will pass through almost the whole country	In three weeks we will pass through almost the whole country	haspelmath1993	200		
31	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	path encoding	adposition	Path Encoding	ablative		baskakov1973	276, 281	+ ablative case	Vasiliy Zerzele	œtedi, ɯstinnen	https://drive.google.com/file/d/1lEto9T0RKe9dSm4nzS3acr5rkrBsdag5/view?usp=drive_link	keš sajɯn kullɯk-tan šɯk-sa ol sosɯ kœpir-den œtedi	evening every work-ABL leave-PST 3SG DET bridge-ABL through	Каждый вечер, возвращаясь с работы, он проходит через этот мост	every evening after works he leaves through this bridge	baskakov1973	276		
32	East Caucasian	Lezgic	Rutul	Mukhad	dialect_nt1	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	ibragimov2004	58	"Not sure about semantics. Formed from a ""locative"" case -k/x + la. Seems to function as an ablative/elative case. I am also perplexed by the transcription. The original description of the phonemes in the source is ""-к'/-xь'"". At the same time, no such consonants are described on page 31."	Vasiliy Zerzele	-kla/-xla	https://drive.google.com/file/d/1CVOLp5Hv9_0gE0aprQWVezEh1vK54WhC/view?usp=drive_link	zir xid-ikla kuv-č'ur-i	cow water-ABL PREV-go-PST	корова перешла через воду	cow crossed the water	ibragimov2004	58		
33	East Caucasian	Rutul	Rutul	Khnov	village	no	yes	path encoding	non-dedicated case	Path Encoding		dative	authier2023	48		Vasiliy Zerzele	-s	https://drive.google.com/file/d/1k1msc-Od9wlqFO4n7dpECqdHgdTIJl7r/view?usp=drive_link	axɨr-da sa xal-ɨ-s raast yirq’ɨ-rɨ	end-AD one house-OBL-DAT meet H.come.PF-PERF	In the end he came across a house	In the end he came across a house	authier2023	48		
34	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	babaliyeva2013	39		Vasiliy Zerzele	-ʔan	https://drive.google.com/file/d/1c2JFnRCKPzwGKfL2c4FmXFMYCgRo1zTv/view?usp=drive_link	žærɣlar.i-ʔan-sina a<b>qh-nu	rock.PL-INEL-down <N>fall-AOR	Il tomba vers le bas à travers les roches	He fell down through the rocks	babaliyeva2013	39		
35	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	path encoding	adposition	Path Encoding	no specific case		authier2012	54	particle? word? Def not a case	Vasiliy Zerzele	ez	https://drive.google.com/file/d/1xUl-NzZSjx4ZweL9mE_bTEKl_y8l2ZbE/view?usp=drive_link	u-ho edembir-yt jes-de ez tepei	3-PL FOC.PST-3PL jump-PART ABL bonfire	Ils sautaient au-dessus du feu	they were jumping through the bonfire	authier2012	54		
36	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	path encoding	adposition	Path Encoding	allative		magomedova2003	45		Vasiliy Zerzele	aqχa	https://drive.google.com/file/d/10j04GSFHycbichTafotpi66dmcXd377f/view?usp=drive_link	ɬessa-qχa aqχa	river-ALL along	вдоль реки	along the river	magomedova2003	45		
37	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	path encoding	non-dedicated case	Path Encoding		elative	kibrik1999	174		Vasiliy Zerzele	-le	https://drive.google.com/file/d/1-a29lIig6xyR3TAHZlFDnYGcHwBQ0ssL/view?usp=drive_link	gade-b-iš-e q'ol-n-ɢ-ē-q'ol-n-ɢ-ē alʁah-a-jī jilʁ-ī-l-e dawar-ā-r	boy-PL-OBL.PL-ERG two-A-OBL.1-ERG-two-A-OBL.1-ERG NPL.move-IPF-EM1 bridge-OBL-SUP-EL ram-PL-NOM.PL	Мальчики по двое переводили через мост баранов.	Both boys moved rams across the bridge	kibrik1999	174		
38	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	path encoding	dedicated case	Path Encoding			bokarev1959	189		Vasiliy Zerzele	-az	https://drive.google.com/file/d/1BCSPkBhxvaiRzLJYsYqFFEdyCuGRjX5_/view?usp=drive_link	qido-tɬ’-az k'otɬa	wall-SUPERESS-TRANSL jump.across	перепрыгнуть через стенку	to jump across a wall	xalilov1999	307		
39	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	path encoding	dedicated case	Path Encoding			desheriev1953	61	Might not exist anymore?	Vasiliy Zerzele	-goɣdaħ/-guiħreidaħ	https://drive.google.com/file/d/1RCUtwjeAuy6rgoxWNuT7yMZvMO5QIISf/view?usp=drive_link	Duisi-goɣdaħ v-uit'-as T'batani	Duisi-TRANSL M-go-1SG T'batani	через Дуиси иду || еду я в Тбатани	I am going to Tbatani through Duisi	desheriev1953	66		
40	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	path encoding	non-dedicated case	Path Encoding		ablative	alekseevetal2008	41		Vasiliy Zerzele	-aχun	https://drive.google.com/file/d/18nc6IdlYv9MsnzIxG6vbqM1mRU2ccnQ1/view?usp=drive_link	me durb-in-aχun χe=ne cːoroj-e-sa.	PROX pipe-O-ABL water=3SG flow-LV-PRS	По этой трубе течет вода	water flows along this pipe	alekseevetal2008	41		
