CATEGORY	BIBTEXKEY	ADDRESS	ANNOTE	AUTHOR	BOOKTITLE	CHAPTER	CROSSREF	EDITION	EDITOR	HOWPUBLISHED	INSTITUTION	JOURNAL	KEY	MONTH	NOTE	NUMBER	ORGANIZATION	PAGES	PUBLISHER	SCHOOL	SERIES	TITLE	TYPE	VOLUME	YEAR	TITLE_TRANSLATION	BOOKTITLE_TRANSLATION	URL
PHDTHESIS	alisultanova2009	Makhachkala		Алисултанова, Меседу А.																Дагестанский научный центр Российской академии наук  Институт языка, литературы и искусства им. Гамзата Цадасы		Лексика андийского языка			2009			
BOOK	alisultanovsulejmanova2019	Makhachkala		Алисултанов, Алисултан С. and Сулейманова, Таисия А.															АЛЕФ			Рутульско-русский словарь			2019	Rutul-Russian dictionary		
BOOK	authier2009	Paris		Authier, Gilles															Peeters			Grammaire kryz			2019			
ARTICLE	authier2010			Authier, Gilles								Turkic Languages						14--42				Azeri morphology in Kryz (East Caucasian)		14	2010			
BOOK	authier2012	Wiesbaden		Authier, Gilles															Dr. Ludwig Reichert Verlag Wiesbaden			Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l’est			2012			
MISC	authierdraft2020	Berlin/New York		Authier, Gilles	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Tindi			2020			
INCOLLECTION	authierhaciyev2016	Berlin/Boston		Authier, Gilles and Haciyev, Adigözel	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3546--3563	De Gruyter Mouton			Budugh			2016			
MISC	aytemirova2007	Makhachkala		Айтемирова, Айшат Х.											Автореферат диссертации на соискание учёной степени кандидата филологических наук				ИЯЛИ			Функционально-семантическая характеристика послелогов аварского языка и предлогов немецкого языка			2007	Functional-semantic characterization of Avar postpositions and  German prepositions		
PHDTHESIS	azaev1974	Makhachkala		Азаев, Халил Г.																Дагестанский филиал АН СССР, Институт истории языка и литературы им. Г. Цадасы		Лексика и словообразование ботлихского языка			1974	Lexicon and word formation in Botlikh		
INCOLLECTION	azaev2000	Moscow/Makhachkala		Азаев, Халил Г.	Языки Дагестана				Гамзатов, Гаджи Г.									346--359	Восток			Ботлихский язык			2000	Botlikh	Languages of Daghestan	
PHDTHESIS	babaliyeva2013			Babaliyeva, Ayten																École Pratique des Hautes Études		Études sur la morphosyntaxe du Tabasaran Littéraire			2013			
BOOK	bammatov2013	Makhachkala		Бамматов, Бурган Г. and Гаджиахмедов, Нурмагомед Э.															ИЯЛИ			Кумыкско-русский словарь			2013	Kumyk-Russian dictionary		
BOOK	baskakov1940	Moscow		Баскаков, Николай А.															Издательство Академии наук СССР			Ногайский язык и его диалекты: грамматика, тексты и словарь			1940	Nogai and its dialects: grammar, texts and dictionary		
BOOK	baskakov1963	Moscow		Баскаков, Николай А.															Государственное издательство иностранных и национальных словарей			Ногайско-русский словарь			1963	Nogai-Russian dictionary		
INCOLLECTION	baskakov1996	Moscow		Баскаков, Николай А.	Языки мира. Тюркские языки				Рогова, Наталья В. and Романова, Ольга И. and Черкасова, И. М.									328--335	Институт языкознания РАН			Ногайский язык			1996	Nogai language	Languages of the world. Turkic languages	
INCOLLECTION	belyaev2018	Leiden		Belyaev, Oleg	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									80--119	Brill			Aorist, Resultative and Perfect in Shiri Dargwa and beyond			2018			
INCOLLECTION	boeder2000	Berlin/New York		Boeder, Winfried	Evidentials. Turkic, Iranian and neighbouring languages				Johanson, Lars and Utas, Bo									275--328	Mouton de Gruyter			Evidentiality in Georgian			2000			
BOOK	bokarev1949a	Moscow/Leningrad		Бокарёв, Анатолий А.															Издательство Академии наук СССР			Очерк грамматики чамалинского языка			1949	Grammar sketch of Chamalal		
BOOK	bokarev1949b	Moscow		Бокарёв, Анатолий А.															Издательство Академии наук СССР			Синтаксис аварского языка			1949	Syntax of Avar		
BOOK	bokarev1959	Moscow		Бокарёв, Евгений А.															Академия			Цезские (дидойские) языки Дагестана			1959	Tsezic (Didoic) languages of Daghestan		
BOOK	bokarev1959tsez	Moscow		Бокарёв, Евгений А.	Цезские (дидойские) языки Дагестана				Бокарёв, Евгений А.									175--221	Академия			Цезский язык			1959	Tsez	Tsezic (Didoic) languages of Daghestan	
BOOK	cercvadze1965	Tbilisi		Cercvadze, Ilia I.															Mecniereba			Andiuri ena			1965	The Andi language		
INCOLLECTION	chechuro2019	Berlin		Chechuro, Ilya	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									39--72	Language Science Press			Nominal morphology of Mehweb			2019			
INCOLLECTION	chumakina2016	Berlin/Boston		Chumakina, Marina	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3595--3604	De Gruyter Mouton			Archi			2016			
INCOLLECTION	chumakina2018	Leiden		Chumakina, Marina	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									215--246	Brill			Mood in Archi: Realization and semantics			2018			
INCOLLECTION	chumakinacorbett2008	Moscow		Chumakina, Marina and Corbett, Greville G.	Фонетика и нефонетика. К 70-летию Сандро В. Кодзасова				Архипов, Александр В. and Федорова, Ольга В.									184--194	Языки славянских культур			Archi: the challenge of an extreme agreement system			2008			
MISC	chumakinaetal2007			Chumakina, Marina and Brown, Dunstan and Corbett, Greville G. and Quilliam, Harley															University of Surrey			A dictionary of Archi: Archi-Russian-English (Online edition)			2007			http://www.smg.surrey.ac.uk/archi-dictionary
INCOLLECTION	comrie2007	University Park, PA		Comrie, Bernard	Morphologies of Asia and Africa				Kaye, Alan S.									1193--1204	Eisenbrauns			Tsez (Dido) Morphology			2007			
BOOK	comrieetal2015	Leipzig		Comrie, Bernard and Khalilov, Madzhid and Khalilova, Zaira															Max Planck Institute for Evolutionary Anthropology			A grammar of Bezhta			2015			
INCOLLECTION	comriepolinsky2007	Louvain/Paris/Dudley MA		Comrie, Bernard and Polinsky, Maria	L'Énonciation médiatisée II				Guentchéva, Zlatka and Landabaru, John									335--350	Peeters			Evidentials in Tsez			2007			
INCOLLECTION	comriepolinskydraft2020	Berlin/New York		Comrie, Bernard and Polinsky, Maria	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			Tsez			2020			
MISC	creissels2008			Creissels, Denis											Questionnaire							Optative in Akhvakh			2008			
INCOLLECTION	creissels2012	Berlin/New York		Creissels, Denis	Clause linkage in cross-linguistic perspective				Gast, Volker and Diessel, Holger									127--156	De Gruyter Mouton			External agreement in the converbal construction of Northern Akhvakh			2012			
INCOLLECTION	creissels2013	Amsterdam/Philadelphia		Creissels, Denis	The Genitive				Carlier, Anne and Verstraete, Jean-Christophe									333--354	John Benjamins			Floating genitives and possessive framing in Northern Akhvakh			2013			
INCOLLECTION	creissels2016	Berlin/Boston		Creissels, Denis	Word-Formation. An International Handbook of the Languages of Europe. Volume 5				Müller, Peter O. and Ohnheiser, Ingeborg and Olsen, Susan and Rainer, Franz									3685--3694	De Gruyter Mouton			Akhvakh			2016			
INCOLLECTION	creissels2018	Leiden		Creissels, Denis	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									166--187	Brill			Perfective tenses and epistemic modality in Northern Akhvakh			2018			
MISC	creisselsdraft2020	Berlin/New York		Creissels, Denis	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			A sketch of Northern Akhvakh			2020			
INCOLLECTION	daniel2001	Moscow		Даниэль, Михаил А.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									203--230	Наследие			Падеж и локализация			2001	Case and localization	The Bagvalal language. Grammar, texts, dictionaries	
INCOLLECTION	daniel2001a	Moscow		Даниэль, Михаил А.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									369--376	Наследие			Предикатно-аргументное ядро			2001	Case marking of core arguments	The Bagvalal language. Grammar, texts, dictionaries	
MISC	daniel2006			Daniel, Michael											Morphosyntaxe des langues du Caucase, 11-14.12.2006, INALCO Paris. Handout							Reported speech in Archi: a new approach to the old data			2006			
BOOK	danieletal2019	Berlin							Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry										Language Science Press			The Mehweb language. Essays on phonology, morphology and syntax			2019			
INCOLLECTION	daraganmaisak2001	Moscow		Дараган, Юлия В. and Майсак, Тимур А.	Багвалинский язык. Грамматика, тексты, словари				Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									173--184	Наследие			Частицы, союзы и транскатегориальные показатели			2001	Particles, conjunctions and transcategorical markers	The Bagvalal language. Grammar, texts, dictionaries	
BOOK	desheriev1953	Moscow		Дешериев, Юнус Д.															Академия			Бацбийский язык			1953	Tsova-Tush language		
BOOK	desheriev1959	Moscow		Дешериев, Юнус Д.															Академия			Грамматика хиналугского языка			1959	Khinalug grammar		
BOOK	desheriev1963	Grozny		Дешериев, Юнус Д.															Чечено-Ингушское книжное издательство			Сравнительно-историческая грамматика нахских языков и проблемы происхождения и исторического развития горских кавказских народов			1963	Historical-comparative grammar of Nakh languages and the origin and historical development of Caucasian mountain peoples		
INCOLLECTION	desherieva1999	Moscow		Дешериевa, Tамара И.	Языки мира. Кавказские языки.				Алексеев, Михаил Е. and Климов, Георгий А. and Старостин, Сергей А. and Тестелец, Яков Г.									166--173	Российская академия наук			Нахские языки			1999	Nakh languages	Languages of the World. Caucasian Languages.	
BOOK	dirr1906	Tbilisi		Дирр, Адольф																		Краткий грамматический очерк андийского языка с текстами,сборником андийских слов и русским к нему указателем.			1906	Brief outline of Andi language with a compilation of Andi words and Russian index		
BOOK	dmitriev1940	Moscow		Дмитриев, Николай К.															Академия			Грамматика кумыкского языка			1940	Kumyk grammar		
INCOLLECTION	dobrushina2011	Bochum		Dobrushina, Nina	Tense, aspect, modality and finiteness in East Caucasian languages				Authier, Gilles and Maisak, Timur									95--130	Brockmeyer			The optative domain in East Caucasian languages			2011			
INCOLLECTION	dobrushina2019	Berlin		Dobrushina, Nina	The Mehweb language. Essays on phonology, morphology and syntax				Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry									117--165	Language Science Press			Moods of Mehweb			2019			
INCOLLECTION	dobrushinaetal1996	Munich/Newcastle		Dobrushina, Nina and Kibrik, Aleksandr and Tatevosov, Sergei	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									44--74	Lincom Europa			Verbs			1996			
INCOLLECTION	dobrushinatatevosov1996	Munich/Newcastle		Dobrushina, Nina and Tatevosov, Sergei	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									91--106	Lincom Europa			Usage of verbal forms			1996			
BOOK	dum-tragut2009	Amsterdam/Philadelphia		Dum-Tragut, Jasmine															John Benjamins			Armenian			2009			
BOOK	dzhidalaev1994	Makhachkala		Джидалаев, Нурислам С.															Институт истории, языка и литературы им. Г. Цадасы			Русско-лакский словарь			1994	Russian-Lak dictionary		
MISC	dzhidalaevetal2022	Makhachkala		Джидалаев, Нурислам С. and Магомедова, Заграт Дж. and Халилов, Маджид Ш.															ИЯЛИ			Словарь хваршинского языка			2022	Khwarshi dictionary		
PHDTHESIS	eldarova1995	Makhachkala		Эльдарова, Роза Г.																ИПЦ ДГУ		Морфология лакского глагола			1995	Morphology of the Lak verb		
INCOLLECTION	fedorova1996	Munich/Newcastle		Fedorova, Olga	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									76--91	Lincom Europa			Usage of nominal forms			1996			
BOOK	forker2013	Berlin/Boston		Forker, Diana															De Gruyter Mouton			A grammar of Hinuq			2013			
INCOLLECTION	forker2014	Oxford		Forker, Diana	The grammar of knowledge. A cross-linguistic typology				Aikhenvald, Alexandra Y. and Dixon, R.M.W.									52--68	Oxford University Press			The grammar of knowledge in Hinuq			2014			
INCOLLECTION	forker2018avar	Leiden		Forker, Diana	The semantics of verbal categories in Nakh-Daghestanian languages				Forker, Diana and Maisak, Timur									188--214	Brill			The semantics of evidentiality and epistemic modality in Avar			2018			
ARTICLE	forker2018b			Forker, Diana								Linguistics				4		865--894				Gender agreement is different		56	2018			
ARTICLE	forker2019			Forker, Diana								Language Typology and Universals				2		221--253				The impact of language contact on Hinuq: Phonology, morphology, syntax, and lexicon		72	2019			
ARTICLE	forker2019b			Forker, Diana								Sprachwissenschaft						171--199				Reported speech constructions in Sanzhi Dargwa and their extension to other areas of grammar		44	2019			
BOOK	forker2020dargwa	Berlin		Forker, Diana															Language Science Press			A grammar of Sanzhi Dargwa			2020			
MISC	forkerdraft2020	Oxford		Forker, Diana	Oxford Handbook of Languages of the Caucasus				Polinsky, Maria										Oxford University Press			Avar grammar sketch			2020			
ARTICLE	friedman1984			Friedman, Victor A.								Folia Slavica				1/2		135--149				Status in the Lak verbal system		7	1984			
INCOLLECTION	friedman2007	Louvain/Paris/Dudley MA		Friedman, Victor A.	L'Énonciation médiatisée II				Guentchéva, Zlatka and Landabaru, John									351--376	Peeters			The expression of speaker subjectivity in Lak (Daghestan)			2007			
BOOK	gadzhiakhmedov2000	Makhachkala		Гаджиахмедов, Нурмагомед Э.															Юпитер			Словоизменительные категории имени и глагола в кумыкском языке			2000	Nominal and verbal inflectional categories in Kumyk		
PHDTHESIS	gadzhieva2007			Гаджиева, Марьям З.																Дагестанский государственный педагогический университет		Фонетические и морфологические особенности тукитинского диалекта каратинского языка			2007			
MISC	gadzhimagomedov2019			Гаджимагомедов, М. З.											manuscript							Анчихский язык (рукопись)			2019	Anchiq (manuscript)		
INCOLLECTION	ganenkov2008	Moscow		Ганенков, Дмитрий С.	Удинский сборник: грамматика, лексика, история языка				Алексеев, Михаил Е. and Майсак, Тимур А. and Ганенков, Дмитрий С. and Ландер, Юрий А.									11--53	Академия			Морфологическая и семантическая характеристика падежей удинского языка			2008	Morphological and semantic characteristics of Udi	Udi. Grammar. Lexicon. History of the language	
MISC	ganenkovetal2009	Moscow		Ганенков, Дмитрий С. and Майсак, Тимур А. and Мерданова, Солмаз Р.	НеФестшрифт: Статьи в подарок (к юбилею А.Е. Кибрика)														Институт языкознания РАН			Дискурсивная анафора в агульском языке			2009	Discourse anaphora in Agul	Non-Festschrift: Papers dedicated to A.E. Kibrik for his anniversary	
BOOK	ganieva2002	Makhachkala		Ганиева, Фаида А.															ДНЦ РАН			Хиналугско-русский словарь			2002	Khinalug-Russian dictionary		
BOOK	gasanova1971	Makhachkala		Гасанова, Саида М.															Институт истории, языка и литературы им. Г. Цадасы			Очерки даргинской диалектологии			1971	Essays on Dargwa dialectology		
BOOK	gaydarovetal2009	Makhachkala		Гайдаров, Раджидин. И. and Гюльмагомедов, Ахмедуллах Г. and Мейланова, Унеизат А. and Талибов, Букар Б.															Дагестанский научный центр Российской академии наук Институт языка, литературы и искусства им. Гамзата Цадасы			Современный лезгинский язык			2009	Modern Lezgian		
BOOK	gimbatov2006	Makhachkala		Гимбатов, М. М.															ДНЦ РАН			Аварско-русский словарь (рукопись)			2006	Avar-Russian dictionary (manuscript)		http://avar.me/
BOOK	griunberg1963	Leningrad		Грюнберг, Александр Л.															Издательство академии наук СССР			Язык североазербайджанских татов			1963	The language of the Northern Azerbaijani Tats		
BOOK	gudava1962	Tbilisi		Gudava, Togo E.															Mecniereba			Botlixuri ena			1962	The Botlikh language		
INCOLLECTION	gudava1967	Moscow		Гудава, Того Е.	Языки народов СССР. Том 4. Иберийско-кавказские языки				Бокарев, Евгений А. and Ломатидзе, К.									293--306	Наука			Ботлихский язык			1967	Botlikh	Languages of the peoples of USSR. Volume 4. Ibero-caucasian languages	
BOOK	gukasyan1974	Baku		Гукасян, Ворошил															Элм			Удинско-азербайджанско-русский словарь			1974	Udi-Azerbaijani-Russian dictionary		
BOOK	harris2002	Oxford		Harris, Alice C.															Oxford University Press			Endoclitics and the origins of Udi morphosyntax			2002			
BOOK	haspelmath1993	Berlin/New York		Haspelmath, Martin															Mouton de Gruyter			A grammar of Lezgian			1993			
INCOLLECTION	haspelmath1996	Munich/Newcastle		Haspelmath, Martin	Godoberi				Kibrik, Alexandr E. and Tatevosov, Sergej G. and Eulenberg, Alexander									174--196	Lincom Europa			Complement clauses			1996			
BOOK	hewitt1995	London		Hewitt, George								London Oriental and African Language Library							School of Oriental and African Studies, University of London	University of London		Georgian. A Structural Reference Grammar		2	1995			
BOOK	hewitt2005	London/New York		Hewitt, George															Routledge			Georgian. A Learner's Grammar			2005			
INCOLLECTION	holiskygagua1994	Delmar NY		Holisky, Dee Ann and Gagua, Rusudan	The indigenous languages of the Caucasus. Volume 4. Part 2				Smeets, Riek									147--212	Caravan Books			Tsova-Tush (Batsbi)			1994			
BOOK	ibragimov1978	Moscow		Ибрагимов, Гарун Х.															Академия Наук СССР			Рутульский язык			1978	Rutul		
BOOK	ibragimov1990	Moscow		Ибрагимов, Гарун Х.															Наука			Цахурский язык			1990	Tsakhur language		
BOOK	ibragimov2004	Makhachkala		Ибрагимов, Гарун Х.															Народы Дагестана			Рутульский язык			2004	Rutul		
BOOK	ibragimovnurmamedov2010	Makhachkala		Ибрагимов, Гарун Х. and Нурмамедов, Юнус М.															Дагестанский Государственный Педагогический Университет			Цахурско-русский словарь			2010	Tsakhur-Russian dictionary		
BOOK	isaev2001	Makhachkala		Исаев, Мамогед-Шапи А.															Институт истории, языка и литературы им. Г. Цадасы			Русско-даргинский словарь			2001	Russian-Dargwa dictionary		
BOOK	isakovxalilov2001	Makhachkala		Исаков, Исак А. and Халилов, Маджид Ш.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Гунзибско-русский словарь			2001	Hunzib-Russian dictionary		
BOOK	isakovxalilov2012	Makhachkala		Исаков, Исак А. and Халилов, Маджид Ш.															Институт истории, языка и литературы им. Г. Цадасы			Гунзибский язык (Фонетика. Морфология. Словообразование. Лексика. Тексты)			2012	Hunzib (Phonetics, Morphology, Word-Formation, Lexicon, Texts)		
BOOK	ismailova2011	Makhachkala		Исмаилова, Эминат И.															ДНЦ РАН Институт языка, литературы и искусства им. Г. Цадасы и Институт эволюционной антропологии им. М. Планка			Русско-рутульский словарь			2011	Russian-Rutul dictionary		
BOOK	jakovlev1940	Moscow/Leningrad		Яковлев, Николай Ф.															Издательство Академии Наук СССР			Синтаксис чеченского литературного языка			1940	Syntax of Standard Chechen		
BOOK	jakovlev1960	Grozny		Яковлев, Николай Ф.															Издательство Академии наук СССР			Морфология чеченского языка			1960	Chechen morphology		
INCOLLECTION	johanson2018	Oxford		Johanson, Lars	The Oxford Handbook of Evidentiality				Aikhenvald, Alexandra Y.									510--524	Oxford University Press			Turkic indirectivity			2018			
INCOLLECTION	kalinina1999	Moscow		Калинина, Елена Ю.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е.									420--448	Наследие			Предложения с именным сказуемым			1999	Clause with a nominal subject	Elements of Tsakhur grammar in a typological perspective	
BOOK	kalmykovasarueva1973	Cherkessk		Калмыкова, Софья А. and Саруева, Мария Ф.															Ставропольское книжное издательство			Грамматика ногайского языка			1973	Nogai grammar		
BOOK	kankava2001	Tbilisi		Канкава, Михаил В.															Сакартвелос мацие			Грузинско-русский словарь			2001	Georgian-Russian dictionary		
BOOK	karasaevmaciev1978	Moscow		Карасаев, Айсаш Т. and Мациев, Ахмет Г.															Русский язык			Русско-чеченский словарь			1978	Russian-Chechen dictionary		
MISC	kasplingua														Accessed: 2021-12-17							KaspLingua			2016			
MISC	kayeetaldraft2020	Berlin/New York		Kaye, Stephen and Martynova, Aleksandra and Moroz, George and Rochant, Neige and Verhees, Samira and Zakirova, Aigul	The Caucasian Languages. An International Handbook. Volume 2. Nakh-Daghestanian				Koryakov, Yuri and Maisak, Timur										De Gruyter Mouton			A sketch of Andi (Zilo dialect)			2020			
BOOK	kazenin2013	Makhachkala		Казенин, Константин И.															ИЯЛИ			Синтаксис современного лакского языка			2013	Syntax of contemporary Lak		
BOOK	kerimov1985	Makhachkala		Керимов, Керим Р.															Институт истории, языка и литературы им. Г. Цадасы			Глагол хиналугского языка			1985	Verbs of Khinalug		
BOOK	khajdakov1962	Moscow		Хайдаков, Саид М.															Государственное издательство иностранных и национальных словарей			Лакско-русский словарь			1962	Lak-Russian dictionary		
BOOK	khajdakov1966	Moscow		Хайдаков, Саид М.															Наука			Очерки по лакской диалектологии			1966	Sketches of Lak dialectology		
PHDTHESIS	khalilova2009			Khalilova, Zaira																University of Leiden		A grammar of Khwarshi			2009			
ARTICLE	khalilova2011			Khalilova, Zaira								Linguistic Discovery				2		30--48				Evidentiality in Tsezic languages		9	2011			
BOOK	kibrik1977	Moscow		Кибрик, Александр Е.															Издательство Московского университета			Опыт структурного описания арчинского языка. Том {II}. Таксономическая грамматика			1977	Structural description of Archi. Volume II. Taxonomic grammar		
BOOK	kibrik1977dict	Moscow		Кибрик, Александр Е.															Издательство Московского университета			Арчинский язык. Тексты и словари			1977	Archi. Texts and dictionaries		
BOOK	kibrik1977dynamic	Moscow		Кибрик, Александр Е.															Издательство Московского университета			Опыт структурного описания арчинского языка. Том {III}. Динамическая грамматика			1977	Structural description of Archi. Volume III. Dynamic grammar		
BOOK	kibrik1977vocphon	Moscow		Кибрик, Александр Е. and Кодзасов, Сандро В. and Оловянникова, Ирина П. and Самедов, Д. С.															Издательство Московского университета			Опыт структурного описания арчинского языка. Том {I}. Лексика и фонетика			1977	Structural description of Archi. Volume I. Vocabulary and phonetics		
INCOLLECTION	kibrik1985	Jena		Kibrik, Andrej A.	Sprachen Europas und Asiens				Fähnrich, Heinz									55--66	Friedrich Schiller Universität			Absentiv-aorist und resultativ in der andischen Sprache			1985			
INCOLLECTION	kibrik1994a	Delmar, NY		Kibrik, Aleksandr E.	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2				Smeets, Rieks									297--365	Caravan Press			Archi			1994			
INCOLLECTION	kibrik1994b	Delmar, NY		Kibrik, Aleksandr E.	The Indigenous Languages of the Caucasus. Vol. 4: The Northeast Caucasian Languages. Part 2				Smeets, Rieks									367--406	Caravan Press			Khinalug			1994			
BOOK	kibrik1999	Moscow							Кибрик, Александр Е.										Наследие			Элементы цахурского языка в типологическом освещении			1999	Elements of Tsakhur grammar in a typological perspective		
INCOLLECTION	kibrik1999sem	Moscow		Кибрик, Александр Е.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е.									347--353	Наследие			Семантическая эргативность			1999	Semantic ergativity	Elements of Tsakhur grammar in a typological perspective	
INCOLLECTION	dobrushina1999	Moscow		Добрушина, Нина Р.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е.									58–85	Наследие			Глагол			1999	Verb	Elements of Tsakhur grammar in a typological perspective	
BOOK	kibrik2001	Moscow							Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.										Наследие			Багвалинский язык. Грамматика, тексты, словари			2001	The Bagvalal language. Grammar, texts, dictionary		
INCOLLECTION	dobrushinaetal2001	Moscow		Добрушина, Нина Р. and Кибрик, Александр Е. and Татевосов, Сергей Г.	Элементы цахурского языка в типологическом освещении				Кибрик, Александр Е. and Казенин, Константин И. and Лютикова, Екатерина А. and Татевосов, Сергей Г.									67–104	Наследие			Синтетические глагольные формы			1999	Synthetic verb forms	The Bagvalal language. Grammar, texts, dictionary	
