source_type	category	bibtexkey	language	idiom	type	comment	screenshot	archived	contributor	comment_CN	checked
grammar	book	cercvadze1965	Andi	Rikvani	village		no	yes			Y
grammar	book	cercvadze1965	Andi	Zilo	village		no	yes			Y
other	incollection	chechuro2019	Dargwa	Mehweb	village		no	danieletal2019			Y
other	incollection	chumakina2016	Archi	Archib	village		no	no			Y
other	incollection	chumakina2018	Archi	Archib	village		no	yes	Chiara Naccarato		Y
other	incollection	chumakinacorbett2008	Archi	Archib	village		no	yes			Y
dictionary	misc	chumakinaetal2007	Archi	Archib	village		no	no	Anastasia Panova		Y
other	incollection	comrie2007	Tsez	Tsez	language		no	yes	Polina Smyr		Y
grammar	book	comrieetal2015	Bezhta	Bezhta	dialect_toplevel		no	yes			Y
grammar	book	comrieetal2015	Bezhta	Tlyadal	village		no	yes			Y
grammar	book	comrieetal2015	Bezhta	Khasharkhota	village		no	yes			Y
other	incollection	comriepolinsky2007	Tsez	Asakh	dialect_nt1		yes	yes			Y
other	incollection	comriepolinskydraft2020	Tsez	Asakh	dialect_nt1		no	no	Anastasia Panova		Y
other	unpublished	creissels2008	Akhvakh	Akakhdere	village		no	no			Y
other	incollection	creissels2012	Akhvakh	Akakhdere	village		no	yes			Y
other	incollection	creissels2013	Akhvakh	Northern Akhvakh	dialect_toplevel		no	yes	Chiara Naccarato		Y
other	incollection	creissels2016	Akhvakh	Akakhdere	village		no	no			Y
other	incollection	creissels2018	Akhvakh	Akakhdere	village		no	yes			Y
grammar	incollection	creisselsdraft2020	Akhvakh	Northern Akhvakh	dialect_toplevel		no	yes			Y
other	incollection	daniel2001	Bagvalal	Kvanada	village		yes	kibrik2001	Chiara Naccarato		Y
other	unpublished	daniel2006	Archi	Archib	village		no	yes			Y
grammar	book	danieletal2019	Dargwa	Mehweb	village		no	yes			Y
other	incollection	daraganmaisak2001	Bagvalal	Kvanada	village		no	kibrik2001			Y
grammar	book	desheriev1953	Tsova-Tush	Zemo-Alvani	village		yes	yes			Y
grammar	book	desheriev1959	Khinalug	Khinalug	village		yes	yes			Y
other	book	desheriev1963	Chechen	Standard Chechen	language		no	yes			Y
other	book	desheriev1963	Ingush	Standard Ingush	language		no	yes			Y
other	book	desheriev1963	Tsova-Tush	Zemo-Alvani	village		no	yes		check idiom and type	Y
grammar	incollection	desherieva1999	Chechen	Standard Chechen	language		no	yes			Y
grammar	incollection	desherieva1999	Ingush	Standard Ingush	language		no	yes			Y
grammar	incollection	desherieva1999	Tsova-Tush	Zemo-Alvani	village		no	yes		check idiom and type	Y
grammar	book	dirr1906	Andi	Andi	village		yes	yes			Y
grammar	book	dmitriev1940	Kumyk	Standard Kumyk	language		yes	yes			Y
other	incollection	dobrushina2011	Khwarshi	Khwarshi	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Kumyk	Standard Kumyk	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Archi	Archi	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Akhvakh	Akhvakh	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Bagvalal	Bagvalal	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Bezhta	Bezhta	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Hunzib	Hunzib	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Agul	Agul	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Kryz	Kryz	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Lezgian	Lezgian	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Rutul	Rutul	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Tsakhur	Tsakhur	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Udi	Udi	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Dargwa	Itsari	village	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Lak	Standard Lak	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2011	Chechen	Chechen	language	idioms are not specified; we can make an educated guess by looking at the sources, but we might make some mistakes	no	no			Y
other	incollection	dobrushina2019	Dargwa	Mehweb	language		no	danieletal2019			Y
other	incollection	dobrushinaetal1996	Godoberi	Godoberi	village		no	kibriketal1996			Y
other	incollection	dobrushinatatevosov1996	Godoberi	Godoberi	village		no	kibriketal1996			Y
grammar	book	dum-tragut2009	Armenian	Modern Eastern Armenian	dialect_toplevel		yes	yes			Y
dictionary	book	dzhidalaev1994	Lak	Standard Lak	language	idiom not specified	no	no	Anastasia Panova		Y
dictionary	book	dzhidalaevetal2022	Khwarshi	Inkhoqwari	village		no	no	Chiara Naccarato		Y
other	phdthesis	eldarova1995	Lak	Standard Lak	language		no	yes	Chiara Naccarato		Y
other	incollection	fedorova1996	Godoberi	Godoberi	village		no	kibriketal1996			Y
grammar	book	forker2013	Hinuq	Hinuq	village		yes	yes			Y
other	incollection	forker2014	Hinuq	Hinuq	village		no	no			Y
other	incollection	forker2018avar	Avar	Standard Avar	language		no	no			Y
other	article	forker2018b	Lak	Standard Lak	language		no	yes	Chiara Naccarato		Y
other	article	forker2019	Hinuq	Hinuq	village		no	no			Y
other	article	forker2019b	Dargwa	Sanzhi	village		no	yes			Y
grammar	book	forker2020dargwa	Dargwa	Sanzhi	village		no	yes			Y
grammar	unpublished	forkerdraft2020	Avar	Standard Avar	language		no	yes			Y
other	article	friedman1984	Lak	Standard Lak	language		no	yes			Y
other	incollection	friedman2007	Lak	Standard Lak	language		no	yes			Y
other	book	gadzhiakhmedov2000	Kumyk	Standard Kumyk	language		no	no			Y
other	phdthesis	gadzhieva2007	Karata	Tukita	village		no	yes			Y
grammar	book	gadzhimagomedov2019	Karata	Anchiq	village		no	no	Chiara Naccarato	not sure about source type and idiom type	Y
other	incollection	ganenkov2008	Udi	Nizh	village		no	alekseevetal2008			Y
other	article	ganenkovetal2009	Agul	Huppuq'	village		no	yes			Y
dictionary	book	ganieva2002	Khinalug	Khinalug	language		no	no	Anastasia Panova		Y
grammar	book	gasanova1971	Dargwa	Meusisha	village	many other dialects as well; so far only Meusisha is used in datasets	no	yes	Anastasia Panova		Y
grammar	book	gaydarovetal2009	Lezgian	Standard Lezgian	language		no	no			Y
dictionary	book	gimbatov2006	Avar	Standard Avar	language		no	yes			Y
grammar	book	griunberg1963	Tat	Muslim Tat	dialect_toplevel	idiom and its status need to be clarified. the source says that it is about Northern Azerbaijani Tat idioms [page 3]. Also: «Наше исследование построено на данных центрального говора и северных говоров сёл Афруджа, Халтан, Гендаб» [page 8]. Need some expertise.	no	yes	Aigul Zakirova		Y
grammar	book	gudava1962	Botlikh	Botlikh	village		no	yes			Y
grammar	incollection	gudava1967	Botlikh	Botlikh	village		no	yes			Y
dictionary	book	gukasyan1974	Udi	Udi	language		no	yes	Polina Smyr	check idiom and type	Y
dictionary	book	gukasyan1974	Azerbaijani	Standard Azerbaijani	language		no	yes		check idiom and type	Y
other	book	harris2002	Udi	Udi	language		no	no	Chiara Naccarato	check idiom and type	Y
grammar	book	haspelmath1993	Lezgian	Standard Lezgian	language	With notes on dialectal divergence.	yes	yes			Y
other	incollection	haspelmath1996	Godoberi	Godoberi	village		no	kibriketal1996			Y
grammar	book	hewitt1995	Georgian	Standard Georgian	language		no	yes	Polina Smyr		Y
grammar	book	hewitt2005	Georgian	Standard Georgian	language		no	yes			Y
grammar	incollection	holiskygagua1994	Tsova-Tush	Zemo-Alvani	village		no	yes			Y
grammar	book	ibragimov1978	Rutul	Mukhad	dialect_nt1		no	yes	Chiara Naccarato		Y
grammar	book	ibragimov1978	Rutul	Shinaz	dialect_nt1		no	yes	Chiara Naccarato		Y
grammar	book	ibragimov1978	Rutul	Myukhrek	dialect_nt1		no	yes	Chiara Naccarato		Y
grammar	book	ibragimov1978	Rutul	Borch-Khnov	dialect_nt1		no	yes	Chiara Naccarato		Y
grammar	book	ibragimov1990	Tsakhur	Mishlesh	village		no	yes	Chiara Naccarato		Y
grammar	book	ibragimov2004	Rutul	Mukhad	dialect_nt1	With notes on dialectal divergence.	yes	yes			Y
dictionary	book	ibragimovnurmamedov2010	Tsakhur	Tsakh	dialect_toplevel		no	yes			Y
dictionary	book	isaev2001	Dargwa	Standard Dargwa	language		no	no	Anastasia Panova		Y
dictionary	book	isakovxalilov2001	Hunzib	Hunzib	language		no	yes			Y
grammar	book	isakovxalilov2012	Hunzib	Hunzib	language		no	no	Anastasia Panova		Y
dictionary	book	ismailova2011	Rutul	Rutul	language		no	yes		Standard Rutul?	Y
other	book	jakovlev1960	Chechen	Standard Chechen	language		no	yes			Y
other	incollection	johanson2018	Kumyk	Standard Kumyk	language	And other Turkic languages.	no	no			Y
other	incollection	johanson2018	Nogai	Standard Nogai	language		no	no			Y
grammar	incollection	kalinina1999	Tsakhur	Mishlesh	village		yes	kibrik1999	Chiara Naccarato		Y
grammar	book	kalmykovasarueva1973	Nogai	Standard Nogai	language	No full copy of the book.	no	no			Y
dictionary	book	kankava2001	Georgian	Standard Georgian	language		no	yes	Polina Smyr		Y
dictionary	book	karasaevmaciev1978	Chechen	Standard Chechen	language		no	yes			Y
other	misc	kasplingua	Lak	Standard Lak	language		no	no	Chiara Naccarato		Y
grammar	incollection	kayeetaldraft2020	Andi	Zilo	village		no	yes			Y
other	book	kazenin2013	Lak	Standard Lak	language	Original file says Standard (Vikhitsi), but those are different varieties. Of course there is no contributor	no	yes		I think this is Standard Lak, but check the comment (whose comment is there?)	Y
other	book	kerimov1985	Khinalug	Khinalug	language		no	yes	Polina Smyr	type: village?	Y
dictionary	book	khajdakov1962	Lak	Standard Lak	language		no	yes			Y
grammar	book	khajdakov1966	Lak	Arakul	dialect_toplevel		no	no	Chiara Naccarato		Y
grammar	book	khajdakov1966	Lak	Bartkhi	dialect_toplevel		no	no	Chiara Naccarato		
grammar	book	khajdakov1966	Lak	Shadni	dialect_toplevel		no	no	Chiara Naccarato		
grammar	book	khajdakov1966	Lak	Ashtikul	dialect_toplevel		no	no	Chiara Naccarato		
grammar	book	khajdakov1966	Lak	Vikhlin	dialect_toplevel		no	no	Chiara Naccarato		
grammar	book	khajdakov1966	Lak	Vitskhi	dialect_toplevel		no	no	Chiara Naccarato		
grammar	phdthesis	khalilova2009	Khwarshi	Kwantlada	village		yes	yes			Y
other	article	khalilova2011	Khwarshi	Kwantlada	village		no	yes			Y
other	article	khalilova2011	Bezhta	Bezhta	village		no	yes			Y
other	article	khalilova2011	Hunzib	Hunzib	language		no	yes			Y
other	article	khalilova2011	Tsez	Asakh	village		no	yes			Y
other	article	khalilova2011	Hinuq	Hinuq	village		no	yes			Y
grammar	book	kibrik1977	Archi	Archib	village		yes	yes			Y
dictionary	book	kibrik1977dict	Archi	Archib	village		yes	yes			Y
grammar	book	kibrik1977dynamic	Archi	Archib	village		yes	yes			Y
grammar	book	kibrik1977vocphon	Archi	Archib	village		no	yes	Maksim Melenchenko		Y
other	incollection	kibrik1985	Andi	Andi	village		no	yes			Y
other	incollection	kibrik1994a	Archi	Archib	village		no	no	Chiara Naccarato		Y
other	incollection	kibrik1994b	Khinalug	Khinalug	village		no	no	Chiara Naccarato		Y
grammar	book	kibrik1999	Tsakhur	Mishlesh	village		yes	yes			Y
grammar	incollection	kibrik1999sem	Tsakhur	Mishlesh	village		yes	kibrik1999	Chiara Naccarato		Y
grammar	book	kibrik2001	Bagvalal	Kvanada	village		yes	yes			Y
grammar	book	kibriketal1972	Khinalug	Khinalug	village		yes	yes			Y
grammar	book	kibriketal1996	Godoberi	Godoberi	village		yes	yes			Y
other	book	kibrikkodzasov1990	Avar	Chadakolob	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Andi	Andi	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Chamalal	Gigatl'	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Khwarshi	Inkhoqwari	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Tindi	Tindi	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Akhvakh	Tad-Magitl'	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Tsez	Kidero	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Bezhta	Tlyadal	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Lak	Khosrekh	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Tabasaran	Dyubek	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Dargwa	Chirag	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Hunzib	Gunzib	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Archi	Archib	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Agul	Burshag	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Lezgian	Khlyut	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Tsakhur	Mikik	village	see https://github.com/sverhees/master_villages/issues/13	no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Rutul	Luchek	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Kryz	Kryz	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Budukh	Budukh	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Udi	Nizh	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Hinuq	Genukh	village		no	yes	George Moroz		Y
other	book	kibrikkodzasov1990	Khinalug	Khinalug	village		no	yes	George Moroz		Y
other	incollection	kozhukhar2019	Dargwa	Mehweb	village		no	danieletal2019			Y
other	incollection	kozintseva2000	Armenian	Eastern Armenian	dialect_toplevel		no	yes			Y
other	misc	kumyktil	Kumyk	Standard Kumyk	language		no	no	Chiara Naccarato		Y
dictionary	book	maciev1961	Chechen	Standard Chechen	language		no	no	Anastasia Panova		Y
grammar	book	madieva1965	Bezhta	Bezhta	village		yes	yes			Y
grammar	book	magomedbekova1967	Akhvakh	Northern Akhvakh	dialect_toplevel		yes	yes			Y
grammar	book	magomedbekova1971	Karata	Karata	dialect_toplevel		yes	yes			Y
grammar	incollection	magomedbekova1998	Tindi	Tindi	language	CN: type is not clear from the source	no	alekseevetal1998	Chiara Naccarato		Y
grammar	incollection	magomedbekova2001	Botlikh	Botlikh	village		no	yes			Y
dictionary	book	magomedova1999	Chamalal	Lower Gakvari	village		yes	yes			Y
dictionary	book	magomedova2003	Tindi	Tindi	village	With notes on other dialects.	yes	yes			Y
dictionary	book	magomedova2004	Bagvalal	Khushtada	village		partial	yes			Y
grammar	book	magomedova2012	Tindi	Tindi	village	Not clear from the screenshot, but I assume that Magomedova is again basing her work on her native dialect.	yes	yes			Y
dictionary	book	magomedovaabdulaeva2007	Akhvakh	Tad-Magitl’	village		no	yes			Y
dictionary	book	magomedovaxalidova2001	Karata	Karata	village		yes	no			Y
dictionary	book	magomedovsaidovakutta2017	Dargwa	Kubachi	village		no	yes	Polina Smyr		Y
grammar	book	magometov1963	Dargwa	Kubachi	village	Notes on other Kubachi idioms and other Dargwa varieties.	yes	yes			Y
grammar	book	magometov1965	Tabasaran	Northern Tabasaran	dialect_toplevel		yes	yes			Y
grammar	book	magometov1965	Tabasaran	Southern Tabasaran	dialect_toplevel		yes	yes			Y
grammar	book	magometov1970	Agul	Central	dialect_toplevel	На самом деле не ясно на основе скриншота.	yes	yes			Y
grammar	book	magometov1982	Dargwa	Mehweb	village		no	yes			Y
other	misc	maisak2006	Udi	Nizh	village		no	no	Chiara Naccarato		Y
other	incollection	maisak2008	Udi	Nizh	village		no	alekseevetal2008	Chiara Naccarato		Y
other	book	maisak2014	Agul	Burkikhan	village		no	no			Y
other	book	maisak2014	Agul	Burshag	village		no	no			Y
other	book	maisak2014	Agul	Tpig	village		no	no			Y
other	book	maisak2014	Agul	Usug	village		no	no			Y
other	book	maisak2014	Agul	Khudig	village		no	no			Y
other	book	maisak2014	Agul	Kurag	village		no	no			Y
other	book	maisak2014	Agul	Tsirkhe	village		no	no			Y
other	book	maisak2014	Agul	Huppuq'	village		no	no			Y
other	book	maisak2014	Agul	Fite	village		no	no			Y
other	book	maisak2014	Agul	Arsug	village		no	no			Y
other	book	maisak2014	Agul	Drushtul	village		no	no		village not in dataset	Y
other	incollection	maisak2016	Udi	Nizh	village		no	yes			Y
other	unpublished	maisak2016andi	Andi	Rikvani	village		no	yes			Y
other	unpublished	maisak2017	Andi	Andi	village		no	yes			Y
other	unpublished	maisak2017	Andi	Rikvani	village		no	yes			Y
other	incollection	maisak2018	Udi	Nizh	village		no	no			Y
other	misc	maisak2020	Agul	Huppuq'	village	this is a conference abstract which covers many Nakh-Dag languages but has original examples only from Agul and Andi	no	no	Anastasia Panova		Y
other	misc	maisak2020	Andi	Andi	dialect_toplevel		no	no			Y
other	incollection	maisak2021	Agul	Agul	language	A variety of Lezgic languages. For some I can make an educated guess about the dialects, but not all.	no	no			Y
other	incollection	maisak2021	Archi	Archi	language		no	no			Y
other	incollection	maisak2021	Lezgian	Lezgian	language		no	no			Y
other	incollection	maisak2021	Rutul	Rutul	language		no	no			Y
other	incollection	maisak2021	Tsakhur	Tsakhur	language		no	no			Y
other	incollection	maisak2021	Udi	Udi	language		no	no			Y
other	incollection	maisak2021	Kryz	Kryz	language		no	no			Y
other	incollection	maisak2021	Budukh	Budukh	language		no	no			Y
other	incollection	maisak2021	Tabasaran	Tabasaran	language		no	no			Y
other	incollection	maisakchumakina2001	Bagvalal	Kvanada	village		no	kibrik2001			Y
other	incollection	maisakganenkov2016	Agul	Huppuq'	village		no	no	idiom and type - Anastasia Panova		Y
other	article	maisakmerdanova2002	Agul	Huppuq'	village		no	yes			Y
other	book	maisakmerdanova2002b	Agul	Huppuq'	village		no	no			Y
other	incollection	maisakmerdanova2016	Agul	Huppuq'	village		no	yes			Y
other	article	maisaktatevosov1998	Tsakhur	Mishlesh	village		no	yes			Y
other	incollection	maisaktatevosov2001	Bagvalal	Kvanada	village		no	kibrik2001			Y
other	incollection	maisaktatevosov2007	Tsakhur	Mishlesh	village		no	yes			Y
other	book	mallaeva2007	Avar	Standard Avar	language		no	yes			Y
other	phdthesis	maxmudova2002	Rutul	Mukhad	dialect_nt1		yes	yes			Y
dictionary	book	mejlanova1984	Budukh	Budukh	village		no	yes			Y
other	book	merdanova2004	Agul	Huppuq'	village		no	yes			Y
grammar	book	mikailov1967	Archi	Archib	village		yes	yes			Y
dictionary	book	mobili2010	Udi	Udi	language		no	yes	Polina Smyr		Y
dictionary	book	mobili2010	Azerbaijani	Azerbaijani	language		no	yes			Y
other	unpublished	molochieva2007	Chechen	Standard Chechen	language		no	yes			Y
other	phdthesis	molochieva2010	Chechen	Standard Chechen	language		yes	yes			Y
other	incollection	moroz2019	Dargwa	Mehweb	village		no	danieletal2019	Polina Smyr		Y
other	unpublished	morozetaldraft2021	Godoberi	Godoberi	village		no	no	Polina Smyr		Y
grammar	book	musaev2002	Dargwa	Standard Dargwa	language		no	yes			Y
dictionary	book	musaev2018	Nogai	Standard Nogai	language		no	no	Chiara Naccarato		Y
other	book	mutalov2002	Dargwa	Standard Dargwa	language	Doesn’t state explicitly that I could find, but it seems to take Standard as a starting point and provide diverging dialectal forms on occasion.	no	yes			Y
other	incollection	mutalov2018	Dargwa	Standard Dargwa	language		no	no			Y
dictionary	book	naftaliev2016	Tat	Judeo-Tat	dialect_toplevel	Specifically Gunib dialect	yes	yes			Y
grammar	incollection	nichols1994	Chechen	Standard Chechen	language		yes	yes			Y
grammar	incollection	nichols1994ingush	Ingush	Standard Ingush	language		no	yes			Y
grammar	book	nichols2011	Ingush	Standard Ingush	language	Screenshot is not very informative.	yes	yes			Y
other	misc	nicholssite	Ingush	Standard Ingush	language		no	no	Chiara Naccarato		Y
other	misc	omniglotGM	Nogai	Standard Nogai	language		no	no	Chiara Naccarato		Y
other	misc	omniglotGM	Armenian	Eastern Armenian	language		no	no	Chiara Naccarato		Y
other	misc	omniglotGM	Azerbaijani	Standard Azerbaijani	language		no	no	Chiara Naccarato		Y
other	mastersthesis	pasquereau2010	Karata	Karata	village		no	no			Y
grammar	incollection	pasquereaudraft2020	Karata	Karata	village		no	yes			Y
other	unpublished	polinskydraft2015	Tsez	Tsez	language	not specified	no	yes		check idiom and type	Y
other	article	ramattopadze2007	Georgian	Standard Georgian	language		no	no	Samira Verhees		Y
dictionary	book	ramazanov2010	Agul	Central	dialect_toplevel		no	yes			Y
other	incollection	saadiev1994	Kryz	Kryz	language		no	no	Chiara Naccarato		Y
grammar	book	saidova1973	Godoberi	Godoberi	village		yes	yes			Y
grammar	incollection	saidova2001	Botlikh	Botlikh	village		no	yes			Y
dictionary	book	saidova2006	Godoberi	Godoberi	village		no	yes			Y
grammar	book	saidova2007	Avar	Zaqatala	dialect_nt1		no	yes			Y
dictionary	book	saidova2008	Avar	???	???	dialect dictionary; not used in tables	no	yes	Polina Smyr	check idiom and type	Y
dictionary	book	saidovaabusov2012	Botlikh	Botlikh	village	With notes on Miarso.	no	yes			Y
grammar	book	salimov2010	Andi	Gagatli	village		no	yes			Y
grammar	book	schulze1982	Udi	Udi	language		no	yes			Y
grammar	unpublished	schulze2005	Udi	Nizh	village		no	no			Y
grammar	unpublished	schulze2005	Udi	Vartashen	village		no	no			Y
other	incollection	schulze2016khinalug	Khinalug	Khinalug	village		no	no			Y
other	incollection	schulze2016lak	Lak	Standard Lak	language		no	no			Y
other	incollection	schulze2016udi	Udi	Udi	language		no	no			Y
other	phdthesis	shakhbanova2007	Dargwa	Butri	village		no	no	Chiara Naccarato		Y
other	phdthesis	shakhbanova2007	Dargwa	Urakhi	village		no	no	Chiara Naccarato		
other	article	shejkhov1983	Budukh	Budukh	language		no	no	Anastasia Panova	check idiom and type	Y
grammar	book	shiralievsevortyan1971	Azerbaijani	Standard Azerbaijani	language		yes	yes			Y
other	incollection	sosenskaja1999	Tsakhur	Mishlesh	village		no	kibrik1999			Y
other	incollection	sosenskaja1999num	Tsakhur	Mishlesh	village		no	kibrik1999			Y
other	incollection	sosenskaja1999post	Tsakhur	Mishlesh	village		no	kibrik1999			Y
other	incollection	sosenskaja2001	Bagvalal	Kvanada	village		no	kibrik2001			Y
other	incollection	sosenskajatatevosov1996	Godoberi	Godoberi	village		no	kibriketal1996			Y
other	article	sulejmanova2013	Botlikh	Botlikh	village		no	yes			Y
grammar	book	suleymanov1957	Andi	Rikvani	village		no	no			Y
grammar	book	sumbatovalander2014	Dargwa	Tanty	village		no	yes			Y
grammar	book	sumbatovamutalov2003	Dargwa	Itsari	village		no	yes			Y
grammar	book	talibov2007	Budukh	Budukh	village		yes	yes			Y
dictionary	book	talibovgadzhiev1966	Lezgian	Gyuney	dialect_nt1		yes	no			Y
other	incollection	tatevosov1996a	Godoberi	Godoberi	village		yes	kibriketal1996			Y
other	incollection	tatevosov1996b	Godoberi	Godoberi	village		yes	kibriketal1996	Polina Smyr		Y
other	article	tatevosov2001	Archi	Archib	village	Maybe some other Dargwa dialects	no	yes			Y
other	article	tatevosov2001	Bagvalal	Kvanada	village		no	yes			Y
