id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	function	form	value2	value2_name	source_label	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss_source	gloss	example_source	example_page	example_comment	date
14	Archi	Archib	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Both	(e)r	particle	Structure	комментатив (показатель косвенной речи)	kibrik1977	231-238		Samira Verhees	to-w χʷe-r-t̄e-r-ši e‹w›di žu is q’onq’ eɬu-t’ō-r-ši.		He swore he did not steal my book.		that-1 <ipf>swear-ipf-cvb.dep <1>aux.pfv self.erg my book 4.steal.pfv-neg-quot-cvb		daniel2006	2	Examples in Daniel (2006) show that the quotative / reportative can be placed inside a converb, or be followed with an attributive marker. It also seems to be two distinct but identical morphemes which differ in terms of distribution.	2.2022
15	Eastern Armenian	Eastern Armenian	language	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		dum-tragut2009		Reported speech is marked with general subordinators, see Dum-Tragut (2009).	Samira Verhees										2.2022
16	Avar	Standard Avar	language	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Both	an	particle	Structure		forker2018avar	201-202		Samira Verhees	b-os-un b-ugo=an		(He) (apparently) took it.		n-take-cvb n-cop=quot		forker2018avar		Not clear to what extent this marks hearsay (see translation). Example comes from the draft version of the paper and is not in the published version.	2.2022
17	Avar	Standard Avar	language	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ali	particle	Structure		forker2018avar	201-202		Samira Verhees	Гьес вацасда бицана, жиз кин цӀалулев вугевали		Он брату рассказал, как он учится.				alekseevetal2012	236	Non-finite main predicate.	2.2022
18	Avar	Standard Avar	language	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Both	ilan	particle	Structure		forker2018avar	201-202		Samira Verhees	Гьаб хабар щибилан вачӀана эмен рокъове		Что за раз­говоры, мол, пришел отец домой				alekseevetal2012	236	No speech matrix verb.	2.2022
19	Avar	Standard Avar	language	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ila	particle	Structure		forker2018avar	201-202		Samira Verhees	ħami-t’a-sa ɣorƛ-e-gun rik’ː-an=ila ħamul, b-ug=ila anc’a-b=go ħama		Down from the donkey, he counted them. Apparently there are 10 donkeys.		donkey.obl-spr-abl down-lat-comit count-aor=evid donkey.pl n-cop=evid ten-n=prt donkey		forker2018avar	201	From a folktale. Originally from another source.	2.2022
20	Azerbaijani	Standard Azerbaijani	language	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		shiralievsevortyan1971			Samira Verhees										2.2022
21	Bagvalal	Kvanada	village	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ʁe	particle	Structure	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_re.jpg						maisakchumakina2001	723		2.2022
22	Bagvalal	Kvanada	village	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Both	(ʁe II ʁa(la))di	particle	Structure	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_di.jpg						maisakchumakina2001	724		2.2022
23	Bagvalal	Kvanada	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Both	ʁala	particle	Structure	частица косвенной речи	maisakchumakina2001	723-724	Distribution?	Samira Verhees	particles_bagvalal_rala.jpg						maisakchumakina2001	723		2.2022
25	Bezhta	Bezhta	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Both	ƛo	particle	Structure	reported evidential particle	khalilova2011			Samira Verhees	holco načalniki-ya niso-na gey ali-qa hons-coy-s öžö dibo gey, hons-coy-s öžö dil Ø-aqa-s-λo niso-na		The chief said to Ali, “You have one of the boys, and I will have another boy.”		that.obl chief-obl.erg say-pfv.cvb be.prs ali-poss one-distr-gen1 boy 1sg.gen1 be.prs one-distr-gen1 boy(i) 1sg.dat i-become-fut-quot say-pfv.cvb		khalilova2011	44		2.2022
26	Botlikh	Botlikh	village	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	talu	particle	Structure	частица косвенной речи; quotative	gudava1962; alexeyevverheesdraft2020	260; NA		Samira Verhees	iš-qa ʁʷa-ba=talu hiƛ’-u hu-šːu-χi		They told him: “go home!”		home-apud.lat come-imp=quot say-aor dem-m-apud		alexeyevverhees2020	CHECK		2.2022
27	Botlikh	Botlikh	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	kʹul	particle	Structure	частица косвенной речи	gudava1962	260		Samira Verhees	Гьена гьикьу ида: гьенайдара ишкур-к1ул т1алаб игьу, гьеналхару бесхъа мин игьила, гьуб бакъащайла бужир-хул диб.		ADD				gudava1962	CHECK	From text 9.	2.2022
28	Botlikh	Botlikh	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	χul	particle	Structure	частица косвенной речи	gudava1962	260		Samira Verhees	Кунт1уди галълъихи — гьуб бигьа на-хул-талула гьикьу габ хъарзинла ибча, томонгила ибху, гав орсса вул1у ида.		ADD				gudava1962	CHECK	From text 11.	2.2022
29	Botlikh	Botlikh	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	χʷata	particle	Structure	reportative	alexeyevverheesdraft2020			Samira Verhees	zini=χʷata hiƛ’a b-ukː-u		[The/a] cow, they say, fell down.		cow=rep down n-fall-aor		alexeyevverhees2020	CHECK		2.2022
81	Budukh	Budukh	village	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		talibov2007			Samira Verhees										2.2022
30	Budukh	Budukh	village	no	no	Particles of reported speech and inference		Particle inventory	Other	q’eçik	no particle	Structure	evidential particle	authier2010	17	Authier (2010: 17) mentions the existence of this particle while discussing Kryz data, but does not go into details about the marker in Budukh.	Samira Verhees										2.2022
31	Chamalal	Upper Gakvari	village	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	daq	particle	Structure	цитатная форма глагола	bokarev1949a	113-114	Distribution remains unclear to me.	Samira Verhees	particles_chamalal_daq.jpg						bokarev1949a	113		2.2022
32	Chamalal	Upper Gakvari	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ƛaq	particle	Structure	цитатная форма глагола	bokarev1949a	113-114	Distribution remains unclear to me.	Samira Verhees	No example.									2.2022
33	Chamalal	Upper Gakvari	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ɬadaq	particle	Structure	цитатная форма глагола	bokarev1949a	113-114	Distribution remains unclear to me.	Samira Verhees	particles_chamalal_ladaq.jpg						bokarev1949a	114		2.2022
34	Chamalal	Upper Gakvari	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	kʹa // kʹalla	particle	Structure	выражение чужой речи	bokarev1949a	113-114	Distribution remains unclear to me.	Samira Verhees	бул1удда1к1алла	buƛu-dːa=k’alla	вышел, говорят			go_out-pst.ptcp=rep	bokarev1949a	114	Also has a predicativizing function.	2.2022
35	Chamalal	Upper Gakvari	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	χa // χalla	particle	Structure	выражение чужой речи	bokarev1949a	113-114	Distribution remains unclear to me.	Samira Verhees	биъахалла		пришел, говорят				bokarev1949a	114	Also has a predicativizing function.	2.2022
36	Chechen	Standard Chechen	language	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	äìla	verb	Structure	quotative	nichols1994	61-62	“Having said” converb.	Samira Verhees	particles_chechen_ailla.jpg						nichols1994	61		2.2022
37	Chechen	Standard Chechen	language	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	boːxuš	verb	Structure	quotative	nichols1994	61-62	“Saying” converb.	Samira Verhees	particles_chechen_boxus.jpg						nichols1994	62		2.2022
38	North-Central Dargwa	Standard Dargwa	language	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		vandenberg2001			Samira Verhees										2.2022
79	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	bik'ul	verb	Structure	quotative particle	forker2019		Imperfective converb of ‘say’.	Samira Verhees	xːunul-li tiladi b-arq’-ib ca-b hel-i-cːe “ma-ax-utːa!” r-ik’-ul		His wife begged him “Do not go!”		woman-erg request n-do.pfv-pret be-n that-obl-in proh-go-proh.sg f-say.ipfv-icvb		forker2019	176		2.2022
80	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	haʔible	verb	Structure	quotative particle	forker2019		Perfective converb of ‘say’.	Samira Verhees	Ramazan ʁaj b-ičː-ib dam “kumek b-irq’-an=da” haʔ-ib-le		Ramazan promised me “I will help (you).”		Ramazan word n-give.pfv-pret 1sg.dat help n-do.ipfv-ptcp=1 say.pfv-pret-cvb		forker2019	178		2.2022
78	Sanzhi-Itsari	Itsari	dialect_toplevel	no	no	Particles of reported speech and inference		Particle inventory	Mirative	q’al	particle	Structure	clitic	tatevosov2001	452-455		Samira Verhees	pːirzident saIR-ib-q’al		{CI: The speaker has just seen the president arrive (no one had expected this event): - Have you heard the news? C2: The speaker has just heard that the president arrived unexpectedly but has not witnessed the event: -Have you heard the news?} The President came!		president m.come.pfv-pst-mir		tatevosov2001	454	Replaced macron with a lengthmark.	2.2022
39	Godoberi	Godoberi	village	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	Quotative	ƛ’u	particle	Structure	citation clitic	haspelmath1996	181-186		Samira Verhees	jaš-u-di hiʟ’i il-u-qi den quča b=aχ-i-ʟi-bu-da-ʟ’u		Daughter told mother: “I will bring the book.” (lit. Daughter said to mother, having said, I will bring the book.)		daughter-obl-erg say.pst mother-obl-ad [I book n=bring-inf-fut-part-cop-cit]		haspelmath1996	182		2.2022
40	Godoberi	Godoberi	village	no	no	Particles of reported speech and inference	No particle attested	Particle inventory	Quotative	ɬa / wa	particle	Structure	evidential particle	haspelmath1996	181-186	Particles “agree” with the tense of the predicate: simple past / non-simple past. Co-occur with -ƛ’u, but -ƛ’u can occur without these two particles.	Samira Verhees	ʕali-di hiʟ’i il-u-qi in-šː-o niša bu=š-al-at-a-wa:-ʟ’u		Ali told (his) mother that he was collecting apricots.		ali-erg say.pst mother-obl-ad [self.obl-obl.m-erg apricot n=assemble-caus-prs-conv-ept-cit]		haspelmath1996	183	Particle wa replaces copula ida in the construction.	2.2022
41	Godoberi	Godoberi	village	no	no	Particles of reported speech and inference	No particle attested	Particle inventory	Quotative	ɬaqi / waqi	particle	Structure	uncertainty particle	haspelmath1996	181-186	Particles “agree” with the tense of the predicate: simple past / non-simple past.	Samira Verhees	di-ɬi rukː-at-a-da ʕali wu=na-ɬa:-ʟ’u ʕali wu=na-ɬaqi-ʟ’u		It seems to me that Ali has left.		I.obl-dat seem-prs-conv-cop [Ali m=go.pst-ept-cit] [Ali m=go.pst-upt-cit]		haspelmath1996	185	Replaced macron with a lengthmark.	2.2022
42	Hinuq	Hinuq	village	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ƛen	particle	Structure	quotative enclitic	forker2013	652-664		Samira Verhees	ɣʷadiː “q’ʷa”=ƛen eƛi-n		The crow said “Krah.”		crow.erg krah=quot say-uwpst		forker2013	660		2.2022
43	Hinuq	Hinuq	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	(e)ƛ	particle	Structure	narrative enclitic	forker2013	313-319		Samira Verhees	nartaw-i ʡažaʔibɬi r-uː-s=eƛ, Ø-uƛ’-iš=eƛ		The giant wondered and got afraid.		giant-erg wonder(v) v-do-pst=narr, i-be.afraid-pst=narr		forker2013	316		2.2022
44	Hunzib	Hunzib	language	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ƛe	particle	Structure		khalilova2011			Samira Verhees	hobol Ø-oho-n lo-y-ƛe nɨsә-n li?		“Did you feed the guest?” - he said.		guest(i) i-feed-pfv-cvb be.prs-int-quot say-pfv.cvb be(v)		khalilova2011	46		2.2022
45	Ingush	Standard Ingush	language	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	ealar	verb	Structure		nichols2011	249-250		Samira Verhees	Tq’ea shi’ inaral voaghar ealar, shie propusk jalcha maara, cynna t’y-vaxa jish jolazh vaacar ealar yzh.		22 generals would come to get the permit without which they couldn’t go to see him (the czar), he said.		20 two-nz general v.come.impf say.wp 3srfl pass j.give.cvtemp only 3s.dat at-v.go.inf possibility j.be.cvsim v.prog:neg.pst say.wp 3p		nichols2011	250		2.2022
46	Ingush	Standard Ingush	language	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	joax	verb	Structure		nichols2011	279		Samira Verhees	T’aaqqa, vaampal veaghaav joax, tur wa=’a ottadea k’al …		A vaampal (giant) was sitting there with his sword laid out before him…		so then giant v.sit.nw.v quot sword dx=& stand-d.cs.cvant under		nichols2011	279		2.2022
47	Tukita	Tukita	language	no	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ƛ'ːi / ƛ'ːa	particle	Structure	частица косвенной речи	magomedbekova1971; gadzhieva2007	173; 140	According to Gadžieva (2007: 140), ƛ’i appears in the “inlaut” of the word, ƛ’a in the “auslaut”, judging from examples in Magomedbekova (1971: 173) this means ƛ’i can appear between the verb root and the converb suffix -baχ, while ƛ’a appears after the verb form.; According to Magomedbekova (1971: 173) all quotative particles derive from keƛ’e ‘said’.	Samira Verhees	particles_tukita_li.jpg						magomedbekova1971	173		2.2022
49	Karata-Tukita	Karata	dialect_toplevel	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ƛ'ːe	particle	Structure	частица косвенной речи	magomedbekova1971	173	According to Magomedbekova (1971: 173) all quotative particles derive from keƛ’e ‘said’.	Samira Verhees	particles_karata_le.jpg						magomedbekova1971	173		2.2022
48	Tukita	Tukita	language	no	no	Particles of reported speech and inference		Particle inventory	Unwitnessed	eƛ / ƛa	particle	Structure	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_tukita_el.jpg						magomedbekova1971	174		2.2022
50	Karata-Tukita	Karata	dialect_toplevel	no	no	Particles of reported speech and inference		Particle inventory	Unwitnessed	lda	particle	Structure	частица заглазного действия	magomedbekova1971	174		Samira Verhees	particles_karata_lda.jpg						magomedbekova1971	174		2.2022
51	Khinalug	Khinalug	village	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		kibriketal1972			Samira Verhees										2.2022
52	Khwarshi	Kwantlada	village	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	ƛɨn	particle	Structure	reported evidential particle	khalilova2009	237-239, 221		Samira Verhees	hed iλ-in ise žik’ó, dubo omˁoq’ˁe ħono-lux ˁōnˁōnλ-aλa, mo Ø-uh-a goli λɨn.		Then that man said, “You will die, when your donkey brays three times.”		then say-pst.uw that.obl man.obl.erg 2sg.gen1 donkey three-repet bray-antr 2sg.abs i-die-inf be.prs quot		khalilova2009	238		2.2022
53	Khwarshi	Kwantlada	village	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	ƛo	particle	Structure	narrative particle	khalilova2009	237-239, 221		Samira Verhees	heč’č’e atɣuli hunne-ma b-us-i-λo isul boc’o q’ˁem-ɨn l-eλ-ɨn		First he met a wolf who had a headache. [The man who went to God]		most in.front road-in iii-find-pst.w-narr that.lat wolf(iii) head(iv)-and iv-be.ill-pfv.cvb		khalilova2009	238		2.2022
54	Khwarshi	Kwantlada	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	č’aːl	verb	Structure	hearsay construction	khalilova2009	239	General tense of č’ala ‘to inform, to hear’. Similar construction of unclear status discussed in Khalilova (2009: 239), example 447.	Samira Verhees	žequɬ os iλ-še (λɨn) č’āl.		They say that today (they) will give (us) money.		today money give-prs quot inform.gnt		khalilova2009	239		2.2022
55	Kryz	Alik	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Unwitnessed	miš	particle	Structure	evidentiality-marking clitic	authier2009; authier2010	255-257; 15-17	General indirect evidentiality marker borrowed from Azerbaijani. No quotative attested.	Samira Verhees	u-cbar ʕa-b-xhr-i k’ul-ci cuxud q’ay-ca-miş		The master of the house where they arrived had died.		3-hpl pv-hpl-come.pf-part house-gen master die-perf-evid		authier2010	16	According to Authier (2010: 16): “non-direct evidence in the past, not necessarily remote”	2.2022
56	Kumyk	Standard Kumyk	language	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		abdullaevaetal2014			Samira Verhees										2.2022
57	Lak	Standard Lak	language	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	kunu	verb	Structure		friedman2007	363-367	Verb ‘say’ past gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_kunu.jpg						friedman2007	364		2.2022
58	Lak	Standard Lak	language	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	tʹij	verb	Structure		friedman2007	363-367	Verb ‘say’ present gerund.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tij.jpg						friedman2007	364		2.2022
59	Lak	Standard Lak	language	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Both	tʹar	verb	Structure		friedman2007	363-367	Verb ‘say’ third singular present.; kunu, t’ij and t’ar are different forms of the same verb.	Samira Verhees	particles_lak_tar.jpg						friedman2007	365		2.2022
60	Lak	Standard Lak	language	no	no	Particles of reported speech and inference		Particle inventory	Inferential	kːar	verb	Structure		friedman2007	363-367	Verb ‘appear’ past gerund.	Samira Verhees	particles_lak_kar.jpg						friedman2007	368		2.2022
61	Lak	Standard Lak	language	no	no	Particles of reported speech and inference		Particle inventory	Inferential	χːaj	verb	Structure		friedman2007	363-367	Verb ‘appear’ present gerund.	Samira Verhees	particles_lak_xaj.jpg						friedman2007	367		2.2022
62	Lezgian	Standard Lezgian	language	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Reportative	lda	particle	Structure		haspelmath1993	148		Samira Verhees	particles_lezgian_lda.jpg						haspelmath1993	148		2.2022
63	Nogai	Standard Nogai	language	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure					Samira Verhees										2.2022
64	Rutul	Mukhad	dialect_nt1	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	xur	verb	Structure		maxmudova2002	252	verb ‘say’ past	Samira Verhees	Хыных 'Мыкьа йиъи, мыкьа йиъи' хьур, некьик кирхьури		Мальчик, жалуясь на холод, уснул (букв. Мальчик Холодно есть, холодно есть сказав, в сон упал).				maxmudova2002	252		2.2022
65	Rutul	Mukhad	dialect_nt1	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ruxura	verb	Structure		maxmudova2002	252	verb ‘say’ present	Samira Verhees	Нин, нин!' рухьура, рухьура рыш некьиклаа киирхьури		Мама, мама говоря, девочка проснулась (букв. Мама, мама говоря,  говоря, девочка из сна выпала).				maxmudova2002	252		2.2022
67	Rutul	Mukhad	dialect_nt1	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	xʷa	particle	Structure		maxmudova2002	252		Samira Verhees	"Хынхыра """"мыкьа йиъи"""" хьва"		"Мальчик говорит, что ему холодно (букв. """"Мальчик """"холодно есть"""" говорит"""")"				maxmudova2002	252		2.2022
68	Rutul	Luchek	village	no	no	Particles of reported speech and inference		Particle inventory	Inferential	kal	particle	Structure		alekseev1994	237		Samira Verhees	t’urcː-kal kːirχːar		The colonel, it seems, is intervening.				alekseev1994	237		2.2022
70	Tabasaran	Southern Tabasaran	dialect_toplevel	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	kʹurdi / kʹuri	verb	Structure		magometov1965	340-341	Verb ‘say’ present gerund.	Samira Verhees	duɣu ɣapnu, uxurza ḳuri.		Он сказал, что прочтет. (досл. Он сказал, прочту, говоря.)				magometov1965	340	Dialect of the village Gumi (Northern Tabasaran).	2.2022
71	Tabasaran	Southern Tabasaran	dialect_toplevel	no	no	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	dnpnu / pnu	verb	Structure		magometov1965	340-341	Verb ‘say’ past gerund.	Samira Verhees	dnɣu fikir apura, uč⁰ uǯur wu pnu (//ḳuri).		Он думает, сам хороший, сказав // говоря.				magometov1965	341	Dialect of the village Gumi (Northern Tabasaran).	2.2022
72	Tindi	Tindi	village	yes	yes	Particles of reported speech and inference	Single marker type	Particle inventory	Quotative	ƛ'o	particle	Structure	цитатная форма глагола	magomedova2003; magomedova2012	579; 202		Samira Verhees	particles_tindi_lo.jpg						magomedova2012	202		2.2022
82	Tsakhur	Mishlesh	village	yes	yes	Particles of reported speech and inference	No particle attested	Particle inventory	No particle attested	no particle	no particle	Structure		kibrik1999			Samira Verhees										2.2022
73	Tsakhur	Mishlesh	village	no	no	Particles of reported speech and inference		Particle inventory	Other	jiː	particle	Structure		maisaktatevosov1998; maisaktatevosov2007	74-85; 392-403	Somehow evidentiality-adjacent.	Samira Verhees										2.2022
74	Tsakhur	Mishlesh	village	no	no	Particles of reported speech and inference		Particle inventory	Epistemic authority	niː	particle	Structure		maisaktatevosov1998	64-73	Somehow evidentiality-adjacent.	Samira Verhees										2.2022
75	Tsez	Asakh	village	yes	yes	Particles of reported speech and inference	Dedicated markers	Particle inventory	Quotative	ƛin	particle	Structure	quotative particle	khalilova2011			Samira Verhees	c’i rik’asi keč’oqan Ø-ay-x-λin eλi-x išk’olār.		(They) say the famous singer will arrive at (our) school.		name man(i) singer i-come-prs-quot say-prs school.in.lat		khalilova2011	44		2.2022
76	Tsez	Asakh	village	no	no	Particles of reported speech and inference	Dedicated markers	Particle inventory	Reportative	ƛaχ	particle	Structure	narrative particle	khalilova2011			Samira Verhees	No example.									2.2022
