id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	imperative form	plural form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date	language_new	idiom_new	type_new
22	East Caucasian	Dargwa	Southwestern Dargwa	Tanti	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	sumbatovalander2014	142		Maria Starodubtseva	-a/-aˁ (for trans); -e (for intrans); -a/-ja (for pl)			b=uc-a; b=itaq-e	держи, лови', 'прячься'	hold', 'hide'	hold-IMP; hide-IMP	sumbatovalander2014	142					
23	East Caucasian	Dargwa	Amuzgi-Shiri	Shiri	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	no	Distinction in plural form	belyaevdraft2019	106		Maria Starodubtseva	-a (for trans); -i (for intrans)			barqʼ-a; kejg-i	do', 'sit'	do', 'sit'	do-IMP; sit-IMP	belyaevdraft2019	NA (107)					
24	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	hewitt1995	243		Maria Starodubtseva	zero marker			daxedet	look down at X/them'	look down'	look.down[IMP]	hewitt1995	474					
25	East Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	kibriketal1996	49		Maria Starodubtseva	-a (for trans), -i (for intrans)			b=aqʼas-a; b=aq’as-i	steal it', 'hide'	steal', 'hide'	steal-IMP; hide-IMP	kibriketal1996	49					
26	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	forker2013	227		Maria Starodubtseva	-o (for trans); zero marker (for intrans)			kekir-o; Ø-uɬi	let', 'go down'	let', 'go down'	let-IMP; I-go.down[IMP]	forker2013	227					
27	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	vandenberg1995	87		Maria Starodubtseva	-o (for trans); zero marker (for intrans)			čax-o; eːƛʼe	write it', 'go'	write it', 'go'	write-IMP; go[IMP]	vandenberg1995	87					
28	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	nichols2011	274	three types of imperative	Maria Starodubtseva	-a (plain imperative)			aala	say'	say'	say.IMP	nichols2011	274					
29	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	magomedbekova1971	134		Maria Starodubtseva	-a (for trans), -i (for intrans)			gaχ-a; čːwar-i	делай', 'беги'	do', 'run'	do-IMP; run-IMP	magomedbekova1971	134					
30	East Caucasian	Andic	Tukita	Tukita	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	magomedbekova1971	135		Maria Starodubtseva	-a (for trans), -bi (for intrans)			baχ-a; bukʼu-bi	принеси', 'будь'	bring', 'be'	bring-IMP; be-IMP	magomedbekova1971	135					
31	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	kibriketal1972	108		Maria Starodubtseva	-a/æ/(i/ɯ)r/l (for 2prs.sg.), -e/æ + lun/lus (for 2prs.pl.)			kʰ-æ; χ-æ	сделай, иди	do', 'go'	do-IMP.2.SG; go-IMP.2.SG	kibriketal1972	109					
32	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	khalilova2009	242-244		Maria Starodubtseva	-o/-a/-e (-o as basic one)			puƛ-o; durid-o	blow', 'run'	blow', 'run'	blow-IMP, run-IMP	khalilova2009	243					
33	East Caucasian	Lezgic	Kryz	Alik	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	authier2009	151	Поскольку первое и второе лица (призывательный, повелительный) требуют семантической роли агента, непереходные глаголы имеют синтетические формы только для самых активных; некоторые непереходные глаголы не имеют ни повелительного...'	Maria Starodubtseva	prf base (+ 'ay' in plural)			ɣa-b-qʼil-ay; sa-b-zin (-ay)	couchez-vous', 'lave(-z)'	stay', 'wash'	PV-HPL-stay.IMP-HPL;  PV-F-wash.IMP(AGHPL)	authier2009	153					
34	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	abdullaevaetal2014	288		Maria Starodubtseva	zero marker			al	бери'	take'	take[IMP]	abdullaevaetal2014	288					
35	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	zhirkov1955	118		Maria Starodubtseva	-a/-i/-u (-u commonly used with intrans)			čič-a	напиши'	write'	write-IMP	zhirkov1955	118					
36	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	haspelmath1993	128		Maria Starodubtseva	reduplication of last cons			xu-x; čyxy-x	become', 'wash'	become', 'wash'	become-IMP; wash-IMP	haspelmath1993	128					
37	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	baskakov1973	245		Maria Starodubtseva	zero marker			bar	иди'	go'	go[IMP]	baskakov1973	245					
38	East Caucasian	Lezgic	Rutul	Mukhad	dialect_toplevel	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	ibragimov1978	90	В повелительном наклонении формант аспекта не сохранился	Maria Starodubtseva	zero marker			hagwa	видь'	see'	see[IMP]	ibragimov1978	90					
39	East Caucasian	Lezgic	Rutul	Khnov	village	no	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	authier2023	34		Maria Starodubtseva	zero marker			hat'v	cut'	cut'	cut[IMP]	authier2023	34					
40	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	babaliyeva2013	176		Maria Starodubtseva	2prs.sg. imprf base (+ay for pl)			lig-ay; ɣač-agan	look at', 'come'	look at', 'come'	look.at.IMP-PL; come.IMP-PTCL	babaliyeva2013	178-179					
41	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	authier2012	174		Maria Starodubtseva	zero marker			voku	ouvre'	open'	open[IMP]	authier2012	174					
42	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	yes	Distinction in plural form	magomedova2012	166		Maria Starodubtseva	-a (for trans), -iba/-ima (for intrans)	-i (for intrans)		bešːd-a; tʼ-aba; tʼ-abi	отпусти', 'беги', 'бегите'	let go', 'run' , 'run'	let.go-IMP; run-IMP.SG; run-IMP.PL	magomedova2012	166					
43	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	not applicable	Distinction in plural form	kibrik1999	76		Maria Starodubtseva	-e (+ reduction u/i)			a:q-e	открой'	open'	open-IMP	kibrik1999	76					
44	East Caucasian	Tsezic	Tsez	Tsez	language	yes	yes	Distinction between transitive and intransitive imperatives	yes	General distinction in suffixes	not applicable	Distinction in plural form	comrie2007	1202	different forms for derived and non-derived transitive verbs	Maria Starodubtseva	-o (for non-derived trans), zero marker (for intrans and derived trans)			cax-o; kec	write', 'sleep'	write', 'sleep'	write-IMP; sleep[IMP]	comrie2007	1202					
45	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	desheriev1953	132		Maria Starodubtseva	zero marker/-b, -at/-t (in pl.)			kχos	брось'	throw'	throw[IMP]	desheriev1953	132					
46	East Caucasian	Lezgic	Udi	Udi	language	yes	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	schulze1982	162-164		Maria Starodubtseva	-a (2prs.), -en (1prs.pl.), -e(not much information)			karx-a	lebe'	live'	live-IMP	schulze1982	163					
47	East Caucasian	Lezgic	Udi	Nizh	dialect_toplevel	no	yes	Distinction between transitive and intransitive imperatives	no	General distinction in suffixes	no	Distinction in plural form	alekseevetal2008	117		Maria Starodubtseva	-a (2prs.), -i (for 6 verbs of movement)			up-a	скажи'	say'	say-IMP	alekseevetal2008	117					
