id	family 	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value_in_source	value_semantics	dictionary_value	dictionary_source	value2	value2_name	value3	value3_name	lexical_verb_form	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
16	East Caucasian	Nakh	Bats	Zemo-Alvani	village	yes	yes	Causative expression type	suffixal auxiliary	name for value 1						Extent of boundedness	only suffixal auxiliary	name for value 3		holinskygagua1994	39	это формы глагола? 	Daria Izmalkova	-Dar		oqus o ħalǒ laps-Dij-ẽ	He dried it	He dried it	3SG/ERG 3SG/NOM PVB dry-TRANS-AOR	holinskygagua	40	
17	East Caucasian	Nakh	Bats	Zemo-Alvani	village	no	no	Causative expression type	suffixal auxiliary	name for value 1	suffixal	leave	?		suffixal auxiliary	Extent of boundedness		name for value 3	stem	holinskygagua1994	40	в старой грамматике упоминается, кажется, только -ит-	Daria Izmalkova	-it-ar		oqus o ħalǒ co laps-it-ẽ	He didn't let it dry	He didn't let it dry	3SG/ERG 3SG PVB not dry-CAUS-AOR	holinskygagua	40	
18	East Caucasian	Tsezic	Bezhta	Bezta	village	yes	yes	Causative expression type	suffixal auxiliary	name for value 1	вспомогательный глагол	put	ставить стоймя;назначать;помещать что-л. куда-л.;устанавливать;наклядывать;прикладывать;ставить оценку;класть;обвинять;укладывать;надевать;нарекать;ставить под чем-то;закладывать;жечь;вкладывать (деньги)	xalilov2015	morphological	Extent of boundedness	morphological & suffixal auxiliary	name for value 3	stem	comrieetal2015	360	"ставить"". Упоминается еще tok'al ""использовать"", но увидела только один пример и дальше при рассмотрении более конкретных случаев не упоминается. в грамматике хинукского упоминается ток'ал и говорят что он похож на ток'ер		gol-al;gil-al;gul-al		ija-gol-al	заставить плакать	make (smone) cry	cry-put-INF	comrieetal2015	361	
19	East Caucasian	Tsezic	Bezhta	Bezta	village	no	no	Causative expression type	suffixal	suffixal					Extent of boundedness		stem	comrieetal2015	360			-l-;-ll-		nis-o-l-al	спросить	ask	say-?-CAUS-INF	comrieetal2015	360	
20	East Caucasian	Tsezic	Bezhta	Bezta	village	no	no	Causative expression type	suffixal auxiliary	вспомогательный глагол	use	использовать;применять	xalilov2015		Extent of boundedness		stem?	comrieetal2015	360	less frequenlty used compared to golal; same verb as in Hinuq?  		tok'-al;tik’-al;tuk’-al		øhdæ-tok'-al	заставить кашлять	cause to cough	cough-use-INF	comrieetal2015	360	
21	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Causative expression type	light verb	verb	put	сажать;посадить;запирать;стелить;переносить;откладывать;заставлять кого-л. делать что-л.;проводить (время)	saidovaabusov2012	morphological	Extent of boundedness	morphological & light verb	infinitive	draft		the same verb is used in Godoberi		t’am-i	?	?						
22	East Caucasian	Andic	Botlikh	Botlikh	village	no	no	Causative expression type	light verb	verb	become	стать;становиться	saidovaabusov2012		Extent of boundedness		infinitive	draft		в словаре еще есть омонимы ""созревать"" и ""останавливаться"	Daria Izmalkova	CM-iʁ-a-j 	?	?						
23	East Caucasian	Andic	Botlikh	Botlikh	village	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	draft			Daria Izmalkova	-aj-;o(a+u)	qʷard-i [write-inf] > qʷard-a-j [write-caus-inf].	 qʷard-a-j	force to write	заставить написать	write-CAUS-INF	draft		
24	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	Causative expression type	light verb	name for value 1	вспомогательный глагол	give	давать	mejlanova1984	morphological	Extent of boundedness	morphological & light verb	name for value 3	infinitive	talibov2007	174		Daria Izmalkova	CM-ucʼu		qeˤxčez j-ucʼu	заставить танцевать	force to dance	dance CM-give	talibov2007	174	
25	East Caucasian	Lezgic	Budukh	Budukh	village	no	no	Causative expression type	shortening+vowel alternation	name for value 1						Extent of boundedness		name for value 3	?	talibov2007	168		Daria Izmalkova	?		senχi	забыть	forget	?	talibov2007	168	
26	East Caucasian	Andic	Chamalal	Gadyri	dialect_toplevel	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	bokarev1949a	96		Daria Izmalkova	-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	"долженствующее наклонение"" = инфинитив
87	East Caucasian	Andic	Chamalal	Gigatli	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	stem	bokarev1949a	96			-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	""долженствующее наклонение"" = инфинитив
88	East Caucasian	Andic	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	stem	bokarev1949a	96			-a:-		gud-a:-la	заставлять давать	force to give	give-CAUS-INF	bokarev1949	96	""долженствующее наклонение"" = инфинитив
27	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Causative expression type	suffixal auxiliary	suffixal	leave	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	stem	nichols1994	47	indirect		jta; i:ta	?	?						
28	East Caucasian	Nakh	Chechen	Standard Chechen	language	no	no	Causative expression type	suffixal auxiliary	suffixal	do	?			Extent of boundedness		stem	nichols1994	47	direct		CM-wo	?	?						
29	East Caucasian	Nakh	Chechen	Standard Chechen	language	no	no	Causative expression type	suffixal auxiliary	suffixal	make + let				Extent of boundedness		stem	nichols1994	47	double		CM-ajta								
30	East Caucasian	Dargwa	Dargwa	Mehweb	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	stem	daniel2019	97			-aq-;-aχaq-		a-b-iz-aq-ib abzul-la χalq’-ane.	(She) woke up everybody	(She) woke up everybody	PV-HPL-stand.up:PFV-CAUS-AOR all=ADD people-PL	danieletal2019	98	
31	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	drive	?			Extent of boundedness		infinitive	barylnikova2019	172	directive		aʔas		pat’imat-ini anwar uʕq’-es aʔ-ib.	Patimat made Anwar go away	Patimat made Anwar go away	Patimat-ERG Anwar M.go:PFV-INF drive:PFV-AOR	barylnikova2019(danieletal2019)	173	
32	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	leave	?			Extent of boundedness		infinitive	barylnikova2019	174	permissive		CM-aqas		pat’imat-ini anwar w-aq-ib umma d-aq’-as.	Patimat let Anwar kiss her	Patimat let Anwar kiss her	Patimat-ERG Anwar M-leave:PFV-AOR kiss NPL-do:PFV-INF	barylnikova2019(danieletal2019)	174	
33	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	no	Causative expression type	light verb	periphrastic construction	do	?			Extent of boundedness		infinitive	barylnikova2019	176	with adjectives		CM-aq’as		χaj-ni musa zuba w-aq’-ib.	Khan blinded Musa	Khan blinded Musa	khan.OBL-ERG Musa blind M-do:PFV-AOR	barylnikova2019(danieletal2019)	176	
34	East Caucasian	Dargwa	Dargwa	Sanzhi	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	stem	forker2020dargwa	227			-aq;-aˁq-		b-ič-aq-ib	make occur, hit, strike	make occur, hit, strike	N-occur.PFV-CAUS-PRET	forker2020dargwa	227	
35	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	no	Causative expression type	suffixal auxiliary	light verb	do	?			Extent of boundedness		?	forker2020dargwa	228			CM-irq’-;CM-arq’-		hel hel-tː-a-cːella canille taχna ač b-arq’-ib	He opened the room together with them.	He opened the room together with them.	that that-PL-OBL-COMIT together room open N-do.PFV-PRET	forker2020dargwa	228	
36	East Caucasian	Dargwa	Dargwa	Kubachi	village	yes	yes	Causative expression type	suffixal auxiliary	каузативные формы образуются при помощи глагола	overcome	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	stem	magometov1963	214			-aqij;-iqij		bis-aqij	заставить продать	force to sell	sell-overcome.?INF	magometov1963	214	
37	East Caucasian	Dargwa	Dargwa	Tanty	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	stem	sumbatovalander2014	109	""Степень грамматикализованности каузативных показателей сильно различается по даргинским идиомам."
38	East Caucasian	Dargwa	Dargwa	Itsari	village	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	sumbatovamutalov2003	62		Daria Izmalkova	-aq-;-aˁq-		t:at:i-l anwar-ri-c:i it rirs:i qum.ert-aq-ur	Father forced Anwar to forget this girl	Father forced Anwar to forget this girl	father-ERG Anwar-OBL-ILLAT this girl forget:PF-CAUS-PRET	sumbatovamutalov2003	115	
39	East Caucasian	Dargwa	Dargwa	Tsugni	village	yes	yes	Causative expression type	stress shift	name for value 1	сдвиг ударения				morphological	Extent of boundedness		name for value 3	?	sulaibanovsumbatova2022	2-3(110-111)		Daria Izmalkova	?		it-i-li gal-li-j če-b-ag-íb ʡiχliq’aˤn	Он показал ребенку птицу	He showed the child a bird	this-OBL-ERG child-OBL-DAT ON-N-see.PFV-PRET(CAUS) bird	sulaibanovsumbatova2022	14(122)	этот-obl-erg ребенок-obl-dat on-n-видеть.pfv-pret(caus) птица
40	East Caucasian	Dargwa	Dargwa	Tsugni	village	no	no		suffixal auxiliary	name for value 1	сложный глагол	drive	?			Extent of boundedness		name for value 3	stem	sulaibanovsumbatova2022	20(128)	спорадическое использование	Daria Izmalkova	aʁ;iʁ		b-ucː-aʁ-í	чинить, заставлять работать	fix, force to work	N-work.IPFV-drive-INF	sulaibanovsumbatova2022	20(128)	
41	East Caucasian	Dargwa	Dargwa	Tsugni	village	no	no		light verb	name for value 1	каузативный матричный глагол	drive	?			Extent of boundedness		name for value 3	infinitive	sulaibanovsumbatova2022		спорадическое использование	Daria Izmalkova	aʁ;iʁ		il-i-li šawg rurq- há-jʁ-u	Она вскипятит кастрюлю	She will boil a pot	this-OBL-ERG pot boil.IPFV-INF UP-drive.IPFV-TH	sulaibanovsumbatova2022	20(128)	
42	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	hewitt1995	215		Daria Izmalkova	-in;-ev-in	?	?						
43	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Causative expression type	light verb	name for value 1	analytic construction	put	сажать;запирать;ставить;вешать;откладывать;переносить;заставлять что-л. делать;возлагать на кого-то;перепоручать кому-то;подпускать;объединять кого-л.	saidova2006	morphological	Extent of boundedness	morphological & light verb	name for value 3	infinitive	kibrik1996trans	134	The same verb is used in Botlikh. 	Daria Izmalkova	t’ami		im-u-di rasul zini b=aq’al-al-i t’ami	Father made Rasul hide the cow	Father made Rasul hide the cow	father-OBL-ERG Rasul cow N=hide-CAUS-INF cause.PST	kibriketal1996	134	
44	East Caucasian	Andic	Godoberi	Godoberi	village	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	kibrik1996trans	117		Daria Izmalkova	-ali		rasul-di zini b=aq’as-ali	Rasul hid the cow	Rasul hid the cow	Rasul-ERG cow N=hide-CAUS.PST	kibriketal1996	134	
45	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	morphological & light verb	name for value 3	stem	forker2013	324		Daria Izmalkova	-r-;-er-		iyo-y Pat’imat-qo kaɣat cax-er-iš	Mother made Patimat write the letter.	Mother made Patimat write the letter.	mother-ERG Patimat-AT letter write-CAUS-PST	forker2013	325	
46	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	forker2013	326	The suffix -k’ (-ek’ after consonants) is added to the stems of adjectives, adverbials/postpositions, and a few verbs.	Daria Izmalkova	-k'-;-ek'-		“de”=ƛen eƛi-n “mihna-y y-ik’ek’-iš zoq’e-s”=ƛen eƛi-n	“A bird stole me,” she said.	“A bird stole me,” she said.	I=QUOT say-CVB bird-ERG II-steal-RES be-PST=QUOT say-CVB	forker2013	505	
47	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal auxiliary	name for value 1	serial verb construction	?	?	xalilovisakov2005		Extent of boundedness		name for value 3	stem	forker2013	339	"These are actually serial verb constructions consisting of a verbal stem followed by the verb tok’er-, which takes the inflectional suffixes..."" couldn't find the verb in the dictionary, however causativized verbs formed with it are present 		tok’er-		hoboy hezzo ɬe=n qorya: tok'er	After that you also make the water boil.	After that you also make the water boil.	then then water=and  boil force	forker2013	339	
48	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal auxiliary	light verb	do				Extent of boundedness		?	forker2013	333	transitivizing construction usually resulting in causative meaning		CM-u:-		haze xexza-y bak’arzi b-u:-s hayɬo-s q’idi-š geni	The children collected the pears from the ground	The children collected the pears from the ground	these.OBL child.PL.OBL-ERG collect III-do-PST he.OBL-GEN1 	forker2013	335	
49	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	light verb	periphastic construction	force	?	xalilovisakov2005		Extent of boundedness		infinitive	forker2013	507	"" This verb expresses not simple causation but causation with force and compulsion. The causee does not act voluntarily"	Daria Izmalkova	t’amizi -u:		hayɬoy eli t'amizi b-u:-s xabar ɬaq’e-r-a	He forced us to finish our conversation	He forced us to finish our conversation	he.ERG we force HPL-do-PST story finish-CAUS-INF	forker2013	507	
50	East Caucasian	Tsezic	Hunzib	Hunzib 	language	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	vandenberg1995	107		Daria Izmalkova	-k(V)		iyu-l y-arče-k'-er kid	mother woke up the daughter	mother woke up the daughter	mother-ERG 2-get.up-CAUS-PRET girl/2	vandenberg1995	107	
51	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Causative expression type	suffixal auxiliary	name for value 1	suffixal	do 	делать;сделать;родить	bekovaetal2009;kurkiev2005	suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	name for value 3	stem	nichols2011	486	direct causative	Daria Izmalkova	-d.u		Cuo sy loalaxuo qiera-vyr sogh	He made my neighbor get scared of me. He provoked fear of me in my neighbor.	He made my neighbor get scared of me. He provoked fear of me in my neighbor.	3s.ERG 1s.GEN neighbor fear-V.CAUS.WP 1s.LAT	nichols2011	487	
52	East Caucasian	Nakh	Ingush	Standard Ingush	language	no	no	Causative expression type	suffixal auxiliary	name for value 1	suffixal	leave	оставлять	bekovaetal2009;kurkiev2005		Extent of boundedness		name for value 3	stem	nichols2011	488	indirect causative	Daria Izmalkova	-iit;-it		Aaz cyn kuorta laziit	I'm giving him a headache (by doing something to make his head ache, e.g. making noise, annoying him, etc.)	I'm giving him a headache (by doing something to make his head ache, e.g. making noise, annoying him, etc.)	1s.ERG 3s.GEN head ache-CAUS.ind.PRS	nichols2011	489	
53	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	magomedbekova1971	140	 al в токитинском диалекте 	Daria Izmalkova	-a		gwar-a:-ɬa	заставить писать	force to write	write-CAUS-INF	magomedbekova1971	141	
54	East Caucasian	Andic	Karata	Karata	dialect_toplevel	no	no	Causative expression type	light verb?	name for value 1	описательная форма	let	пускать;пропускать;впускать;выпускать;отпускать;приводить в движение;вводить (одно вещество в другое);наносить (одно вещество на другое);распускать корни;отправлять что-л. кому-л.;издавать (книгу);распространять что-л.;случать (овец);роиться (о пчелах);выводить (птенцов);заставлять или давать возможность кому-л. совершать действие	magomedovaхalidova2001		Extent of boundedness		name for value 3	настоящее общее	magomedbekova1971	141		Daria Izmalkova	it-aɬ-a								
55	East Caucasian	Khinalug	Khinalug	Khinalug	village	yes	yes	Causative expression type	light verb	name for value 1	вспомогательный глагол	sell	продавать что-л.;заставлять что-л. делать;предавать кого-л.	ganieva2002	light verb	Extent of boundedness	only light verb 	name for value 3	infinitive	deshiriev1958	114		Daria Izmalkova	ček'iri	?	?						
56	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	morphological & light verb	name for value 3	stem	khalilova2009	271(-275)	алломорфия обусловлена стрктурой слога и звуком на который оканчивается корень	Daria Izmalkova	-x;-k'		išet’-i iɬes q’ala λus-x-i.	The mother made her child fall asleep.	The mother made her child fall asleep.	mother.OBL-ERG that.GEN1 child sleep-CAUS1-PST.W	khalilova2009	341	
57	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	no	no	Causative expression type	light verb	name for value 1	light verb	let	?			Extent of boundedness		name for value 3	infinitive	khalilova2009	(340-)341	Analytical causatives are less productive in the language	Daria Izmalkova	CM-ešt’a		ɣinaza Muħamad-qa židuli barkala iλ-a b-ešt’-i.	The women made Magomed thank them	The women made Magomed thank them	woman.PL.OBL.ERG Magomed-CONT that.PL.(D)LAT thanks(III) give-INF III-let-PST.W	khalilova2009	341	
58	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	Causative expression type	light verb	name for value 1	analytic construction	do	?		light verb	Extent of boundedness	only light verb 	name for value 3	?participle	authier2009	172	"there is no synthetic causative, ""do"" is for intransitives"	Daria Izmalkova	aric		xinib.c-ir furi ʕu-r-ğar-a ar-id	La femme persuada son mari.	The woman persuaded her husband.	wife-E man PV-M-believe-A do-AOR.M	authier2009	173	
59	East Caucasian	Lezgic	Kryz	Alik	village	no	no	Causative expression type	light verb	name for value 1	analytic construction	give	?			Extent of boundedness		name for value 3	infinitive	authier2009	314	derived from transitives	Daria Izmalkova	vuyic		a-d zindan.c-a ʕa-r-ğu-z vu-yid	Il l’a fait jeter en prison.	He had him thrown in jail.	3-notN prison-IN PV-M-force.in-INF give-AOR.M	authier2009	314	
60	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	abdullaevaetal2014	279	the usage of -tyr;-tir;-tur;-tUr,  -Guz;-giz, -Gar;-ger, -set, -dar is much more restricted	Daria Izmalkova	-dɯr;-dir;-dur;-dyr		yaz-dɯr	заставить писать	force to write	write-CAUS	khangishiev(abdullaevaetal2014)	279	
61	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯt;-it;-ut;-yt;-t		bašla-t						
62	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯr;-ir;-ur;-yр;-r		gё						
63	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	abdullaevaetal2014	279		Daria Izmalkova	-ar;-er								
64	Turkic	Kipchak	Kumyk	Standard Kumyk	language	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	abdullaevaetal2014	279		Daria Izmalkova	-ɯz;-iz								
65	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Causative expression type	light verb	name for value 1	вспомогательный глагол	do	делать;сделать;сотворить;произвести;построить;изготовить;собрать;совершить;родить;лишить;оставить без чего-л.	abdullaev2015	light verb	Extent of boundedness	only light verb 	name for value 3	infinitive(imperfective)/participle(perfective)	zhirkov1955	112		Daria Izmalkova	CM-an		čičin an	заставить (кого-нибудь) писать	force (someone) to write	write do	zhirkov1955	112	
66	East Caucasian	Lak	Lak	Standard Lak	language	no	no	Causative expression type	light verb	name for value 1	сочетание глагола и инфинитивного оборота	leave	оставить;сберечь;назначить кого-л. куда-л.;определить кого-л. куда-л.;выстрелить;светить;сиять(солнце, луна, радуга, свет);пасть, покрыть что-л. (роса, иней);разрешить, позволить (в знач. служебного глагола)	abdullaev2015		Extent of boundedness		name for value 3	infinitive	kazenin2013	111	permissive	Daria Izmalkova	CM-it-an		Barzulawl cala oьrчIru мяjwa гьantlij къatluwa bukkan къabiwtuna	Барзулав восемь дней не позволял своим детям выйти из дома	?Barzulaw didn't let his children leave the house for eight days	?	kazenin2013	112	
67	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	morphological & light verb	name for value 3	masdar stem	haspelmath1993	163		Daria Izmalkova	-(a)r-		ksu-r-un	put to bed	put to bed	sleep-CAUS-?INF	haspelmath1993	163	
