id	family	group	language	idiom	type	genlang_point	map	chapter	value1	feature1	value2	feature2	value3	feature3	value4	feature4	value5	feature5	source	page	comment	contributor	date	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
15	East Caucasian	Dargwa	Northern Dargwa	Aqusha	dialect_toplevel	no	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	not specified	Percentage of agreeing verbs	agreeing, fossilized, or lost	Prefix	agreeing preverb	Other slots	abdullaev1954	145-146	some verbs may have two agreement slots at once - one at the end of the preverb and another before the verb stem	Ivan Olkhov	2025-04-03	w- / r- / b- / d-								
16	East Caucasian	Dargwa	Chirag	Chirag	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing preverb	Other slots	kibrikkodzasov1988; evstigneeva2017	27, 29-30; 616	judging by an example from Evstigneeva 2017. Agreement in Chirag Dargwa, agreeing preverbs are present: sa-b-b-arχː-ib PRV-HPL-HPL-встретить:PF-AOR	Ivan Olkhov	2025-04-03	w- / j- / r- / ∅- / b- / d-								
17	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	majority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing preverb	Other slots	sumbatovamutalov2003	60, 78, 84	Most initial stems are preceded by a class agreement marker. However, all consonant-initial and some vowel-initial stems have no class agreement markers. The past marker ca=b agrees as well, but it seems to be a clitic as although it is usually added at the end of the verb form, it can attach to other words in the sentence depending on the focus	Ivan Olkhov	2025-04-03	w- / ∅- / r- / b- / d- / tː-								
18	East Caucasian	Dargwa	Kubachi	Kubachi	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb, suffix	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or lost	Prefix	agreeing preverb, agreeing suffix	Other slots	magometov1963	76-77, 153-156	the prefix agrees with the absolutive argument. the suffix, if the subject is in 3rd person, can agree with either the subject or the object, which will affect the voice of the verb	Ivan Olkhov	2025-04-03	w- / j- / d- / b-		tukančildil mas b-iːsulsa-w	продавец продает материю	a seller sells fabric	seller fabric B-sell-W	magometov1963	153	
19	East Caucasian	Dargwa	Kajtag	Kajtag	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	preverb	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix, agreeing preverb	Other slots	temirbulatova2004	14, 31	"unlike in standard Dargwa, there are no verbs with class agreement suffixes. ""Классные показатели обнаруживаются в структуре глагольных основ, наречий, послелогов, превербов, ..."", ""классный иреверб биж- (виж-, риж-) «внутри, но направлению внутрь» ..."""	Ivan Olkhov	2025-04-03	w- / r- / b- / d-								
20	East Caucasian	Dargwa	Mehweb	Mehweb	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	majority	Percentage of agreeing verbs	agreeing or lost	Prefix	agreeing preverb	Other slots	danieletal2019	75, 107	"Verbs may only have gender markers in the prefix position, and not all verbs have this slot (though most do). ""the preverbal element may have its own gender agreement position"". an agreement suffix is found in the copula"	Ivan Olkhov	2025-04-03	w- / r- / b- / d-								
21	East Caucasian	Dargwa	Southwestern Dargwa	Tanti	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	majority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing preverb	Other slots	sumbatovalander2014	102-105, 117, 436	"an agreeing infix is found in the auxiliary. // ""Классный префикс присутствует в большинстве минимальных основ"""	Ivan Olkhov	2025-04-03	w- / r- / b- / d-		q˳aj-te χː˳ala-te dali ka-d=irxː-u-le — dimʡaˁn-te gu=d-d=urkː-u-le	крупные (деньги) я кладу (под подушку) — мелкие нахожу	big ones (money) I put (under the pillow) — small ones I find	massive-ATR.PL big-ATR.PL 1SG:ERG down-NPL=put:IPF-PRS-CONV small-ATR.PL under=NPL-NPL=find:IPF-PRS-CONV	sumbatovalander2014	169	
22	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	hewitt1995	33, 117	there are no noun classes in Georgian	Ivan Olkhov	2025-04-03									
43	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	authier2012	43	there are no noun classes in Tat	Ivan Olkhov	2025-04-03									
28	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	suffix	Affix agreement	minority	Percentage of agreeing verbs	agreeing, fossilized, or lost	Prefix	agreeing infix, agreeing suffix	Other slots	desheriev1959	43, 45, 58, 80	"some verbs have suffixes or infixes // ""Классных переходных глаголов значительно меньше, чем неклассных переходных глаголов"""	Ivan Olkhov	2025-04-03	b- / p- / j- / r- / c- / č- / s- / z- / ∅-; bi- / vi- / va- / dæ- / du- / ji- / ja-								
31	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	abdullaevaetal2014	146	there are no noun classes in Kumyk	Ivan Olkhov	2025-04-03									
34	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	baskakov1973	221	there are no noun classes in Nogai	Ivan Olkhov	2025-04-03									
32	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix	Other slots	zhirkov1955	23, 80, 82-86	infixes appear in some past tense forms regardless of whether the verb has a prefix or not	Ivan Olkhov	2025-04-03	∅- / w- / b- / d- / r-								
1	East Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	fossilized or lost	Prefix	fossilized infix	Other slots	magometov1970	55-65		Ivan Olkhov	2025-04-03	d- / r- / j- / b- / tˡ / t; -r-		zun hammišandi ruxa-w	я всегда читаю	I always read	I always read-be.1sg	magometov1970	129	
4	East Caucasian	Lezgic	Archi	Archi	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix	Other slots	kibrik1977	78, 80-81	prefix in duratives, imperatives and masdars, terminatives, finals and potentials. may be absent due to different (semantic, phonological) rules	Ivan Olkhov	2025-04-03	w- / d- / r- / b- / ∅-		da<b>xir	бить (нечто III)	to beat (something belonging to the 3rd class)	<B>beat	kibrik1977	81	
11	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	majority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing infix	Other slots	talibov2007	186-198	"the prefix may be preceded by a preverb or a negative or prohibitive infix, in which case it is considered to be an infix itself. the rare cases where a verb does not have class agreement ""...stem from the limitations imposed because certain lexemes can only be combined with one particular class or because class forms are neutralized as a result of phonetic processes"" [Alekseev 1994: 276]"	Ivan Olkhov	2025-04-03	r- / o- / b- / ∅- / d- / l- / p- / p'- / t- / t'- / ü- / ø- / w-								
30	East Caucasian	Lezgic	Kryz	Alik	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	majority	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	authier2009	142-144	La majorité des bases verbales sont accordables, c'est-à-dire qu'elles comportent une place pour cette indexation avant la consonne radicale, soit à l'initiale (quelques racines) soit, le plus souvent, entre un préverbe et la racine: la flexion est donc interne. // Trois racines de forme -a-C-(a) ont manifestement été ‘dépréverbées’ puisque qu’on trouve leur consonne radicale aussi préverbée, et pour deux avec un autre élargissement (-r). Noter que aqayc reçoit deux préfixes d’accord: babqayc ‘les avoir gardés’.	Ivan Olkhov	2025-04-03	r- / d- / ∅- / b- / v- / u-								
33	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	haspelmath1993	6	there are no noun classes in Lezgian	Ivan Olkhov	2025-04-03									
35	East Caucasian	Lezgic	Rutul	Mukhad	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	all	Percentage of agreeing verbs	agreeing	Prefix	no	Other slots	ibragimov2004	89-93	"verbs that lack agreement are not mentioned in the source; however, in [magometov1970:57]: ""В рутульском глаголе префикс, классный показатель не сохранился"""	Ivan Olkhov	2025-04-03	∅- / r- / j- / d- / i- / l- / w- / b-								
36	East Caucasian	Lezgic	Rutul	Shinaz	village	no	no	class agreement slot in verbs	prefix	Root agreement	suffix	Affix agreement	all	Percentage of agreeing verbs	agreeing	Prefix	agreeing suffix	Other slots	ibragimov2004	136	a suffix appears alongside the prefix in a special present tense form	Ivan Olkhov	2025-04-03	∅- / r- / j- / d- / i- / l- / w- / b-								
37	East Caucasian	Lezgic	Rutul	Ikhrek	dialect_toplevel	no	no	class agreement slot in verbs	prefix	Root agreement	suffix	Affix agreement	all	Percentage of agreeing verbs	agreeing	Prefix	agreeing suffix	Other slots	ibragimov2004	186	a suffix appears alongside the prefix in special present and future tense forms	Ivan Olkhov	2025-04-03	∅- / r- / j- / d- / i- / l- / w- / b-								
38	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing or lost	Prefix	agreeing infix	Other slots	babaliyeva2023_tabasaran	25-27		Ivan Olkhov	2025-04-03	b- / d- / r- / ∅-								
39	East Caucasian	Lezgic	Tabasaran	Northern Tabasaran	dialect_toplevel	no	no	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	agreeing	Prefix	no	Other slots	magometov1970	55-65		Ivan Olkhov	2025-04-03	b- / d-		izu u<r>gunu-za	я сгорел	i was burned	I <hum.sg>burn-1sg	magometov1965	201	
40	East Caucasian	Lezgic	Tabasaran	Khiv	village	no	no	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	fossilized or lost	Prefix	fossilized infix	Other slots	magometov1970	55-65		Ivan Olkhov	2025-04-03	b-; -w- / -r- / -∅-		uzu daxajiz kaɣaz bikʼur-za	я напишу отцу письмо	i will write a letter to my father	I to.father letter write-1sg	magometov1965	249	
41	East Caucasian	Lezgic	Tabasaran	Dyubek	village	no	no	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	fossilized or lost	Prefix	agreeing infix	Other slots	magometov1970	55-65		Ivan Olkhov	2025-04-03	d-; -w- / -r- / -∅-		fitːaxi jiwnu-wa izus	чем ты меня ударил?	what did you hit me with?	what.with hit.2sg me	magometov1965	134	
42	East Caucasian	Lezgic	Tabasaran	Khanag	village	no	no	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	not specified	Percentage of agreeing verbs	fossilized or lost	Prefix	agreeing infix	Other slots	magometov1970	55-65		Ivan Olkhov	2025-04-03	d-, j-; -w- / -r- / -∅-		hapʼuz	отправить	to send	<inan.sg>send	magometov1965	65	
45	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	class agreement slot in verbs	prefix	Root agreement	preverb	Affix agreement	majority	Percentage of agreeing verbs	agreeing	Prefix	agreeing preverb	Other slots	kibrik1999	61, 67-68	most verbs have slots between the preverb and the root, but some have one before the preverb. two slots appear in compounds and causatives, which consist of a potentialis stem and a conjugating form of the verb 'do'	Ivan Olkhov	2025-04-03	r- / b- / d- / ∅- / j- / w-								
48	East Caucasian	Lezgic	Udi	Nizh	dialect_toplevel	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	fossilized or absent	Prefix	no	Other slots	maisak2008	98	there are no noun classes in Udi	Ivan Olkhov	2025-04-03									
13	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	about a third	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	nichols1994	21, 37	About 30% of the verb roots agree in gender...	Ivan Olkhov	2025-04-03	v- / j- / d- / b-								
26	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	suffix	Affix agreement	minority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing suffix	Other slots	nichols2011	141-142, 235, 237, 250, 480, 486	"the conditional, future tense and nonwitnessed tense endings have class agreement. also in some verb forms (causative, perfect, optative) a form of the auxiliary 'be', which has class agreement, is used and is similar to an affix. // ""63 90/294 verbs (30.6%). The 294 are all of the non-pluractional, non-plural simple verb roots. If pluractionals and plurals are included the count is 109/393 = 27.7%"""	Ivan Olkhov	2025-04-03	v- / j- / b- / d-								
47	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	class agreement slot in verbs	prefix	Root agreement	suffix	Affix agreement	many	Percentage of agreeing verbs	agreeing or lost	Prefix	agreeing suffix	Other slots	desheriev1953; holiskygagua1994; harris2018	135-136, 145; 11, 21; 7, 22-23, 28	"agreement suffixes are found in causatives, though formally they're considered by Desheriev to be forms of the verb 'do' compounded with the stem of the main verb. // ""Однако большинство глаголов относится к классным"". // according to [Harris 2009], there is an agreeing preverb d-ux in Tsova-Tush. However, Harris regards preverbs in Tsova-Tush as not being part of the verb form. She also analyzes the agreement suffixes as suffixes derived from forms of the verb do, while Holisky and Gagua even consider them comparable to inflection. They also refer to the preverb system as developing and separate the preverbs from the verb forms with spaces. // According to [Harris 2009], 74.47% of verbs have agreement 'somewhere in the stem' (likely including suffixes), while only 21.53% have root agreement prefixes."	Ivan Olkhov	2025-04-03	w- / j- / b- / d-								
7	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	class agreement slot in verbs	no	Root agreement	no	Affix agreement	none	Percentage of agreeing verbs	no	Prefix	no	Other slots	shiralievsevortyan1971	42	there are no noun classes in Azerbaijani	Ivan Olkhov	2025-04-03									
9	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	minority	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing vowel infix	Other slots	madieva1965	51, 115-117	Большинство глаголов классных показателей не имеют	Ivan Olkhov	2025-04-03	∅- / j- / b-; -o- / -i- / -u-		šugošova boχ j-ũqča	лошадь сено ест	horse eats hay	horse grass J-eat	madieva1965	116	
24	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	about a third	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	forker2013	188-190	"prefixes are present only in verbs with vowel-initial roots, but not in all of them // ""About one third of the simple verb stems, which make up around 270 items, have agreement prefixes"""	Ivan Olkhov	2025-04-03	∅- / y- / b- / r-								
25	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	class agreement slot in verbs	prefix, infix	Root agreement	no	Affix agreement	about half	Percentage of agreeing verbs	agreeing or absent	Prefix	agreeing vowel infix	Other slots	vandenberg1995	73, 79-80	"the infix is referred to in the grammar as ""apophony in the root"" // ""About 44% of the roots can have a class prefix"""	Ivan Olkhov	2025-04-03	∅- / y- / b- / r-; -ə- / -i- / -u-								
29	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	minority	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	khalilova2009	41-42, 181	There are two classes of verbs, those that start with a vowel and therefore have an initial slot for a gender/number agreement marker (about 23%)...	Ivan Olkhov	2025-04-03	∅- / y- / b- / m- / l- / n-								
46	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	class agreement slot in verbs	prefix	Root agreement	no	Affix agreement	minority	Percentage of agreeing verbs	agreeing or absent	Prefix	no	Other slots	bokarev1959tsez	182, 205-206	Но большинство глаголов все же по классам не изменяется	Ivan Olkhov	2025-04-03	∅- / j- / b- / r-								
