id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	value3	value3_name	value4	value4_name	value5	value5_name	source	page	comment	contributor	date	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	idiom_new	language_new	type_new
46	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	talibov2007	107	Adjectives in the attributive position do not change, and when substantivized they do change	Aigul Zakirova	3/12/2024		гӏари дих, гӏари дихример	ʕari diχ, ʕari diχrimer	хороший сын, хорошие сыновья	good son, good sons	good son, good son-pl	talibov2007	111				
12	East Caucasian	Andic	Chamalal	Verkhnee Gakvari	village	yes	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	bokarev1949a	56-60	Adjectives in the attributive position have separate agreement in gender and number	Aigul Zakirova	3/12/2024	-e	SG ару (m), арв-и (f), ару-б (n1), ару-л (n2), арв-и (n3), PL ару-б-е (hpl), арв-и-йе (npl)	SG aru (m), arv-i (f), aru-b (n1), aru-l (n2), arv-i (n3), PL aru-b-e (hpl), arv-i-je (npl)	широкий, широкие	broad (sg), broad (pl)	SG broad.m, broad-f, broad-n1, broad-n2, broad-n3, PL broad-hpl-pl, broad-npl-pl	bokarev1949	56-57				
55	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	suffix (some instances); weak suppletion (some lexemes)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	jakovlev1960	36-54	Adjectives in the attributive (dependent) position do not change, and when substantivized (independent) they do change. However, there are a handful of adjectives with a plural form: small, big, low, firm, yellow, strong	Aigul Zakirova	3/15/2024	-ij	цӏиэн байракх, цӏиэн байракхаш. воккха кӏант, баккхий кӏентий.	ts'ien bajrakχ, ts'ien bajrakχaʃ. wokːχa k'ant, bakːχij k'entij	красное знамя, красные знамена. большой парень, большие парни.	red banner, red banners. big guy, big guys.	red banner, red banner-pl. m-big guy, hpl-big-pl guy-pl.	yakovlev1960	41, 57				
56	East Caucasian	Nakh	Chechen	Standard Chechen	language	no	no	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	weak suppletion (some lexemes)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	nichols1994	30-31	A few adjectives agree in number by changing root vocalism	Aigul Zakirova	3/15/2024	vowel ablaut	#gottaⁿ, #gatti:ⁿ	#gottaⁿ, #gatti:ⁿ	narrow, narrow	narrow, narrow	narrow, narrow.pl	nichols1994	30-31				
29	East Caucasian	Dargwa	Muira	Kishi	dialect_nt2	yes	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	gasanova1971	174	Adjectives in plural end in -ti	Aigul Zakirova	3/15/2024	-ti	мушути девани	muʃuti dewani	сходное слово	a similar word	similar-attr.pl word	gasanova1971	174				
39	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	number affix of the head	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	hewitt1995	45-51	Adjectives do not agree for the new plural, but they do agree for the old plural (-n-i)	Aigul Zakirova	3/12/2024	-n-i	maġal-i brma kal-i, maġal-i brma kal-eb-i. maġal-i brma kal-i, maġal-n-i brma-n-i kal-n-i	maġal-i brma kal-i, maġal-i brma kal-eb-i. maġal-i brma kal-i, maġal-n-i brma-n-i kal-n-i	the tall blind woman, tall blind women. the tall blind woman, tall blind women.	the tall blind woman, tall blind women. the tall blind woman, tall blind women.	tall-nom blind woman-nom, tall-nom blind woman-pl-nom. tall-nom blind woman-nom, tall-pl-nom blind-pl-nom woman-pl-nom	hewitt1995	45				
13	East Caucasian	Andic	Godoberi	Godoberi	language	no	no	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	kibriketal1996	21	Adjectives agree with the head of the NP in gender	Aigul Zakirova	3/15/2024		w=ollara=w, j=ellara=j, b=ellara=b, b=ellara=b, r=ellara=r	w-ollara-w, j-ellara-j, b-ellara-b, b-ellara-b, r-ellara-r	thin (m), thin (f), thin (n), thin (hpl), thin (npl)	thin (m), thin (f), thin (n), thin (hpl), thin (npl)	m-thin-m, f-thin-f, n-thin-n, hpl-thin-hpl, npl-thin-npl	kibriketal1996	21				
21	East Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	saidova1973	73-81	In Avar borrowings, instead of HPL and NPL agreement markers the borrowed Avar marker -l is sometimes used. On the other hand, the adjective 'thin' probably is not a borrowing? A lot of variation. The author believes that this process points at the attrition of original Godoberi HPL and NPL markers	Aigul Zakirova	3/15/2024	-l	ъажаиба / ъажаибал адамике, релларар/ релларал берке	ʕažaiba / ʕažaiba-l adamike, r-el:ara-r / r-el:ara-l berke	удивительные люди; тонкие черви, змеи	suprizing people; thin worms, snakes	surprizing / surprizing-PL person.PL; NPL-thin-NPL / NPL-thin-PL snake.PL		80				
63	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	forker2013	185		Aigul Zakirova	3/15/2024		y-ʡežiy ked, b-ʡežiy ked-bi / r-ʡežiy ked-bi	y-ʡežiy ked, b-ʡežiy ked-bi / r-ʡežiy ked-bi	old girl, old girls	old girl, old girls	f-old girl, hpl-old girl-pl	forker2013	185		Hinuq	Hinuq	language
64	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	vandenberg1995	58		Aigul Zakirova	3/15/2024	-ar	y-iʔer.u kid, b-iʔer-ar kid-ba	y-iʔer.u kid, b-iʔer-ar kid-ba	small girl, small girls	small girl, small girls	f-small girl, hpl-small-pl girl-pl	vandenberg1995	58				
57	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	lexical	Conditioning of number marking on attributive adjectives	suffix (some instances); weak suppletion (some lexemes)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	nichols2011	220-221	Only two adjectives distinguish number, 'old' and 'small'.	Aigul Zakirova	3/15/2024	-ii	voaqqa sag, boaqqii nax	voaqqa sag, boaqqii nax	old man, elders	old man, elders	m-old man, hpl-old people	nichols2011	220				
40	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	authier2012			Aigul Zakirova	3/12/2024		gisneye seg-ho=ş	gisneye seg-ho=ş	les chiens affamés	the hungry dogs	hungry-ATTR dog-PL=EVEN	authier2012	70		Juhuri	Juhuri	language
15	East Caucasian	Andic	Karata	Anchiq	dialect_toplevel	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-e	bil'o-b-e, ril'o-re	b-il'o-b-e, r-il'o-re	плохие (кл. чел.), плохие (кл. вещей)	bad (hpl), bad (npl)	hpl-bad-hpl-pl, npl-bad-npl-pl	magomedbekova1971	87				
16	East Caucasian	Andic	Karata	Archo	village_dialect	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-e	bil'o-b-e, ril'o-re	b-il'o-b-e, r-il'o-re	плохие (кл. чел.), плохие (кл. вещей)	bad (hpl), bad (npl)	hpl-bad-hpl-pl, npl-bad-npl-pl	magomedbekova1971	87				
18	East Caucasian	Andic	Karata	Chabakori	village	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-i	bagu-b-i, ragu-r-i	b-agu-b-i, r-agu-r-i	сухие (кл. чел.), сухие (кл. вещей)	dry (hpl), dry (npl)	hpl-dry-hpl, npl-dry-npl	magomedbekova1971	87				
19	East Caucasian	Andic	Karata	Mashtada	village	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-i	bagu-b-i, ragu-r-i	b-agu-b-i, r-agu-r-i	сухие (кл. чел.), сухие (кл. вещей)	dry (hpl), dry (npl)	hpl-dry-hpl, npl-dry-npl	magomedbekova1971	87				
20	East Caucasian	Andic	Karata	Ratsitl	village	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-i	bagu-b-i, ragu-r-i	b-agu-b-i, r-agu-r-i	сухие (кл. чел.), сухие (кл. вещей)	dry (hpl), dry (npl)	hpl-dry-hpl, npl-dry-npl	magomedbekova1971	87				
14	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magomedbekova1971	85-93	Adjectives agree with the head of the NP in gender.	Aigul Zakirova	3/12/2024	-aj	w-oč̣eṭiro-w, j-eč̣eṭiro-j, b-eč̣eṭiro-b, b-eč̣eṭiro-b-aj, r-eč̣eṭiro-r-aj	w-otʃ’et’iro-w, j-etʃ’et’iro-j, b-etʃ’et’iro-b, b-etʃ’et’iro-b-aj, r-etʃ’et’iro-r-aj	черный (1 кл.), черный (2 кл.), черный (3 кл.), черный (1-2 кл.), черный (кл. вещей)	black (m), black (f), black (n), black (hpl), black (npl)	m-black-m, f-black-f, n-black-n, hpl-black-hpl, npl-black-npl	magomedbekova1971	85-86		Karata	Karata-Tukita	dialect_toplevel
47	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	desheriev1959	36	Adjectives in the attributive (dependent) position do not change, and when substantivized (independent) they do change. However, there are a handful of adjectives with a dependent plural form	Aigul Zakirova	3/12/2024		таза фабрика, таза фабрикәрдәр	taza fabrika, taza fabrikärdär	новая фабрика, новые фабрики	new factory, new factories	new factory, new factory-pl	desheriev1959	35				
65	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	no	no	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	khalilova2009	101		Aigul Zakirova	3/15/2024	-t'a	kˁaba γʷade, kˁaba-t'a γʷad-ba	kˁaba γʷade, kˁaba-t'a γʷad-ba	black bird, black birds	black bird, black birds	black bird, black-PL bird-PL	khalilova2009	169				
66	East Caucasian	Tsezic	Khwarshi	Inkhokvari	village	no	no		sometimes	Is number marking present on adnominal adjectives?	semantic	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	bokarev1959tsez	159		Aigul Zakirova	3/16/2024	-t'a							159				
67	East Caucasian	Tsezic	Khwarshi	Khvarshi	village	yes	yes		never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	attested	Distributive marking bordering on plural agreement	graschenkov2021	89-97		Aigul Zakirova	11/11/2024	-t'a											
48	East Caucasian	Lezgic	Kryz	Alik	dialect_toplevel	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	authier2009	71	Adjectives in the attributive position do not change, and when substantivized they do change	Aigul Zakirova	3/12/2024		murdar-a şey-ri	murdar-a şey-ri	ordures	garbage	dirty-a thing-pl	authier2009	69				
38	East Caucasian	Dargwa	Kubachi	Kubachi	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magometov1963	131-132	Unlike other Dargwa varieties, Kubachi Dargwa has gender agreement suffixes on adjectives, instead of number agreement	Aigul Zakirova	3/15/2024		ara-zi-w adame, ara-žu-b adam-te. ara-zi-b h:āwan, ara-žu-d h:āwan-te	ara-zi-w adame, ara-žu-b adam-te. ara-zi-b h:āwan, ara-žu-d h:āwan-te	здоровый мужчина, здоровые мужчины. здоровое животное, здоровые животные.	healthy man, healthy men. healthy animal, healthy animals.	healthy-attr-m man, healthy-attr-hpl men. healthy-attr-n animal, healthy-attr-npl animals.	magometov1963	131-132		Kubachi	Kubachi	language
41	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	abdullaevaetal2014	215-230	When substantivized, adjectives can attach case, number and possessive marking	Aigul Zakirova	3/12/2024		бийик тав, гёкчек тавларым	bijik taw, ɡöktʃek tawlarɨm	высокая гора, синеватые мои горы	high mountain, my blueish mountains	high mountain, blueish mountain-pl-poss1sg	abdullaevaetal2014	216				
43	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Number agreement in adjectives	sometimes	Is number marking present on adnominal adjectives?	full form	Conditioning of number marking on attributive adjectives	suffix (some instances)	How is number expressed on adnominal adjectives	attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	zhirkov1955	45-50	Adjectives have 3 forms: 1) short without any marking, 2) form in -ssa which does not agree, 3) contrastive form in -ma/ -mur / -mi, that agrees in gender and number.	Aigul Zakirova	3/15/2024	-mi	бучсса ниц, бучсса ницру. бучмур ниц, бучми ницру	butʃ-sːa nits, butʃ-sːa nits-ru. Butʃ-mur nits, butʃ-mi nits-ru	жирный бык, жирные быки. жирный бык, жирные быки.	fat ox, fat oxen. fat ox, fat oxen	fat-attr ox, fat-attr ox-pl. fat-atr.contr ox, fat-atr.contr.pl ox-pl	zhirkov1955	48				
49	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	haspelmath1993	110	Unmarked adjectives are used in the attributive position and in the predicative position. Substantivized adjectives (SG -di, PL -bur(u)) are used in elliptical (anaphoric) contexts, predicative position and adjective-to-noun conversion	Aigul Zakirova	3/12/2024		qʰsan kar, qʰsan xabarar	qʰsan kar, qʰsan xabarar	good thing, good news	good thing, good news	good thing, good news-pl	haspelmath1993	431, 400				
9	East Caucasian	Andic	Lower Andi	Muni	village	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	own fieldwork		In Muni Andi no number agreement in the adnominal position.	Aigul Zakirova	3/15/2024		hiri dʒindʒi. hiri / *hiro-li dʒindʒiʔo-li	hiri dʒindʒi. hiri / *hiro-li dʒindʒiʔo-li	red flower. Red flowers.	red flower. Red flowers.	red flower(N) red / *red-PL flower(N).PL-PL	own fieldwork			Muni	Lower Andi	village
37	East Caucasian	Dargwa	Mehweb	Mehweb	language	yes	yes	Number agreement in adjectives	never	Is number marking present on adnominal adjectives?	no conditioning (no marking)	Conditioning of number marking on attributive adjectives	not expressed	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	magometov1982	50-51	Unlike other Dargwa varieties, Mehweb Dargwa does not have suffixal plural agreement on adjectives	Aigul Zakirova	3/15/2024		aq-il adami, aq-il adam-ule	aq-il adami, aq-il adamule	высокий человек, высокие люди	tall person, tall people	tall-adj person, tall-adj person-pl	magometov1982	50		Mehweb	Mehweb	language
33	East Caucasian	Dargwa	Northern Dargwa	Mikihi	dialect_nt1	no	yes	Number agreement in adjectives	always	Is number marking present on adnominal adjectives?	no conditioning (obligatory marking)	Conditioning of number marking on attributive adjectives	suffix (obligatory)	How is number expressed on adnominal adjectives	not attested	Gender neutralization in plural	not attested	Distributive marking bordering on plural agreement	gasanova1971	294		Aigul Zakirova	3/15/2024	-te	лугуте	lugu-te	даваемые	given ones	give.ptcp-pl	gasanova1971	294				
