id	lang	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date
31	Hunzib	Hunzib	language	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	332	George Moroz	2017.05.06
32	Ingush	Standard Ingush	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	nichols2011	22	George Moroz	2021.10.04
33	Karata-Tukita	Karata	dialect_toplevel	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	magomedbekova1971	12--18	George Moroz	2021.10.04
34	Tukita	Tukita	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	gadzhieva2007	7	George Moroz	2021.10.04
35	Khinalug	Khinalug	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrik1994b	372	George Moroz	2021.10.04
36	Khinalug	Khinalug	village	no	no	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	346--347	Viola Ivanova	2017.05.06
37	Khwarshi	Inkhoqwari	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	327	George Moroz	2017.05.06
38	Khwarshi	Kwantlada	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	khalilova2009	23	George Moroz	2021.10.04
39	Kryz	Kryz Proper	dialect_toplevel	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	saadiev1994	410	George Moroz	2021.10.04
40	Kryz	Kryz Proper	dialect_toplevel	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	345	Viola Ivanova	2017.05.06
41	Kumyk	Standard Kumyk	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	abdullaevaetal2014	27	George Moroz	2021.10.04
42	Lak	Khosrekh	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	333	Viola Ivanova	2017.05.06
43	Lezgian	Khlyut	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	341	George Moroz	2017.05.06
44	Lezgian	Standard Lezgian	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	gaydarovetal2009	54	George Moroz	2021.10.04
45	Nogai	Standard Nogai	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	baskakov1940	13	George Moroz	2021.10.04
46	Rutul	Luchek	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	alekseev1994	217	George Moroz	2021.10.04
47	Rutul	Luchek	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	342--343	Viola Ivanova	2017.05.06
48	Tabasaran	Dyubek	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	336	George Moroz	2017.05.06
49	Tabasaran	Standard Tabasaran	language	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	alekseevshixalieva2003	29	George Moroz	2021.10.04
50	Tat	Muslim Tat	dialect_toplevel	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	griunberg1963	9	George Moroz	2021.10.04
51	Tindi	Tindi	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	326--327	Viola Ivanova	2017.05.06
52	Tindi	Tindi	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	magomedova2012	7	George Moroz	2021.10.04
53	Tsakhur	Mikik	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrikkodzasov1990	343	George Moroz	2017.05.06
54	Tsakhur	Mishlesh	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	kibrik1999	17	George Moroz	2021.10.04
55	Tsez	Kidero	village	no	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	328	Viola Ivanova	2017.05.06
56	Tsez	Sagada	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	wilson2021	388	George Moroz	2021.10.04
57	Tsova-Tush	Zemo-Alvani	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	not attested	holiskygagua1994	150	George Moroz	2021.10.04
58	Udi	Nizh	village	yes	yes	Presence of umlaut vowels	Presence of umlaut vowels	attested	kibrikkodzasov1990	347	Viola Ivanova	2017.05.06
