id	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	other	comment	contributor	example_as_in_source	example Cyrillic	example	gloss	translation_as_in_source	translation	source	example_source	page	example_comment	date
16	Bezhta	Bezhta	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	go well		Nina Dobrushina		Гьино бидзи йахъала	Hino bidži y-aq-ala	road right(straight) IV-happen-PT	Cчастливого пути!	Have a nice trip!	comrieetal2015	comrieetal2015	382		
17	Bezhta	Bezhta	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		аахо энкье (M), аахо йенкье (F)	aaxo enƛ’e (M), aaxo jenƛ’e (F)	well M.go.IMP	Cчастливого пути!	Have a nice trip!	Mazhid Khalilov, p.c.	Khalilov pc		в словаре и грамматике ахо, в письме аахо	
18	Botlikh	Botlikh	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъи бит1ибе	miq’i b-it’-ibe	road n-be.straight-opt	Счастливого пути!	Have a nice trip!	saidovaabusov2012	saidovaabusov2012	281		
19	Budukh	Budukh	village	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		во сафар г1ари сахье	 vo safar ʕari saxe	your trip good be-OPT	счастливого пути	Have a nice trip!	mejlanova1984	mejlanova1984	125	 	
20	Chamalal	Lower Gakvari	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъ б=ит1илъбе-кьа	miq' bit'iɬbe-ƛ’a	road be.straight-OPT	счастливого пути	Have a nice trip!	magomedova1999	magomedova1999	84-85		
21	Chechen	Standard Chechen	language	no	no	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			neq’ dika xiːjla	road good COP.PFM.OPT2	Have a good journey	Have a nice trip!	dobrushina2011	dobrushina2011	124		
22	Dargwa	Standard Dargwa 	language	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		гьуни г1ях1 бираб 	huni ʡæˁħ birab	road good be-OPT	Счастливого пути	Have a nice trip!	yusupov2014	yusupov2014	311		
23	Dargwa	Standard Dargwa 		no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		ГIяхIсягIят бираб!	ʡæˁħ sæˁħæˁt birab	good hour be-OPT	благопож.в добрый час! счастливого пути! удачной дороги! (букв:пусть будет хороший час).	Have a nice trip!	yusupov2014	yusupov2014	355		
24	Dargwa	Mehweb	village	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			hum-be ʡaˤχ d-uh-a-b!	road-PL good npl-become:pfv-irr-opt	May you have a good trip!	Have a nice trip!	dobrushina2019	dobrushina2019	139		
25	Dargwa	Itsari	village	yes	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	salamat		Nina Dobrushina			salamat w=irq’-ab	good [M]do:IPF-OPT	Happy journey!	Have a nice trip!	sumbatovamutalov2003	sumbatovamutalov2003	97		
26	Dargwa	Kaitag	dialect_toplevel	no	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina	ссаматдехь бигьав				Легкого пути! (букв. легко пусть будет)	Have a nice trip!	Uzlipat Gasanova p.c.				
27	Dargwa	Kubachi	village	yes	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	salamat		Nina Dobrushina		Саламатвакь!	salamatʰ w-aqʼ!	good do.OPT		Have a nice trip!	magometov1963	magometov1963	205		
28	Dargwa	Kubachi	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		Саламатвикье!	salamatʰ w-iqʼe:!	good do.?	доброго пути (букв. пусть станет путь легким).	Have a nice trip!	magometov1963	magometov1963	5		
29	Dargwa	Kubachi	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur	may hour be good		Nina Dobrushina		ГIях сяхIятI бухаб	ʡæˁχ sæˁħæˁt' buχab	good hour be-OPT	доброго пути (букв. пусть время будет хорошее).	Have a nice trip!	Magomed from Kubachi, p.c.	Magomed from Kubachi, pc			
30	Dargwa	Urtsaki	village	no	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	may hour be good		Nina Dobrushina	Г/ ях  саг/ят  бигьаб		ʡaˤχ sæˁħæˁt'  b-iha-b	good hour be-OPT	доброго пути (букв. пусть время будет хорошее).	Have a nice trip!	Kash-Magomed from Urtsaki, p.c.	Kash-Magomed from Urtsaki, pc			
31	Dargwa	Tanty	village	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			xːun-be ʕaˁχ d=iχW-ab	road-PL good NPL=become.PF-OPT	Счастливого пути	Have a nice trip!	sumbatovalander2014	sumbatovalander2014	406		
32	Georgian	Standard Georgian	language	yes	yes	Farewell wishes	neither	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	kind trip		Nina Dobrushina		კეთილი მგზავრობა!	k'etili mgzavroba	kind trip	Happy journey (lit. kind trip)	Have a nice trip!	Amiridze p.c.	amiridze pc	573		
33	Godoberi	Godoberi	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъи бит1и-лъали	miq'i bit'iƛali	road N-straight-	пожелать счастливого пути (букв. разровнять)	Have a nice trip!	saidova2006	saidova2006	77		
34	Godoberi	Godoberi	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		микъи бит1и-лъи	miq'i bit'iƛi	road N-straight-	счастливого пути	Have a nice trip!	saidova2006	saidova2006`	77	no clear example of negative form as optative so far (only as negative jussive)	
35	Hinuq	Hinuq	village	yes	yes	Farewell wishes		straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	May [] let the road		Nina Dobrushina			hune kekir-ƛo (hune kekiro - Али из Гинуха)	road send/let-OPT	Have a safe trip!	Have a safe trip!	forker2019	forker2019	231	hune kekiroƛo in the dictionary by Khalilov-Isakov	
36	Hunzib	Hunzib	village	yes	yes	Farewell wishes		straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			huni bic'i r-aq-ob	road straight 5-happen-OPT	Happy journey, goodby!	Happy journey, goodby!	vandenberg1995	vandenberg1995	88	same example in the dictionary	
37	Ingush	Standard Ingush	language	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	safe go		Nina Dobrushina		Дика-ча наькъа тIа хилва хьо	dika-cha neaq'a=t'y xy-l=v.y hwo	good-OBL road.OBL=on be-OPT=V.AUX 2sg	lit. 'may you be on a good road'	Have a nice trip!	Johanna Nichols, p.c.	Internet; Nichols pc		AUX is just the TAM auxiliary for the optative; by itself, v.y is 'V.be.PRESENT' where V = masculine human)	
38	Ingush	Standard Ingush	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		маьрша г1олда	mearsha gho-l=d.y	safe/successful go-OPT=D.AUX	(may you) go well'	Have a nice trip!	Johanna Nichols, p.c.	Internet; Nichols pc		(D = the nonhuman gender but also 1-2 PL gender, so this means 'may you.PL go well' or 'may we go well')	
39	Karata	Karata	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			miqː’e b-it’eɬi	road N-straight.IMP	счастливого пути (букв. пусть везет в дороге)	Have a nice trip!	magomedovaxalidova2001	magomedovaxalidova2001	73		
40	Karata	Anchiq	village	no	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъе битӀе	miqː’e b-it’e	road N-straight.become.IMP	счастливого пути!	Have a nice trip!	gadzhimagomedov2019	gadzhimagomedov2019			
41	Tukita	Tukita	village	no	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъи бит1илъиби-кьа	miq'i b-it'iɬibi-ƛ'a	road N-straight	пусть дорога будет ровной / прямой	Have a nice trip!	Michael Daniel, p.c.				
42	Khinalug	Khinalug	village	yes	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	yes		Nina Dobrushina		ухур ксан к!вар йахкква	uχur ksan k’u̯ar jaχkːu̯a	you? good road be-OPT	счастливого тебе пути	Have a nice trip!	ganieva2002	ganieva2002	192		
43	Khinalug	Khinalug	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur	salamat		Nina Dobrushina		сагъ-саламат йахкква	saʁ-salamat jaχkːu̯a	healthy prosperous be-OPT	оставайся здоровым! счастливого пути!	Have a nice trip!	ganieva2002	ganieva2002	250		
44	Khinalug	Khinalug	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur	may hour be good		Nina Dobrushina		ксан саьг1аьт йахкква	ksan sæʕæt jaχkːu̯a	good hour be-OPT	в добрый путь! всего доброго! счастливого пути!	Have a nice trip!	ganieva2002	ganieva2002	254		
45	Khinalug	Khinalug	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		угъур йахкква	uʁur jaχkːu̯a	luck[AZ] be-OPT	в добрый путь! счастливого пути! всего хорошего!	Have a nice trip!	ganieva2002	ganieva2002	290		
46	Khinalug	Khinalug	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		йахши йол	jaχši jol	good[AZ] road[AZ}		Have a nice trip!	Rasim Babaev, p.c.	pc with Rasim Babaev			
47	Khwarshi	Kwantlada	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		гьуне ритIилъолIо!	hune rit'iɬoƛ'o	road 3-straight.be-IMP-OPT	Счастливого пути!	Have a nice trip!	dzhidalaevetal2022	dzhidalaevetal2022	249		
48	Kryz	Alik	village	yes	yes	Farewell wishes		straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	May the road be open		Nina Dobrushina			va rix açuğ işi !	2.gen road open be.opt		Have a nice trip!	Gilles Authier, p.c.	authier pc			
49	Kumyk	Standard Kumyk	language	no	no	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		яхшы ёл	jaxši jol	good[AZ] road[AZ}	Счастливого пути!	Have a nice trip!	bammatov2013	bammatov2013	117		
50	Lak	Standard Lak 	language	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		ххуллухъин	χːullu qʰin 	road good 	счастливой дороги! в добрый путь!	Have a nice trip!	abdullaev2018	abdullaev2018			
51	Lak	Standard Lak 	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		ххуллухъин баннав	χːullu qʰin ban-naw	road good do-OPT	счастливого пути!	Have a nice trip!	abdullaev2018	abdullaev2018			
52	Lezgian	Tsnal	language	no	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		ягъур хьуй!	jaʁur xuj	luck[AZ] become.OPT		Have a nice trip!	Fazir Dzhaliev, p.c.	Fazir Dzhaliev, p.c.		"Дословного перевода в языке нет. Возможно, заимствование? Само слово ""ягъур"" значит ""потряси"" - ""ягъурун"". Но оно не имеет отношения к этому выражению. И когда встречаешь в пути и тебе желают ""ваз ягъур хьуй"", то в ответ говорят, куда или по каким делам ты идешь. Часто слышал в иронисном смысле этт пожелание. А так нейтральное - ""хъсин рехъ хьуй"""	
53	Lezgian	Tsnal	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		хъсин рехъ хьуй!	qsin req xuj	good road become-OPT	Досл. Хорошего пути!	Have a nice trip!	Fazir Dzhaliev, p.c.	Fazir Dzhaliev, p.c.			
54	Lezgian	Standard Lezgian	language	yes	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	salamat		Nina Dobrushina		югъур хьуй	juʁur xuj	luck[AZ] become.OPT	всего доброго! счастливого пути! всего хорошего!	Have a nice trip!	talibovgadzhiev1966	talibovgadzhiev1966	397		
55	Lezgian	Standard Lezgian	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		хъсан сят хьурай	qsan sæt xuraj	luck[AZ] become.OPT	всего доброго! счастливого пути! всего хорошего!	Have a nice trip!	talibovgadzhiev1966	talibovgadzhiev1966	397		
56	Lezgian	Standard Lezgian	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		хъсан рехъ хьуй	qsan req xuj	good road become-OPT	счастливого пути!	Have a nice trip!	talibovgadzhiev1966	talibovgadzhiev1966	277		
57	Lezgian	Standard Lezgian	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		сагъ-саламат хьуй	saʁ-salamat xuj	healthy safe become-OPT	оставайся здоровым! счастливого пути!	Have a nice trip!	talibovgadzhiev1966	talibovgadzhiev1966	284		
58	Lezgian	Standard Lezgian	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		саламат хьуй	salamat xuj	safe become-OPT	всего доброго! всего хорошего! счастливого пути! 	Have a nice trip!	talibovgadzhiev1966	talibovgadzhiev1966	286	саламат - благополучный; невредимый	
59	Nogai	Standard Nogai	language	yes	yes	Farewell wishes		straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	хайир	носительница из Терекли-Мектеб не подтверждает это выражение	Nina Dobrushina		хайыр-лы йол	xajɨrlɨ jol	benefit-? road	добрый путь! счастливого пути!	Have a nice trip!	baskakov1963	baskakov1963	396		
60	Nogai	Standard Nogai	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		йол-ынъ бол-сын	jolɨ̃ŋ bolsɨn	road-? be-JUSS	счастливого пути!	Have a nice trip!	baskakov1963	baskakov1963	124		
61	Rutul	Mukhad	dialect_toplevel	no	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	хайир		Nina Dobrushina		йыхды раIхъ виший	jɨxdɨ raˁq	good road N-become-OPT	счастливого пути!	Have a nice trip!	alisultanovsulejmanova2019	alisultanovsulejmanova2019	293		
62	Rutul	Mukhad	dialect_toplevel	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		сафар хайирли вишихь!	safar χajirli wišix	journey[ARAB] benefit-ADJ N-become-OPT	счастливого пути!	Have a nice trip!	alisultanovsulejmanova2019	alisultanovsulejmanova2019	306		
63	Rutul	Mukhad	dialect_toplevel	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		угъур виший!	uʁur wišij (uɣur wišij - field data)	luck[AZ] N-become-OPT	счастливого пути!	Have a nice trip!	alisultanovsulejmanova2019	alisultanovsulejmanova2019	356	угъур виший современные мухадцы используют редко.. почему-то это выражение приобрело отрицательно-шутливую коннотацию.. даже есть высказывание «угъур, джыбра ки джыбыр» («счастливо, и вслед хвост»)	
64	Rutul	Kina	village	yes	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			hɨχ-dɨ raq w-iš-ij	good-ATR way 3-become-OPT	счастливого пути!	Have a nice trip!	Nina Dobrushina, p.c.	Nina Dobrushina, p.c.			
65	Rutul	Kina	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina			uɣur w-iši-j	luck[AZ] N-become-OPT	счастливого пути!	Have a nice trip!	Nina Dobrushina, p.c.	Nina Dobrushina, p.c.			
66	Tabasaran	Standard Tabasaran	language	yes	yes	Farewell wishes	good way	straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		ужуб рякъ ап1ри	uǯub ræq ap’ri!	good road do-OPT	Счастливого пути!	Have a nice trip!	xanmagomedovshalbuzov2001	xanmagomedovshalbuzov2001	264		
67	Tabasaran	Standard Tabasaran	language	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		ягъур ибшри	jaʁur ibšri!	luck[AZ] be-OPT	Счастливого пути, в добрый путь	Have a nice trip!	xanmagomedovshalbuzov2001	xanmagomedovshalbuzov2001	359		
68	Tat	Judeo-Tat	dialect_toplevel	yes	yes	Farewell wishes	good way	straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina			rəħ nik!	road good	счастливого пути!	Have a nice trip!	naftaliev2016	naftaliev2016	356		
69	Tat	Judeo-Tat	dialect_toplevel	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina			rəħ (ty) nik bu	road good (SUBJ)be(3)	счастливого пути!	Have a nice trip!	naftaliev2016	naftaliev2016	417		
70	Tindi	Tindi	village	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		микъи бит1илъи-ба-кьа	miq'i bit'iɬi-ba-ƛ'a	road N-straight-IMP.INTR-OPT	букв. Пусть дорога будет исправной!	Have a nice trip!	magomedova2012	magomedova2012	101		
71	Tindi	Tindi	village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		гьō-б-ел1иби	hōbeɬibi	good-N-?	межд. счастливого пути!	Have a nice trip!	magomedova2012	magomedova2012	170		
72	Tsakhur		village	yes	yes	Farewell wishes		straight way or good way	jaʁur/juʁur/uʁur/uɣur	straight way or jaʁur/juʁur/uʁur/uɣur	хайир		Nina Dobrushina		Угъурхьен	uʁur xe-n	luck[AZ] become.OPT.4	в добрый путь, удача	Have a nice trip!	ibragimovnurmamedov2010	ibragimovnurmamedov2010	485		
73	Tsakhur		village	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		Сафарий хайриква вухьена	safarij χajr-ikʰwa w-uxe-na	journey benefit-? 3-become-OPT.3	Да принесет пользу путь-дорога	Have a nice trip!	ibragimov1990	ibragimov1990	232		
74	Tsakhur	Gelmets	village	no	yes	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina	Югна яхь	югна йа1хъ	jugna jaˁq	good road	счастливого пути	Have a nice trip!	Abduragim Dadashev, p.c.	Abduragim from Gelmets			
75	Tsez	Kidero	dialect_nt1	yes	yes	Farewell wishes	straight way	straight way or good way	straight way	straight way or jaʁur/juʁur/uʁur/uɣur	May [] let the road		Nina Dobrushina		сахсаламат(го) байл1 жеди	saχsalamat(go) baj-ƛ žedi	safely come.IMP-OPT they	Счастливого пути вам (букв. Пусть живыми и здоровыми вернутся)	Have a nice trip!	xalilov1998	xalilov1998	424-425		
76	Tsez	Kidero	dialect_nt2	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur	саламат		Nina Dobrushina		гьуни регир-о-лI	huni r-egir-o-ƛ	road 4-let-IMP-OPT	счастливого пути!	Have a nice trip!	xalilov1999	xalilov1999	109		
77	Tsez	Kidero	dialect_nt3	no	no	Farewell wishes		straight way or good way		straight way or jaʁur/juʁur/uʁur/uɣur			Nina Dobrushina		гьуни битIизи рохъолI	huni bit'izi r-oqoƛ	road straight-? 4-become-IMP-OPT	счастливого пути!	Have a nice trip!	xalilov1999	xalilov1999		"""Много таких глаголов в цезком языке образовано с помощью тех же вспомогательных глаголов от аварского инфинитива (долженствовательной формы) на зе..диал. зи  "" (Бокарев 1959: 205)"	
78	Udi	Nizh	village	yes	yes	Farewell wishes	good way	straight way or good way	neither	straight way or jaʁur/juʁur/uʁur/uɣur	no		Nina Dobrushina		ШагьатI йакъ	šahatː jaqː	good road	счастливого пути!	Have a nice trip!	maisak2006	maisak2006	1		
