id	language	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
14	Karata-Tukita	Karata	dialect_toplevel	yes	yes	R-da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	magomedbekova1971	93	-da is used for all numerals, except the ones that end with ce-CM '1', including ce-CM '1' itself. In fast speech it is usually omitted in other numerals, too. In Rabachalda subdialect it can be omitted in slow speech, too. In complex numerals it can be used only once, in the end of the whole numeral. ce-CM '1' is the only numeral with class marker. In Karata, Rachabalda and Lower Inxelo subdialects numeral roots can merge with each other and -da (like boʔ-ac'a-da => boʔazda). It attaches to azar-da '1000', no info on larger numbers. (However, [pasquereaudraft2020: 20] lists ʔazar as not having -da.) In Anchikh subdialect, -da undergoes phonetic alternation -ra in an intervocal position. In Tokitin, root for 'two' is reduplicated in all numerals: k'ek'i [95]. Cardinals inflect the way adjectives do, they inflect only if substantivized [99].	Maksim Melenchenko	2022-08-19	hač̣wada	hač'ʷa-da	9	nine		nine-NUM	magomedbekova1971	93	transcription needs revision. transcribing as labialized /č'ʷ/ as in [pasquereaudraft2020: 19]
15	Karata	Anchiq	dialect_nt1	no	yes	R-ra	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	magomedbekova1971	95	-da turns into -ra when /d/ is in the intervocal position.	Maksim Melenchenko	2022-08-19	anl'ira	anƛi-ra	шесть	six		six-NUM	magomedbekova1971	95	transcription needs revision
16	Tukita	Tukita	language	no	yes	R	no numeral marker	Origin of the numeral marker	Origin of the numeral marker	magomedbekova1971	95	In Tokitin subdialect suffix -da is usually not used. In hundreds and thousands, suffix -la is used to bind. The vigesimal system is present. Cardinals inflect the way adjectives do, they inflect only if substantivized [99].	Maksim Melenchenko	2022-08-19	hač̣wa	hač'ʷa	9	nine		nine	magomedbekova1971	95	transcription needs revision
17	Botlikh	Botlikh	village	yes	yes	R-da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	azaev2000	355	-da is used for all numerals, except the ones that end with ce-CM '1', including ce-CM '1' itself. In complex numerals it can be used only once, in the end of the whole numeral. -da is used with azaru '1 000', no info on larger numbers.	Maksim Melenchenko	2022-08-19	бугъуда	buɣu-da	четыре	four		four-NUM	azaev2000	355	transcription needs revision
18	Bagvalal	Kvanada	village	yes	yes	R-da	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	tatevosov2001numerals	155	"-da is used for all numerals, except the ones that end with ce-CM '1', including ce-CM '1' itself. It is absent in decimals 20—90 and hundreds 200—900. In complex numerals -ra might be optional (see example on '22') [page 156]. It seems that in complex numerals it can be used only once, in the end of the whole numeral. When after consonants, it is -da, in other cases it is -ra. -da is used with azar '1 000', no info on larger numbers.
The source says that suffix -la can be added after -da. He argues with Gudava (1967) as Gudava had claimed that -la numerals are collective numerals. [tatevosov2001numerals] says that these are not collective and, in fact, they do not differ from usual -da cardinals in semantics."	Maksim Melenchenko	2022-08-19	bū-ra	bu:-ra	четыре	four		four-NUM	tatevosov2001numerals	155	also can be buʔu-ra
19	Tsez	Kidero	dialect_nt1	yes	yes	R-no	unclear	Origin of the numeral marker	Origin of the numeral marker	bokarev1959	202	"Exception: sis '1' does not have -no. The suffix is not attached to cardinals 11–19, although there is an alternative way to derivate those, which has the suffix. In complex numerals it can appear more than once (for example, хъунохъу оцIино '50'). It seems that numerals бишон '100' and гIазар '1000' do not accept -no. It is said that -no is equivalent to Avar =go.
Cardinals undergo inflection when substantivized. If used with a noun, cardinals attach -ra instead of -no (for example, билI-ра '8' — билI-но); sis '1' becomes si-ra '1'. [polinskydraft2015: 17] marks -ra as oblique case marker."	Maksim Melenchenko	2022-08-19	хъуно сис	χu-no sis	двадцать один	twenty one		twenty-NUM one	bokarev1959tsez	202	transcription needs revision. The source [177] claims that хъ is an uvular affricate. But there is no such phoneme in IPA, is there…
20	Khwarshi	Kwantlada	village	yes	yes	R-no	unclear	Origin of the numeral marker	Origin of the numeral marker	khalilova2009	169	"It seems that -no is lost. It is present in several numerals (ħono '3', ɬɨno / ɬuno '5', quno '20') but it is not interpreted as a morpheme anymore, apparently. Quno '20' loses -no when vigecimals are multiplied (for example, q’ˤʷene-qu two-twenty). Numerals 50—90 are borrowed from Andi, presumably from Tindi. «In complex numerals, all components except the last one (and except the numeral quno ‘twenty’) receive the particle -n» (for example, ɬɨno bešon-un q’ˤʷenequ-n ɬɨno '545'). When substantivized, cardinals «distinguish between absolutive and other oblique forms», the latter have special roots [174].
Oblique form: R-la. «When the numeral is used attributively it distinguishes two forms: Absolutive and oblique. The oblique form is formed by adding the oblique suffix -la to the numerals, except for the numeral one and two which have irregular oblique forms» (hada '1', q’ˤʷana '2'). The last consonant of the root is often geminated when -la is added. All numerals which have -no lose it when adding -la (for example, łuno – łulla '5')."	Maksim Melenchenko	2022-08-19	oⁿče	õče	nine	nine		nine	khalilova2009	169	
21	Hinuq	Hinuq	village	yes	yes	R-no	unclear	Origin of the numeral marker	Origin of the numeral marker	forker2013	394	"«Cardinal numbers have a direct and an oblique stem. As with adjectives, the oblique stem is used if they modify a noun in an oblique case, or if the number has been substantivized. <…> The numeral ‘one’ has a suppletive oblique stem» (hes '1', seda '1.OBL'). Oblique stem for numeral 'two' is actually kind of suppletive, too (q'ono '2', q'ʷena '2.OBL'). «The numbers from three to ten show all the same suffix, -no, which is replaced by -ra in the oblique form» ('2' has -no).
-no repeats when deriving complex numerals (for example, oc'e-no uq'i-no '14') [396]. bišon '100 and ʡazal '1000' do not have -no and -ra suffixes by default but they receive them when used in a compound numeral [398]. Larger numerals are borrowed from Russian. They do not have an oblique stem (i. e., do not have -ra). Unclear whether they accept -no (no description, no examples).
Oblique form: R-ra. For numerals 11—19: «for the oblique stem, at least the unit is, but usually both numerals are, in the oblique form». For numerals larger than 19: «for some speakers, all numerals must be in the oblique form as in the list below. For other speakers, all but the first numeral take the oblique form, e.g. '70' ɫono qura oc'era. The only rules seem to be that (i) the last number must be in the oblique form, and (ii) if one of the numerals appears in the oblique form, then all numerals to the right must also appear in the oblique form» [396]."	Maksim Melenchenko	2022-08-19	iɬno	iɬ-no	6	six		six-NUM	forker2013	394	
22	Hunzib	Hunzib	language	yes	yes	R-n(o)	unclear	Origin of the numeral marker	Origin of the numeral marker	vandenberg1995	68	"«Cardinal numbers distinguish nominative and oblique stems. Most numerals up to 10 and the numeral 20 have final -n(o) in the nominative and final -(e)l in the oblique forms». Exceptions: hə̃s '1', q'an.u '2', łɑ.nɑ '3'. «All non-final elements in complex numerals take the ending -n(o); only the final element shows a nominative or oblique form» (this is somewhat misleading: in oblique forms all non-final elements take -no, and in nominative forms all elements take -no.
Oblique form: R-(e)l."	Maksim Melenchenko	2022-08-19	iλ.no	iɬ-no	6	six		six-NUM	vandenberg1995	69	transcription needs revision
23	Bezhta	Bezhta	village	yes	yes	R-na	unclear	Origin of the numeral marker	Origin of the numeral marker	madieva1965	105	Exception: гьõс '1' (it also has a unique oblique form, сид). -na appears in the middle of the numeral and repeats (for example, ацIо-на къо-на '12' [comrieetal2015: 293]). Strangely, there seems to be no gravity towards the end of a numeral. Numerals 30, 40, … 90 have -na inside them (лъи-на-йиг '50'), as well as hundreds (льи-на-чIитI '500'). Decimals, hundreds, thousands do not have -na when they are on their own but they take it when in a complex numeral (лъана йигна гьõс '31'). So, -na is also kind of used to bind parts of complex numerals. [comrieetal2015: 295] expresses the same idea by saying that «each component of a complex numeral is binded by -na».	Maksim Melenchenko	2022-08-19	лъина	ɬi-na	пять	five		five-NUM	madieva1965	104	
24	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	abdullaev1954	135	"Diachronically, it's -al but in modern-day Dargwa the suffix merges with the root phonetically, in many cases replacing /a/ with another vowel. Exception: ca '1' doesn't have the suffix. It is not used in complex numerals at all. Only in simple numerals, including units, decimals, hundreds etc ('2', '20', '100'). In decimals 30—90 the ending is -ali (for example, хIяб-цI-али '30'). In specific cases (for example, in a childs' play) -al can be omitted in simple numerals, too. In азир '1000', миллион 'million' there is no -al [136] but full forms are used to denote number of thousands (кIел азир '2000') [137]. Additional suffix -ra expresses definiteness (for example, кIел-ра 'the two') [137]. This suffix is also used to end complex numerals with unit '1' (for example, гъану цара '21'). Hundreds are connected using -lim (даршлим ца '101'), which means 'above'.
Also, [136] mentions that consonants /v/, /d/ in the beginning of some numerals probably used to be class markers but nowadays they are just parts of respective roots."	Maksim Melenchenko	2022-08-19	хIяб-ал	ħab-al	3	three		three-NUM	abdullaev1954	135	transcription needs revision
25	North-Central Dargwa	Meusisha	dialect_nt1	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	gasanova1971	76	Usishi cardinal forms are more «archaic» than in standard Dargwa. For example, in numerals 'two' and 'five' the marker is not merged into the root as it is in Akusha Dargwa.	Maksim Melenchenko	2022-08-19	кIив-ал	k'iw-al	два	two		two-NUM	gasanova1971	76	
26	Muira	Gulli	village	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	gasanova1971	224		Maksim Melenchenko	2022-08-19	хIябал	ħab-al	—	three		three-NUM	gasanova1971	224	
27	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	sumbatovalander2014	95	"«Количественные числительные используются при указании на количество объектов. Как правило, они используются в составе именных групп, в составе сказуемых, а также в арифметических примерах. Выступая в сочетании с квантифицируемым именем (независимо от падежа именной группы) или в качестве самостоятельной именной группы в абсолютивном падеже, количественные формы маркируются суффиксом -al». Exception: sa '1'. -al is used only in simple numerals 2—9 (complex numerals end with additive -ra) and in thousands in complex numerals (for example, aʁ˳-al azir-lib хu.darš '4500') [94]. When counting, stems without -al are used [94].
«При присоединении к числительным аддитивной клитики =ra возникает собирательное значение ʻвсе’» (for example, č’-al=ra 'both') [99]. Another =ra is also used in the end of complex numerals, maybe it is the same one?"	Maksim Melenchenko	2022-08-19	ʕaˁb-al	ʕaˁb-al	три	three	три-CARD	three-NUM	sumbatovalander2014	95	glossing -al as CARD as in the source
28	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	R	no numeral marker	Origin of the numeral marker	Origin of the numeral marker	sumbatovamutalov2003	45	Alas, it seems that Itsari numerals have lost their suffixes. «When used without a head noun, numerals can be declined. In general, their declination follows the nominal pattern (declination type 2, consonant-final)».	Maksim Melenchenko	2022-08-19	irč'em	irč'em	nine	nine		nine	sumbatovamutalov2003	45	
29	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	forker2020dargwa	129	«All numerals except for ca ‘one’ are morphologically complex, containing a root and a derivational suffix. The numerals 2 to 10, 20, as well as 100 are formed by means of the suffix -al (allomorph -jal after vowels). The decimal numerals 10 and 30–90 are built by adding the suffix -c’al to the roots. When decimals and the numerals 1–9 are combined, both the decimals and the numerals 1–9 take suffixes. On the decimals -al is replaced by -nu/-anu, e.g. wec’-al ‘10’ [turns into] wec’-nu [+ units] <…>. To the numerals 1–9 the suffix -ra is added». Thus, -al appears only in 1—9 and tens 10—100. Also, numeral azir '1000' does not have the suffix but numbers of thousands have (for example, ʁa-jal azir '20 000') [130].	Maksim Melenchenko	2022-08-19	ʡaˤb-al	ʡaˤb-al	3	three		three-NUM	forker2020dargwa	130	
30	Mehweb	Mehweb	language	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	magometov1982	58	«Простые числительные, составляющие первый десяток, <…> за исключением единицы, имеют суффикс -al, который в кубачинском почти утрачен, в мегебском же он оформляет и сложные числительные» (for example, wec̣-nu-ḳwi-ra-l '12' [59]). «В урахинском, как и в других диалектах, в аналогичных случаях сложное числительное не имеет этого суффикса» [59]. Numerals 100 'darš-al', 1000 'azar-al' have -al [60]. Cardinals inflect as though substantivized [gasanova1971: 147].	Maksim Melenchenko	2022-08-19	šu-w-al	šu-w-al	5	five		five-EP-NUM	magometov1982	58	transcription needs revision
31	Kajtag	Kajtag	language	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	temirbulatova2004	18	«Числительное «20» гъайал//гъайил (литер, гъал) образуется посредством суффикса -ал, но в говорах встречаются и вариант гьайил. Числительные от двух до десяти, двадцать и сто оформлены словообразовательным суффиксом числительных -ал, -ел, как и в других диалектах, за исключением ицаринского и кубачинского. Суффикс -али оформляет сложные числительные, обозначающие круглые десятки, начиная с 30: гIявцIали «30», ухцIали «40», шуцIали «50», рекцIали «60», верцIали «70», гагьцIали «80», ирчIамцIали «90». Числительные, обозначающие сотни, образуются сложением неоформленных основ числительных, выражающих единицы и сотни: чIу + дарш «200» (чIу — косв. основа)».	Maksim Melenchenko	2022-08-19	угъал	uʁ-al	4	four		four-NUM	temirbulatova2004	18	transcription needs revision
32	Chirag	Chirag	language	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	ganenkov2021draft	15	«Cardinal numerals include underived words for numerals 1 to 10 as well as for 20, 100, and 1000. All underived numerals, except for ca ‘one’, have a short (root) form and a long form that consists of the short form followed by the suffix -al. Long forms are used in counting objects and as attributive modifiers within NPs. Short forms are used in complex numerals and to derive other classes of numerals. The names of decades from 30 to 90 are based on the short forms of corresponding unit names followed by the marker -c’ale. Complex two-digit numerals are based on the short form of the decade bearing the marker -nu with the corresponding unit bearing the marker -ra. The names of hundreds are based on the short form of the unit plus the word daršː ‘hundred’, which in complex expressions, also bears the marker -lib. The names of thousands have the identical structure but are based on the word azur ‘thousand’. Long forms of cardinal numerals inflect for case, when appearing in a headless NP. The numeral ca ‘one’, numerals that have the suffix -al, and nouns having the suffix -c’ale use the oblique stem marker -li to form oblique cases. Nouns that have the suffix -ra attach case suffixes directly to the numeral».	Maksim Melenchenko	2022-08-19	aʁʷ-al	aʁʷ-al	4	four		four-NUM	ganenkov2021draft	15	
33	Kubachi	Kubachi	language	no	yes	R-al	unclear	Origin of the numeral marker	Origin of the numeral marker	magometov1963	134	"«Кубачинские простые числительные не сохранили суффикса -al, который представлен в числительных других даргинских диалектов (за исключением числительного sa ""один"")». Сложные числительные в кубачинском образуются посредством союзов nu и ja(<— ra): десять + союз nu + простое числительное + союз ja ""и"", который может претерпеть изменения. В числительных ""17"" и ""18"" соединительный союз ja (<— ra) представлен полностью, а в остальных числительных его след сохранился в долготе исходного гласного ā. Союз rа ""и"" в сложных числительных выступает в других даргинских диалектах. Числительное „19"" в кубачинском сохранило суффикс -al (аштинский говор — не сохранил), но при этом нет следа, наличия союза ja ""и""»; '19' is wic̣-nu-ωūč̣um-al [135]. Десятки, начиная с ""30""-ти до ""ста"", в кубачинском диалекте, подобно сложным числительным, содержащим число ""9"" (19, 29…), сохранили суффикс -al (в других диалектах -ali): ωab-c̣-al ""30"", aɣw-c̣-al ""40"", x̃u-c̣-al ""50""». But! '100' does not have -al: «Числительное dǟš „сто"" также не имеет суффикса -al. Составные числительные образуются сочетанием простого числительного с сотней или тысячей». «dǟš „сто"" и azij „тысяча"" в сложных числительных в кубачинском диалекте стоят в форме дательного падежа» (suffix -li-j)."	Maksim Melenchenko	2022-08-19	ēk	e:k	шесть	six		six	magometov1963	134	
34	Lak	Standard Lak	language	yes	yes	R-CM-a	emphatic particle	Origin of the numeral marker	Origin of the numeral marker	zhirkov1955	53	"There is a class marker in the end of a numeral, undergoing phonetic changes (i.e. I-class /v/ alternates with lack of sound). It appears only once, it seems. When counting, -CM-a is not used [54]. Simple tens use ending -цIал-CM (is this our Dargwa friend, -al?), and complex tens look like this: мукь-цIал-ли арул-ва '47'. Forms 10—29 are derived like this: ацI-ния мукь-ва ‘14’, кьу-ния мукь-ва ‘24’. The ending -ния is said to be 'above'-case marker [55]. The class marker is always in the end, and it is present in all numerals up to 1000 and even 100 000. There is no evidence of numerals which do not have this class marker.
II, IV-class consonant /r/ is said to correspond with /d/ in the beginning of words. Is it possible that emphatic -da underwent phonetic changes and then was reinterpreted as a class marker? This -da appears in '1000' азарда, where -ra dissimilates with final /r/ of the root and becomes /d/ [56]."	Maksim Melenchenko	2022-08-19	мукьва	muq'-w.a	4	four		four-CM.NUM	zhirkov1955	53	transcription needs revision. There is no кь in the table of phonemes on page [7]. Judging by [8], there must be a typo in the table. Where кь /q'/ should be, there is another кI (row VI, column 6)
