id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	source	page	comment	contributor	date	form	lexical_entry / citation from the source	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
11	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	gimbatov2006; saidova2008; zhirkov1936	NA (772); 241; 81	Saidova (2008) does not list any dialectal variants other from ma.	Timur Maisak	2/13/2024	ma	МА межд. 1) на, возьми; б) на-ка выкуси!; 2) вот тебе на; вот те (и) на	ма босе!	ma bose!	на, возьми	here, take it!		gimbatov2006	NA (772)	
12	East Caucasian	Dargwa	Dargwa	Standard Dargwa	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	yusupov2014	662		Timur Maisak	2/13/2024	ma	МА частица 1) на, возьми, бери; 2) частица на, нате,вот тебе на	ма хIед жуз	ma ħed žuz	на тебе книгу (в знач. возьми, бери)	here, take this book		yusupov2014	662	
13	East Caucasian	Dargwa	Dargwa	Itsari	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	Rasul Mutalov, p.c.		Also another interjection hara 'look!' can be used in the same or similar function.	Timur Maisak	2/13/2024	ma									
14	East Caucasian	Dargwa	Dargwa	Kubachi	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	magomedovsaidovakutta2017	48, 194	No lexical entry, only found in examples.	Timur Maisak	2/13/2024	ma		«Ма» букIузиб алжаналла таккванал ттабичибзиб саб, «гьакка» – жагьаннабиццил	"""ma"" buk'uzib alžanalla takːʷanal tːabičibzib sab, ""hakːa"" - žahannabicːil"	(погов.) слово «возьми» вышло с райского балкона, а «дай» – из ада	"(proverb:) The word ""take it!"" came from Heaven's balcony, ""give!"" - from Hell."		magomedovsaidovakutta2017	48, 194	
15	East Caucasian	Dargwa	Dargwa	Kaitag	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	Uzlipat Gasanova, p.c.		Also another interjection hara 'here it is, look!' can be used in the same or similar function.	Timur Maisak	2/13/2024	ma		Ма этти шин	ma etːi čin	на тебе вода	here's water for you		Uzlipat Gasanova, p.c.		Cf. an equivalent example with hara: гьара этти шин «на тебе вода».
16	East Caucasian	Dargwa	Dargwa	Mehweb	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	dobrushina2019	129		Timur Maisak	2/13/2024	ma	The interjection ma ‘take, hold’ is known in various languages of Daghestan (e.g. Archi, Agul). In Mehweb, it may attach the plural marker -na...	ma-na as-a-na!	ma-na as-a-na!	‘Take (addressed to several people)!’	‘Take (addressed to several people)!’	intj-imp.pl take:pfv-imp.tr-imp.pl	dobrushina2019	129	
17	East Caucasian	Dargwa	Dargwa	Tanty	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	sumbatovalander2014	212, 328, 663, 665, 666, 673, 674, 675	Only found in examples from the book, not in the description.	Timur Maisak	2/13/2024	ma		ma hi.ž ʡapːasi, — r-ikʼ-u-le=sa-r	ma hi.ž ʡapːasi, — r-ikʼ-u-le=sa-r	«Возьми этот абаз!» — говорит.	Here, take this abbasi {small coin}, - he says.	на этот абаз f-говорить:ipf-prs-conv=cop-f	sumbatovalander2014	663	
18	East Caucasian	Dargwa	Dargwa	Sanzhi	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	forker2020dargwa	181	There is also another functionally similar interjection hara ‘come, go, look, here is, here you are’ .	Timur Maisak	2/13/2024	ma	There are two particles ma ‘take’ and hara ‘come, go, look, here is, here you are’ that are used in commands when requesting the addressee to take something or to come to the speaker. These particles thus function like verbs inflected for the imperative.	“ma=ja!”	“ma=ja!”	“Take (a drink)!”	“Take (a drink)!”	take!=pl	forker2020dargwa	181	
19	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	ganieva2002	215, 400		Timur Maisak	2/13/2024	mä	МАЬ (частица) на, нате, возьми, возьмите; маь пшаь на хлеб; маь эци киттаб на, возьми эту книгу	маь пшаь 	mä pšä	на хлеб	here, take bread		ganieva2002	215	
20	East Caucasian	Lak	Lak	Lak	Standard Lak	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	khajdakov1962; dzhidalaev1994	188; 347		Timur Maisak	2/13/2024	ma	МА (частица) на	ма букки!	ma bukːi	на, читай!	here, take it, read!		khajdakov1962	188	
21	East Caucasian	Lezgic	Agul	Central	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	ramazanov2010	446, 447		Timur Maisak	2/13/2024	ma, mah	МА! побуд. част, т-к на! возьми, держи! М'АВАЙ побуд. част. (к коллективу) на-те! на-те вам; МАГЬ част, на (срв. ма)	магь васра 	mah wasra	на и тебе	here, this is for you also		ramazanov2010	447	
22	East Caucasian	Lezgic	Agul	Tpig	village	no	no	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	sulejmanov2003	130		Timur Maisak	2/13/2024	ma	т. ма, к. ма (магь) частица на, возьми	ма, гъуйен ме шиниккв 	ma, ʁujen me šinikːʷ	на, возьми этого ребёнка	here, hold this child		sulejmanov2003	130	
23	East Caucasian	Lezgic	Agul	Koshan	dialect_toplevel	no	no	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	sulejmanov2003	130		Timur Maisak	2/13/2024	ma, mah	т. ма, к. ма (магь) частица на, возьми								
24	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	chumakinaetal2007print	262	According to Michael Daniel (p.c.), realized as /me/.	Timur Maisak	2/13/2024	ma	МА, гл.; на, возьми here, take it; морфологические пометы: только повелит. наклонение								
25	East Caucasian	Lezgic	Budukh	Budukh	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	mejlanova1984	103		Timur Maisak	2/13/2024	mah	МАГЬ частица на, нате								
26	East Caucasian	Lezgic	Kryz	Kryz	village	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	hummatovrindpawlowski2020	251		Timur Maisak	2/13/2024	mäh	məh ni. al! take this! there! here you are!								
27	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	talibovgadzhiev1966	226	Also mah, in other sources.	Timur Maisak	2/13/2024	ma	МА (частица) на, нате, возьми, возьмите	ма, къачу и ктаб 	ma, qːaču i ktab	на, возьми эту книгу	here, take this book		talibovgadzhiev1966	226	
28	East Caucasian	Lezgic	Rutul	Standard Rutul	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	alisultanovsulejmanova2019; ismailova2011	257; 161		Timur Maisak	2/13/2024	ma	МА (частица) на, возьми, возьмите, нате	ма, лешаъ ми тангабыр	ma, lešaʔ mi tangabɨr	на, возьми эти деньги	here, take this money		alisultanovsulejmanova2019	257	
29	East Caucasian	Lezgic	Rutul	Ikhrek	village	no	no	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	dzhamalovsemedov2006	185		Timur Maisak	2/13/2024	mä	МАЬ на!, возьми!, бери!								
30	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	xanmagomedovshalbuzov2001	220, 221		Timur Maisak	2/13/2024	ma, mah	МА частица на, возьми, держи; МАВАЙ частица (мн. от ма) нате, возьмите, держите; МАГЬ см. ма 								
31	East Caucasian	Lezgic	Tsakhur	Tsakh	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	ibragimovnurmamedov2010	234		Timur Maisak	2/13/2024	ma	МА На бери, на возьми								
32	East Caucasian	Lezgic	Udi	Udi	language	yes	yes	imperative interjection 'here, take it!'	absent	Phonological form of the imperative interjection 'here, take it!'	gukasyan1974; mobili2010			Timur Maisak	2/13/2024										
33	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	maciev1961; karasaevmaciev1978; aliroev2005	472; 273; 280		Timur Maisak	2/13/2024	hã	хӀан (частица) на, возьми, возьмите	хӀан тетрадь!	hã tetradʲ	возьми тетрадь!	here, take this notebook		maciev1961; aliroev2005	472; 280	
34	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	bekovaetal2009; ozdoev1980	794; 330	"There is variation in the form of the interjection: хӀа / хӀахьий are provided by Bekova et al. as variants, while Ozdoev cites the form хӀахьий. The word хӀа has two homonyms, according to Bekova et al.: a) ""частица кстати""; b) ""межд. а, вот, аха (выражает догадку, удивление)"". Nichols (2011: 391) cites the interjection with nasalization: nahw, nahwii 'here' (handing something to someone)."	Timur Maisak	2/13/2024	ha / haħ(iː) / hãħ(iː)	XIA // ХIАХЬИ (частица) на, возьми, возьмите; НА частица разг. (возьми) хӀахьий	хIа (хIахьи), дIаэцал тIорми	ha (haħi), dʔaecal t'ormi	На, возьми сумку	here, take this bag		bekovaetal2009	794	
35	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	bertlani2018	279	The source also contains another lexical entry, hane' (2) - aba; ну-ка; well.	Timur Maisak	2/13/2024	hane	hane' - aha; на; well, here you are!								
36	East Caucasian	Tsezic	Bezhta	Bezhta	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	xalilov2015; comrieetal2015	143, 548, 550; 443	In the grammar, the interjection is cited either without nasalization on the last vowel (p. 24, 55, 95), or with it (p. 443).	Timur Maisak	2/13/2024	hãʔã	ГЬАНЪАН (частица) 1. на, нате (сопровождает жест передачи, вручения: вот, возьми-те); 2. на тебе (выражает удивления и оценки по поводу чего-либо неожиданного)	гьанъан дибо тӀек 	hãʔã dibo t'ek	на, возьми твою книгу	here, take your book		xalilov2015	143	"Cyrillic ""н"" is a superscript sign in the orthography of the source."
37	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	xalilovisakov2005; forker2013	146, 468; 455	"Forker (2013: 455) cites the interjection without vowel length: ""Ho and ha are used when giving something to somebody, as a command to take it"" (note that ha has a more general function, judging from examples)."	Timur Maisak	2/13/2024	hoː	ГЬŌ (частица) на, возьми	гьō, бухо магалу 	hoː, buχo magalu	на, возьми хлеб  	here, take bread		xalilovisakov2005	146	"Cyrillic ""н"" is a superscript sign in the orthography of the source."
38	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	isakovxalilov2001	69		Timur Maisak	2/13/2024	hũʔũ	ГЬУНЪУН (частица) на (возьми)	гьунъун энш	hũʔũ eš	на (возьми) яблоко	here, take an apple		isakovxalilov2001	69	"Cyrillic ""н"" is a superscript sign in the orthography of the source."
39	East Caucasian	Tsezic	Khwarshi	Inkhoqwari	village	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	dzhidalaevetal2022	153, 696		Timur Maisak	2/13/2024	hũ	ГЬУН (медж.) на! возьми!	гьобо, гьун дубул тото	hobo, hũ dubul toto	дет. иди, вот тебе грудь (молоко)	(To a child:) come, take the breast		dzhidalaevetal2022	153	"Cyrillic ""н"" is a superscript sign in the orthography of the source."
40	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	imperative interjection 'here, take it!'	HA(n)-type	Phonological form of the imperative interjection 'here, take it!'	xalilov1999	99, 343	Words with nasalized vowels are rare in Tsez, and the imperative interjection is one of those (p. 425).	Timur Maisak	2/13/2024	hĩː	ГЬӢн (повел. ф.) возьми, на	гьӣн магалу 	hĩː magalu	возьми хлеб	here, take bread		xalilov1999	99	"Cyrillic ""н"" is a superscript sign in the orthography of the source."
41	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	AHA	Phonological form of the imperative interjection 'here, take it!'	rusarmeniandict1956; garibyan1982; galstyan1987	285; 506; 12	"Not a dedicated 'here, take it!'-interjection: according to Dum-Tragut (2009: 696), ""Usually the expressions <…> aha “here (you are)”, <…> sa “this, that” introduce the opinion, appraisal or conclusion""."	Timur Maisak	2/13/2024	aha	aha Вот (указ. частица) (Галстян 1982)								
42	Indo-European	Armenic	Armenian	Modern Western Armenian	dialect_toplevel	no	no	imperative interjection 'here, take it!'	AHA	Phonological form of the imperative interjection 'here, take it!'	kogian1949	252		Timur Maisak	2/13/2024	aha	aha (adv.) behold! here it is!	aha, verc‘ɾu	aha, verc‘ɾu	на, возьми!	here, take it!		garibyan1982	506	
43	Indo-European	Iranian	Tat	Derbent	village	no	yes	imperative interjection 'here, take it!'	absent	Phonological form of the imperative interjection 'here, take it!'	izgijaeva2005	44, 303, 309		Timur Maisak	2/13/2024	gi	ГИ на, возьми								
44	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	yes	yes	imperative interjection 'here, take it!'	absent	Phonological form of the imperative interjection 'here, take it!'	naftaliev2016	171	"According to Authier (2012: 174), gi is a regular imperative of the verb gürde 'take' (""Au singulier, la forme de l’impératif correspond normalement au thème virtuel. Toutefois, les verbes à racine terminée par n ou r le perdent à l’impératif singulier : <...> gürde ‘prendre’ → gi !). Thus it cannot be coded as a dedicated imperative interjection."	Timur Maisak	2/13/2024	gi(r) 	Gİ(R) частица разг. на, нате (сопровождает жест передачи, вручения: вот, возьми)	Gi kitobə 	gi kitobä	возьми книгу	here, take this book		naftaliev2016	171	
45	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	imperative interjection 'here, take it!'	AHA	Phonological form of the imperative interjection 'here, take it!'	kankava2001; rayfield2006; geoexplanatorydict	33; 158; NA	Not a dedicated 'here, take it!'-interjection: also used in contexts like აჰა, მოვდივარ! ‘Here, I’m coming!’; see also examples in Electronic version of Georgian Explanatory Dictionary.	Timur Maisak	2/13/2024	aha	aha (межд.) вот; aha! (ij) 1 hey!; Here you are!; 2 OG lo! (Rayfield 2006)	აჰა, წაიღე ეს ქისა!	aha, c'aiʁe es kisa!		Here, take this wallet!		geoexplanatorydict	NA	
46	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	bammatov2013; bammatov1997	262; 264, 284		Timur Maisak	2/13/2024	ma	МА (частица) на, возьми	ма, аша	ma, aša	на, ешь 	here, eat it		bammatov2013	262	
47	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	imperative interjection 'here, take it!'	MA-type	Phonological form of the imperative interjection 'here, take it!'	baskakov1963	218		Timur Maisak	2/13/2024	mä	МАЬ (частица) на	маь, ал 	mä, al	на, возьми	here, take it		baskakov1963	218	
48	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	imperative interjection 'here, take it!'	absent	Phonological form of the imperative interjection 'here, take it!'	tagiyev2006			Timur Maisak	2/13/2024										
