id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	value3	value3_name	value4	value4_name	value5	value5_name	source	page	comment	contributor	form	negative form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
31	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	plural marking on imperatives and prohibitives	plural marking dedicated to commands	Plural marking on imperatives	none	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	present only on imperatives	Plural marking on commands	kazenin2013	268		Vasily Zerzele	-(ya)ra	ma- ...ari	https://drive.google.com/file/d/1OtCAnGnhMJxUaSK9AKVAxHYOX8aOw5C8/view?usp=drive_link	bačijara šivunmaj	come-IMP.2PL here	Идите сюда	(you folks) come here	kazenin2013	268		02.2024
4	East Caucasian	Lezgic	Archi	Archi	language	yes	yes	plural marking on imperatives and prohibitives	plural marking dedicated to commands	Plural marking on imperatives	present	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	present only on imperatives	Plural marking on commands	kibrik1977	93--96		Vasily Zerzele	-r		https://drive.google.com/file/d/1nLfdE-FA8XxblZUXzAnzxOzj12Ek0pnT/view?usp=drive_link	óci - ócir	stop - stop-IMP.PL	останавливаться	to stop; (you folks) stop!	kibrik1977	95		02.2024
2	East Caucasian	Andic	Northern Akhvakh	Axaxdərə	dialect_toplevel	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	creisselsquest2008	1		Vasily Zerzele			https://drive.google.com/file/d/16l7jEYb6gKmhzA2gkF8st9sffeRVr9AQ/view?usp=drive_link	ap'ada ʁurus̄̌ːi ox̄:a q̄':aziɬ̄:a!	ten rouble N-give-IMP debt-N-LAT	Lend me ten roubles!	(You folks) Lend me ten roubles!	creisselsquest2008	1		02.2024
8	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	kibrik2001	96--98, 319--331		Vasily Zerzele			https://drive.google.com/file/d/134aiw_kOT5RvCak72mwkYTg92QyKKcT1/view?usp=drive_link	ob bis̄̌dibda partal baχ̄a bahā bebeRaladi - heL'i os̄̌ur	this=N you=GEN.N=DA stuff N=away N=take.POT.INF HPL=come-IMP-RALA-DI say this -OBL.M-ERG	Те ваши вещи приходите забрать, - сказал он.	Come pick up this stuff of yours - he said	kibrik2001	321		02.2024
10	East Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	alexeyevverheesdraft2020	NA (18)		Vasily Zerzele			https://drive.google.com/file/d/1lLIxBEfebBn4GQOMmR_GuS4iIdJsZoA_/view?usp=drive_link	t'orgudaluj ikka raaɬi	everyone-PL-DAT give clothes	всем раздайте одежду	(you folks) give clothes to everyone	saidovaabusov	551		02.2024
21	East Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	kibriketal1996	106		Vasily Zerzele			https://drive.google.com/file/d/1Cidx9tAIBS4OIfq81GbY8J199XTywsuF/view?usp=drive_link	dub Xuri beL'á	you.OBL=GEN.N field N=plough-IMP	Plough your field!	Plough your field!	kibriketal1996	106		02.2024
26	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	magomedbekova1971	134--135, 150--151		Vasily Zerzele			https://drive.google.com/file/d/1GpVPUDssUdkmKI76VYw2X2Cf84WOl0V6/view?usp=drive_link	bišdi-bišdjada ʕamal gaaha	2PL.each worry do.IMP	побеспокойтесь каждый о себе	each one of you worry about yourself	magomedovaхalidova2001	78		02.2024
6	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	forkerdraft2020	11--12		Vasily Zerzele			https://drive.google.com/file/d/1_ZFB5eyDzhBubzXfrWqrygNcCwVa4cuR/view?usp=drive_link	a durgo amma duca dosda kʷer qʷage	go.imp 2.gen=emph but 2sg-erg dem-obl-spr hand scratch-proh	Go, but don't convince him with your hand!	Go, but don't convince him with your hand!	forkerdraft2020	12		02.2024
1	East Caucasian	Lezgic	Agul	Huppuq'	dialect_toplevel	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	maisakmerdanova2002b	44		Vasily Zerzele			https://drive.google.com/file/d/1yom0HBO3GQR6jknbap9hX0IAc8WdbVpc/view?usp=drive_link	с̌e dada с̌as hamiša aRafij: sajisra ʡajʕel maq’a, ze balajar!	3PL(E) father:ERG 3PL-DAT always say.IPF-A-COP:PST one-DAT=and evil PROH-do.IPF my child-PL	Наш отец всегда, бывало, говаривал: никому зла не делайте, дети мои!	"Our father always said: ""never do evil, my children!"""	maisakmerdanova2002b	35		02.2024
32	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	haspelmath1993	149--150		Vasily Zerzele			https://drive.google.com/file/d/1FlkZztFL68JPB2kG-Mti2BBqCJQFY7sO/view?usp=drive_link	aq̄waz, ja juldošar zaqʰ jab akala	stop-IMP PT comrade-PL 1sg-POESS ear attach-IMP	Stop, comrades, listen to me	Stop, comrades, listen to me	haspelmath1993	249		02.2024
34	East Caucasian	Lezgic	Rutul	Mukhad	dialect_toplevel	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	maxmudova2002	159		Vasily Zerzele			https://drive.google.com/file/d/10YeKpHgka8M657v1U7MkJxRQPAmvMa77/view?usp=drive_link	dytɬ'a	MPL-come.IMP	приходите	(you folks) come	maxmudova2002	159		02.2024
39	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	kibrik1999	279--280		Vasily Zerzele			https://drive.google.com/file/d/17ND_S6NMdJ5oxgz2u4G0DBRFG3dvse2U/view?usp=drive_link	šu ǯad Xaw aljeʔe	2PL.ERG RESTR=4 house.4 4.build-IMP	Вы сами дом стройте!	you (folks) build (your) house yourself!	kibrik1999	130		02.2024
24	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	nichols2011	274--275	Several degrees of politeness for imperatives. All except for 'future imperative' are not marked for plurality.	Vasily Zerzele			https://drive.google.com/file/d/15K6KpzsGmNEC2bp9HDSWvaaF2HrgwsRP/view?usp=drive_link	naaxaga dwa cy hwuoqazh shoazhta wa-jaazdie	(other) people.ALL DX NEG show.CVsim 3pRFL.DAT DX-write-IMP	If you don't show it to others at least write it down yourselves.	If you don't show it to others at least write it down yourselves.	nichols2011	468		02.2024
35	East Caucasian	Rutul	Rutul	Khnov	village	no	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	authier2023	34--35		Vasily Zerzele			https://drive.google.com/file/d/1rTQCyAmWoduiHnWca-bULV8otLJuVg7I/view?usp=drive_link	viˤ qhidvira	2PL.NOM re-HPL-go.IMP	You all, go back!	You all, go back!	authier2023	34--35		02.2024
9	East Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	comrieetal2015	378--380		Vasily Zerzele			https://drive.google.com/file/d/1YfhvcJKmM821VNd1ktbGdljvN4jDceZu/view?usp=drive_link	boɬo ʁoƛːoʔos!	leave.IMP here	уходите отсюда!	get out of here!	xalilov2015	88		02.2024
23	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	vandenberg1995	87--88		Vasily Zerzele			https://drive.google.com/file/d/1CNuiqDm9VMvfclt0JP8TZe-QyqtFxnSh/view?usp=drive_link	isna, tus eče	sibiling-PL come-IMP politely	brothers, come with me, please	brothers, come, please	vandenberg1995	88		02.2024
28	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	khalilova2009	242--245		Vasily Zerzele			https://drive.google.com/file/d/1o3u5HyXridrGkJfCiFUBsjEfgfQsgf2z/view?usp=drive_link	mok'o	HPL-go-IMP	You (plural) go!	You (plural) go!	khalilova2009	245		02.2024
40	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	imnajshvili1963	190		Vasily Zerzele			https://drive.google.com/file/d/1dbXwUiQ1bJe0WQI7LAmeD_BU_y3Zg_1k/view?usp=drive_link	horo int'or!	come.IMP here	иди(те) сюда!	(you folks) come here!	xalilov1999	185		02.2024
22	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	plural marking on imperatives and prohibitives	unmarked	Plural marking on imperatives	not applicable	Transitivity distinction in plural imperatives	unmarked	Plural marking on prohibitives	not applicable	Transitivity distinction in prohibitives	not present	Plural marking on commands	forker2013	227--230		Vasily Zerzele			https://drive.google.com/file/d/1FFNOBgu4lFM5UceDJPYLlyIjQOvODtX5/view?usp=drive_link	ħalt'oz avara bujom!	work interfere-IMP do-NEG	не мешай (те) работать!	don't interfere with the work!	xalilovisakov2005	42		02.2024
