id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
11	East Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	talibov2007	65		Alexandra Nogina		ismail k'ul-ǯe vih'i-ǯi	Исмаил домой пошел	Ismail went home	Ismail home-in.al go-pst	talibov2007	87		10.2023
12	East Caucasian	Andic	Chamalal	Gadyri	dialect_toplevel	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	bokarev1949a	47		Alexandra Nogina		musa bih-a g'ku-č'	Запряги быка в арбу	Harness the bull to the bullock-cart	bull harness-imp bullock_cart-sup.loc	bokarev1949a	55		10.2023
13	East Caucasian	Andic	Gigatli	Gigatli	language	no	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	bokarev1949a	47		Alexandra Nogina		musa g'oki-č'u bih-a	Запряги быка в арбу	Harness the bull to the bullock-cart	bull bullock_cart-sup.loc harness-imp	bokarev1949a	56		10.2023
14	East Caucasian	Andic	Chamalal	Upper Gakvari	village	no	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	bokarev1949a	47		Alexandra Nogina		deː jiʁa hvam łłi-l'al	Я бросил рыбу в воду	I threw the fish into the water.	I throw fish water-in.all	bokarev1949a	52		10.2023
15	East Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	nichols1994	23		Alexandra Nogina		h'o khana škol-e vo:du	Ты завтра идешь в школу	You are going to the school tomorrow	you tomorrow school-al	jakovlev1940	24		10.2023
16	East Caucasian	Dargwa	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	abdullaev1954	103		Alexandra Nogina		šag'ar-li-zi-v-ad čaruqun	Вернулся из города	(He) came back from the city	city-obl-inter-cl-abl	abdullaev1954	110		10.2023
17	East Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	sumbatovamutalov2003	20--21		Alexandra Nogina		tup XaIr-reh Ti.b=aIR-ib	The ball fell behind the fence	The ball fell behind the fence	ball fence-obl.postlat [N]fall:pf=pret	sumbatovamutalov2003	28		10.2023
18	East Caucasian	Dargwa	Kajtag	Kajtag	language	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	deictic	Type of trimorphemic system	temirbulatova2004	91, 92	С аблативом (abl утрачивает свое непосредственное значение в сочетании с показателем, переходит по семантике в prol (temirbulatova2006: 101))	Alexandra Nogina		ši-l-cci-r-hen	По селу по направлению вниз	Down the village	village-obl-in-abl-downwards	temirbulatova2004	101		10.2023
19	East Caucasian	Dargwa	Kajtag	Kajtag	language	no	no	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	temirbulatova2004	91, 92	С эссивом и аллативом	Alexandra Nogina		ši-l-cci-∅-bek'	По направлению в село	Towards the village	village-obl-in-al-dir	temirbulatova2004	102		10.2023
20	East Caucasian	Dargwa	Kubachi	Kubachi	language	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	magometov1963	114, 123	С лативом	Alexandra Nogina		nisːi-šːu-wā	По направлению к нам	Towards us	us-apud.al-dir	magometov1963	123		10.2023
21	East Caucasian	Dargwa	Mehweb	Mehweb	language	no	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	chechuro2019	56--57		Alexandra Nogina		ħarši k’unk’ur-le-ħe-r le-r	The soup is in the pot	The soup is in the pot	soup pot-obl-in-npl(ess) be-npl	chechuro2019	65		10.2023
22	East Caucasian	Dargwa	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	forker2020dargwa	54, 77	?	Alexandra Nogina		il=ra χːula b-irʁ-an ca-b hel qal-la baˁʡ-li-cːe-r-b-a	That is also growing along the façade of the house	That is also growing along the façade of the house	that=add big n-come.ipfv-ptcp cop-n that house-gen façade-obl-in-abl-n-dir	forker2020dargwa	77		10.2023
23	East Caucasian	Dargwa	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	deictic	Type of trimorphemic system	sumbatovalander2014	57	С лативом (факультативно) и аблативом (обязательно)	Alexandra Nogina		wac'a-c:e-r-ka t'ama b=iq'-ul=de	Из лесу слышался голос	A voice was heard from the forest	forest-inter-el-downwards voice n=hear:ipf-prs-conv=pst	sumbatovalander2014	51		10.2023
24	East Caucasian	Dargwa	Northern Dargwa	Urakhi	village	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	deictic	Type of trimorphemic system	abdullaev1954	115, 126		Alexandra Nogina		adam-ulaču-b-s-ad	От людей сюда	From the people there	person-??-cl-thither-abl	abdullaev1954	126		10.2023
25	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	hillery1994	9		Alexandra Nogina		bič'-i bagh-ši da-rč-a	The boy remained in the garden	The boy remained in the garden	boy-nom garden-loc remained	hillery1994	4		10.2023
26	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	kibriketal1996	17		Alexandra Nogina		buraL-o leni ida	There is water in the pitcher	There is water in the pitcher	pitcher-in.ess water cop	kibriketal1996	81		10.2023
27	East Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	forker2019	77		Alexandra Nogina		eli ħalica čeq-i-š b-iq’e-s hadu nuqo	We hardly brought this log out of the forest	We hardly brought this log out of the forest	we.erg hardly forest-in-abl1 iii-bring-pst this log(iii)	forker2019	86		10.2023
28	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	approximative	Type of trimorphemic system	vandenberg1995	44	Со всеми (?) падежами	Alexandra Nogina		yaraǧ r-oxče-n li žin-do ha-ƛ-do-ƛ' q'ere gul-ur.u	He took a weapon from under his feet, where he had laid it down	He took a weapon from under his feet, where he had laid it down	weapon.5 5-take-ger be.5 self.obl-ins foot-sub-appr-trans down put.5-ppt	vandenberg1995	68		10.2023
29	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	nichols2011	127		Alexandra Nogina		yz urs dika touxa-lu niwaragh	This knife throws at/sticks in the door well	This knife throws at/sticks in the door well	dem knife well strike-incp door.lat	nichols2011	493		10.2023
30	East Caucasian	Andic	Karata-Tukita	Karata	dialect_toplevel	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	pasquereau2010	13		Alexandra Nogina									10.2023
31	East Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	desheriev1959	22		Alexandra Nogina		zi kak:-ot-ma: z'va-lli	Я иду из дома	I'm coming from the house	I go-pres-pred house-in.el	desheriev1959	26		10.2023
32	East Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	khalilova2009	73		Alexandra Nogina		anka l-eqq-uč qarpuz-a-ma-zi mˁāɣul qˁe k'oλ-i	As soon as (I) made a hole, the hare jumped out of the watermelon	As soon as (I) made a hole, the hare jumped out of the watermelon	hole(iv) iv-happen-imm.antr water.melon-obl-in-abl outside.vers hare jump-pst.w	khalilova2009	89		10.2023
33	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	authier2009	29		Alexandra Nogina		zin Guba.c-aˁar gva-xhur-d-u	Je suis revenue de Kuba	I came back from Cuba	1(f) Kuba-in.el pv.f-come-aor-f	authier2009	44		10.2023
34	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	gadzhiakhmedov2000	174		Alexandra Nogina		on-u tezde muzafar-ni ata-si persija-dan geltir-gen	Его давно отец Музафара привез из Персии	He's been brought from Persia by Muzafar's father a long time ago	he-acc long_time_ago muzafar-gen father-poss.3sg persia-abl bring-perf	gadzhiakhmedov2000	189		10.2023
35	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	zhirkov1955	36	С лативом	Alexandra Nogina		o:rč' qat-lu-vu-n-aj lavgunni	Мальчик по направлению внутрь дома пошел	The boy went in the direction of the inside of the house	boy house-obl-in-al-dir go-	zhirkov1955	42		10.2023
36	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	haspelmath1993	74		Alexandra Nogina		Anglija.d-a lif.re-z gümbet ecig-nawa	In England a gravestone has been built for a dove	In England a gravestone has been built for a dove	England-in.ess dove-dat gravestone build-prf	haspelmath1993	88		10.2023
37	Turkic	Kipchak	Nogai	Kara-Nogai	dialect_toplevel	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	baskakov1940	65		Alexandra Nogina		menim u:jim-de altən:-m ko:p	В моем доме золота много	There's a lot of gold in my house	my house-loc gold-1sg.poss many	baskakov1940	69		10.2023
38	East Caucasian	Lezgic	Rutul	Mukhad	dialect_nt1	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	ibragimov2004	55		Alexandra Nogina		did-əh-la qy: luz	За отцом становись	Go stand behind the father	father-post-abl ahead stand.imp	ibragimov2004	60		10.2023
39	East Caucasian	Lezgic	Rutul	Luchek	village	no	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	alekseev1994	222		Alexandra Nogina		hənəh hə-la-lə ay-či-r	The boy jumped off the roof	The boy jumped off the roof	boy roof-sup-abl ?-jump-aor	alekseev1994	246		10.2023
40	East Caucasian	Lezgic	Tabasaran	Northern Tabasaran	dialect_toplevel	yes	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	deictic	Type of trimorphemic system	magometov1965	117--119	Только с аблативом, по alekseecshixalieva2003 это послелоги	Alexandra Nogina		daʁ.ǯi-l-an-tina	с горы туда	from the mountain there	mountain.erg-sup-abl-thither	magometov1965	119		10.2023
41	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	no	yes	Number of morphological slots in spatial forms	trimorphemic	Type of spatial system	orientational	Type of trimorphemic system	alekseevshixalieva2003	46	С лативом и аблативом	Alexandra Nogina		škola.ji-x'-an-di baja.ri-n deste ʁj-ura	От школы идет группа ребят	There is a group of children coming from the school	school.erg-apud-abl-dir boy.erg-gen group go-pres.3sg	alekseevshixalieva2003	46		10.2023
42	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	authier2012	45		Alexandra Nogina		e=lule debu çükle tülki-le-ho	Dans le terrier il y avait de petits renardeaux	There were fox-cubs in the hole	loc=nest be_in.pst(3) little fox-dimin-pl	authier2012	39		10.2023
43	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	magomedova2012	76		Alexandra Nogina		hinca-ba-k'-o łe bakij-o	Из-под камней появилась вода	Water appeared from under the stones	stone-aff-sub-abl water appear-pst.evid	magomedova2012	85		10.2023
44	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	kibrik1999	55		Alexandra Nogina		gojne=d dura-kara qixa-jnGaI Gel'-bɨ, ma-ni čaruX-b-iš-e:-qa=b ... k'a:ʔ-a-ji:-xe	Потом, если ноги становились мокрыми, в эти чарыки ... клали балах	Then, if the feet became wet, they put balakh in these charyki.	потом=coh.npl мокрый-kara npl.стать.pf-temp1 нога-pl этот-aobl чарык-pl-oblpl-in-all=coh.3 3.класть-ipf-em1-hab	kibrik1999	97		10.2023
45	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Number of morphological slots in spatial forms	bimorphemic	Type of spatial system	none	Type of trimorphemic system	bokarev1959tsez	189		Alexandra Nogina		χiχo-ł-er zijo ča-l'o	В похлебку соль сыпь	Pour salt into the chowder	chowder-inter-al salt pour-imp	bokarev1959	191		10.2023
46	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	holiskygagua1994	159	Есть формы с сочетанием двух падежей: laħ dažri-lo-ħ Ba // snake grass-ALLII-LOC is // ‘The snake is in the grass.’	Alexandra Nogina		ninŏ xi-lŏ eq'-in	Nino jumped into the water	Nino jumped into the water	nino water-all2 jump-aor	holiskygagua1994	162		10.2023
47	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	Number of morphological slots in spatial forms	monomorphemic	Type of spatial system	none	Type of trimorphemic system	ganenkov2008	15		Alexandra Nogina		tːe hazir pːočːkː-in-aun eχ-tː-i ʁoʁ-a ba=jan=ne levetː-a	Берем из этой готовой бочки и кладем алычу в кастрюлю	We take cherry plum out of the finished barrel and put it into the pan	dist готовый бочка-o-abl брать-lv-aoc алыча-dat класть.внутрь=1pl=st:prs кастрюля-dat	ganenkov2008	40		10.2023
