id	language	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment
30	Lak	Standard Lak	language	yes	yes	R-CM-a	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	zhirkov1955	53		Maksim Melenchenko	2022-08-19	ттурш-в.а	t:urš-w.a		hundred		hundred-CM.NUM	zhirkov1955	53	
31	Archi	Archib	village	yes	yes	R-a<CM>u	present	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	kibrik1977	119		Maksim Melenchenko	2022-08-19	баIш:-и<тI>у	baˤš:-i<t'>u		hundred		hundred-<CM>NUM	mikailov1967	75	
32	Lezgian	Standard Lezgian	language	yes	yes	R-d	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	haspelmath1993	231		Maksim Melenchenko	2022-08-19	wiš	wiš		hundred		hundred	haspelmath1993	231	
33	Tabasaran	Standard Tabasaran	language	yes	yes	R-CM	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	alekseevshixalieva2003	52		Maksim Melenchenko	2022-08-19	варж	varž		hundred		hundred	alekseevshixalieva2003	52	
34	Rutul	Kina	village	yes	yes	R-CM	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	mukhin2020	5		Maksim Melenchenko	2022-08-19	weš	weš		hundred		hundred	mukhin2020	5	
35	Tsakhur	Mishlesh	village	yes	yes	R=CM=le	absent	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	kibrik1999	155		Maksim Melenchenko	2022-08-19	waIš	waˤš		hundred		hundred	kibrik1999	155	
36	Agul	Central Agul	dialect_toplevel	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magometov1970	95		Maksim Melenchenko	2022-08-19	werš	werš		hundred		hundred	magometov1970	95	This is a substantivized example
37	Qushan Agul	Burshag	village	no	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	magometov1970	95		Maksim Melenchenko	2022-08-19	wärš	wærš		hundred		hundred	magometov1970	95	This is a substantivized example
38	Budukh	Budukh	language	yes	yes	R-CM	derived vigesimally (5x20)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	talibov2007	149		Maksim Melenchenko	2022-08-19	фухъаб	fu-qa-b	сто (III кл.)	hundred (III)		five-twenty-CM	talibov2007	149	
39	Kryz	Alik	dialect_toplevel	yes	yes	R-CM	derived vigesimally (5x20)	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	authier2009	106		Maksim Melenchenko	2022-08-19	fud ǧaˤa-d	fu-d ɢaˤa-d		hundred		five-CM twenty-CM	authier2009	106	
40	Udi	Udi	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	mobili2010	329		Maksim Melenchenko	2022-08-19	бач	bač		hundred		hundred	mobili2010	329	
41	Khinalug	Khinalug	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	desheriev1959	132		Maksim Melenchenko	2022-08-19	пан	pan		hundred		hundred	desheriev1959	132	
42	Chechen	Standard Chechen	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	nichols1994	51		Maksim Melenchenko	2022-08-19	bʕe:	bʕe:		hundred		hundred	nichols1994	51	
43	Ingush	Standard Ingush	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	nichols2011	212		Maksim Melenchenko	2022-08-19	bwea	bʕæ:		hundred		hundred	nichols2011	212	
44	Tsova-Tush	Zemo-Alvani	village	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	holiskygagua1994	188		Maksim Melenchenko	2022-08-19	pxauzt’q’	pxa-uz-t’q’		hundred		five-times-twenty	holiskygagua1994	188	
45	Kumyk	Standard Kumyk	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	abdullaevaetal2014	230		Maksim Melenchenko	2022-08-19	юз	juz		hundred		hundred	abdullaevaetal2014	230	
46	Azerbaijani	Standard Azerbaijani	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	shiralievsevortyan1971	71		Maksim Melenchenko	2022-08-19	jүз	jyz		hundred		hundred	shiralievsevortyan1971	71	
47	Nogai	Standard Nogai	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	baskakov1996	332		Maksim Melenchenko	2022-08-19	юз	juz		hundred		hundred	baskakov1996	332	
48	Juhuri	Juhuri	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	authier2012	81		Maksim Melenchenko	2022-08-19	sad	sad		hundred		hundred	authier2012	81	
49	Eastern Armenian	Eastern Armenian	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	dum-tragut2009	118		Maksim Melenchenko	2022-08-19	haryur	hɑrjur		hundred		hundred	dum-tragut2009	118	
50	Georgian	Standard Georgian	language	yes	yes	R	no numeral marker	Presence of the numeral marker in the numeral ‘100’	Presence of the numeral marker in the numeral ‘100’	hewitt1995	51		Maksim Melenchenko	2022-08-19	as-i	as-i		hundred		hundred-NOM	hewitt1995	51	
