id	lang	idiom	type	genlang_point	map	feature	value1_name	value1	source	page	contributor	date
29	Hinuq	Hinuq	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	329	George Moroz	2017.05.06
30	Hunzib	Gunzib	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	isakovxalilov2001	260, 259	George Moroz	2021.10.04
31	Hunzib	Gunzib	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	332	George Moroz	2017.05.06
32	Ingush	Standard Ingush	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	nichols2011	20, 19, 22	George Moroz	2021.10.04
33	Karata	Karata	dialect_toplevel	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	magomedbekova1971	12--18	George Moroz	2021.10.04
34	Karata	Tukita	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	gadzhieva2007	8, 7	George Moroz	2021.10.04
35	Khinalug	Khinalug	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrik1994b	370, 372	George Moroz	2021.10.04
36	Khinalug	Khinalug	village	no	no	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	346--347	Viola Ivanova	2017.05.06
37	Khwarshi	Inkhoqwari	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	327	George Moroz	2017.05.06
38	Khwarshi	Kvantlada	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	khalilova2009	13, 23	George Moroz	2021.10.04
39	Kryz	Kryz	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	saadiev1994	409, 410	George Moroz	2021.10.04
40	Kryz	Kryz	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	345	Viola Ivanova	2017.05.06
41	Kumyk	Standard Kumyk	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	abdullaevaetal2014	33--56, 27	George Moroz	2021.10.04
42	Lak	Khosrekh	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	333	Viola Ivanova	2017.05.06
43	Lezgian	Khlyut	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	341	George Moroz	2017.05.06
44	Lezgian	Standard Lezgian	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	gaydarivetal2009	56, 54	George Moroz	2021.10.04
45	Nogai	Standard Nogai	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	baskakov1940	27, 13	George Moroz	2021.10.04
46	Rutul	Luchek	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	alekseev1994	215, 217	George Moroz	2021.10.04
47	Rutul	Luchek	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	342--343	Viola Ivanova	2017.05.06
48	Tabasaran	Dyubek	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	336	George Moroz	2017.05.06
49	Tabasaran	Standard Tabasaran	language	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	alekseevshixalieva2003	29	George Moroz	2021.10.04
50	Tat	Muslim Tat	dialect_toplevel	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	griunberg1963	17, 9	George Moroz	2021.10.04
51	Tindi	Tindi	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	326--327	Viola Ivanova	2017.05.06
52	Tindi	Tindi	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	magomedova2012		George Moroz	2021.10.04
53	Tsakhur	Mikik	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrikkodzasov1990	343	George Moroz	2017.05.06
54	Tsakhur	Mishlesh	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	kibrik1999	16, 17	George Moroz	2021.10.04
55	Tsez	Kidero	village	no	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	328	Viola Ivanova	2017.05.06
56	Tsez	Sagada	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	wilson2021	388	George Moroz	2021.10.04
57	Tsova-Tush	Zemo-Alvani	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	not attested	holiskygagua1994	150	George Moroz	2021.10.04
58	Udi	Nidzh	village	yes	yes	Presence of pharyngealized segments	Presence of pharyngealized segments	attested	kibrikkodzasov1990	347	Viola Ivanova	2017.05.06
