id	language	idiom	type	genlang_point	map	form_type	form	form:base_source_label	form:lex	form:lex_source_label	form:lex_unif	value:lex	form:aux	form:aux_source_label	form:aux_unif	feature	value:aux	value1	value1_name	value:resultative	value2	value2_name	value:experiential	value:indirect_evidentiality	source	page	comment	contributor	example_as_in_source	example	translation as in source	translation	gloss_source	gloss	example_source	example_page	example_comment	date
33	North-Central Dargwa	Standard Dargwa	language	no	no	experiential	-si=ra/ri/sa<CM>i		-si	past participle	participle	participle	ra/ri/sa<CM>i	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	attested	not attested	mutalov2018	62--64		Samira Verhees	ħu w-ak’-ajči Sanijat=ra q’ac’-li r-uk-un-si aħen, žapar		Before you came Sanijat has also not eaten bread, Zhapar.		2sg m-come.pfv-anter Sanijat=add bread-erg f-eat.ipfv-pret-attr cop.neg Zhapar		mutalov2018	63		2.202
41	Amuzgi-Shiri	Shiri	dialect_toplevel	no	no	experiential	-ib-zi-cm=da/di/ca<CM>i		-ib-zi-CM	perfective participle	participle	participle	da/di/ca<CM>i	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	attested	not attested	belyaev2018	86		Samira Verhees	di-la rucːi či<r>ag-ib-zi-w=di=w ʕät?		Have you (ever) seen [i.e. met] my sister?		me-gen sister <f>see.pfv-ptcp-attr-m=2=gq thee.dat		belyaev2018	100	Example of experiential.	2.202
36	Sanzhi-Itsari	Itsari	dialect_toplevel	no	no	resultative	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	belyaev2018	103		Samira Verhees										2.202
31	Northern Dargwa	Aqusha	dialect_toplevel	no	yes	perfect	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	belyaev2018	103		Samira Verhees									No example found so far.	2.202
32	Kubachi	Ashti	dialect_toplevel	no	yes	perfect	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	belyaev2018	103		Samira Verhees									No example found so far.	2.202
35	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	perfect	-ib=[PERSON]		-ib	perfective participle	participle	participle	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	attested	belyaev2018	103		Samira Verhees	c’il he.l.tːu-r.tːal gu<w>al he.l-il χan šːa w-at.a̰ʁˁ-ib.li arbaχː elʁ-un=ca-w zamen-ni-j		Then Arbakh sent Khan down to the village and stayed behind to replace him.		then there-el down<m> that-erg Kh. village.in[lat] m-send.pfv-cvb A. stay-ptcp=cop-m replacement-obl-dat		belyaev2018	104	Example of indirect evidentiality; Originally from a different source.	2.202
38	Kajtag	Kajtag	language	no	yes	perfect	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	belyaev2018	103		Samira Verhees	et=gina e-b-et’-iß.li=w		Aren’t you bored with being alone?		thee.dat=only neg-n-bore.pfv-cvb=gq		belyaev2018	105	Example of resultative; Originally from a different source.	2.202
37	Kajtag	Kajtag	language	no	yes	perfect	-ib=[PERSON]		-ib	perfective participle	participle	participle	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	not attested	attested	belyaev2018	103	It seems the participle has more allomorphs (see example)	Samira Verhees	hap’<b>ar-iß.li, šuškːe=ra ca-j=ra, r-us-un.ni ka-r-isː-un ricːi-l-sa k.ag-ur=ca-j il		He snatched the sabre and came down to the sleeping sister.		<n>snatch.pfv-cvb sabre=add self-m=add f-sleep.pfv-cvb down-f-lie.pfv-ptcp sister-obl-ante[lat] go.down.pfv-ptcp=3-m that		belyaev2018	105	Example of indirect evidentiality; Originally from a different source.	2.202
40	Kubachi	Kubachi	language	no	yes	perfect	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	belyaev2018	103		Samira Verhees	du ijal lum b-us-ib.li=da		I am fasting today. [lit. I have held the edge]		I today edge n-hold.pfv-cvb=1		belyaev2018	106	Example of resultative; Originally from a different source.	2.202
39	Kubachi	Kubachi	language	no	yes	perfect	-ib=[PERSON]		-ib	perfective participle	participle	participle	[PERSON]	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	not attested	attested	belyaev2018	103		Samira Verhees	ʡṵːʁˁbug.an-t.a-tː.ij b-ṵlħ-ṵn=sa-b nadir-šah-li-j šːe ha‹b›alč-ij b-ikː-u.l		The people of Kubachi saw that Nāder-Shāh wanted to capture the village.		Kubachi.people-pl-dat n-see.pfv-ptcp=3-n N.-Sh.-obl-dat village <n>take.pfv-inf n-want.ipfv-cvb		belyaev2018	106	Example of indirect evidentiality; Originally from a different source.	2.202
43	Amuzgi-Shiri	Shiri	dialect_toplevel	no	yes	perfect	-ib-li=da/di/ca<CM>i		-ib-li	perfective converb	converb	converb	da/di/ca<CM>i	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	attested	belyaev2018			Samira Verhees	du maskaw-le-w ka.lug-u.l, di-la ucːi-dil xːeri-w meq’ barq’-ib.li ca<b>i		When I was in Moscow, my brother married in Shiri.		I m.-in-m remain.ipfv-cvb me-gen brother-erg Sh.-m[ess] wedding n-do.pfv-cvb 3<n>		belyaev2018	89	Example of indirect evidentiality.	2.202
42	Amuzgi-Shiri	Shiri	dialect_toplevel	no	yes	perfect	-ib=da/di/Ø		-ib	perfective participle	participle	participle	da/di/Ø	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	not attested	belyaev2018		No predicative marker in third person.	Samira Verhees	du-dil arc d-ikː-aj ilsan-ni di-la arc čer-d-arq’-b-akː-u		The man I gave money to has not returned it.		i-erg money npl-give.pfv-pret.3 man-erg me-gen money back-npl-do.pfv-prf-neg-3		belyaev2018	97	Example of current relevance meaning.	2.202
34	North-Central Dargwa	Standard Dargwa	language	yes	yes	perfect	-li=ra/ri/sa<CM>i		-li	past converb	converb	converb	ra/ri/sa<CM>i	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	attested	mutalov2018	60--62		Samira Verhees	Daʁistaj-zi kosmonawt-uni ʡaˁħlad-li b-ak’-i-li sa<b>i; gazeta-li-zi il-d-ala surat-uni=ra ka-d-aˁq-i-li sa<r>i		Astronauts have visited Daghestan; their pictures were printed in the newspaper.		Daghestan.obl-inl astronaut-pl host-advz dem-pl-gen picture-pl=add down-npl-hit.pfv-pret-cvb cop<npl>		mutalov2018	61	Example of resultative.	2.202
44	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	perfect	-ib-li=[PERSON]		-ib-li	perfective converb	converb	converb	da/di/ca<CM>	predicative marker	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	belyaev2018	103		Samira Verhees	hi.t zimizal-li uc-ib-le=sa=j		Его укусил муравей.		тот муравей-erg (m)ловить:pf-pret-conv=cop=m		sumbatovalander2014	454	Example of current relevance meaning.	2.202
47	Godoberi	Godoberi	village	no	no	resultative	-bú-da	Past stem	-bú	past participle	participle	participle	-da	copula	copula	Perfect	morphologized	synthetic	Structure	attested	not attested	Current relevance	not attested	not attested	dobrushinaetal1996; dobrushinatatevosov1996			Samira Verhees	ʕali hilaXula Rumi-bu-da		Ali is still sleeping.		Ali still fall.asleep.pst-part-cop		dobrushinatatevosov1996	97	Example of resultative.	2.202
45	Godoberi	Godoberi	village	no	yes	perfect	-á/ú cmV=k'-at-á-da	Past stem	-á/ú	past converb	converb	converb	CM-V=k'-at-á-da	present progressive of ‘be’	aux	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	not attested	dobrushinaetal1996; dobrushinatatevosov1996			Samira Verhees	den hincːu Xʷab-ú bu=k’-at-á-da		I have opened the door.		I.erg door open.pst-conv n=be-prs-conv-cop		dobrushinatatevosov1996	96	Example of current relevance meaning; Replaced macron with lengthmark and circle with labialization.	2.202
46	Godoberi	Godoberi	village	yes	yes	perfect	-á/ú-da	Past stem	-á/ú	past converb	converb	converb	-da	copula	copula	Perfect	morphologized	synthetic	Structure	not attested	attested	Current relevance	not attested	attested	dobrushinaetal1996; dobrushinatatevosov1996		Does not combine with first person subject according to Dobrushina & Tatevosov (1996: 94).	Samira Verhees	ho=w caXa=w=a wu=n-á-da		He has gone away (“Don’t look for him and don’t wait him”)		he=m away=m m=go.pst-conv-cop		dobrushinatatevosov1996	94	Example of current relevance meaning; Replaced macron with lengthmark and circle with labialization.	2.202
48	Hinuq	Hinuq	village	no	yes	perfect	-s/š/iš goɬ		-s/š/iš	resultative participle	participle	participle	goɬ	present tense copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	forker2013	215--216; 286		Samira Verhees	hago akeɬ-iš goɬ		He is tired.		he get.tired-res be		forker2013	287	Example of resultative.	2.202
49	Hinuq	Hinuq	village	yes	yes	perfect	-no/n		-no/n	narrative converb	converb	converb				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	khalilova2011; forker2013	NA; 221--222	Negative copula appears under negation.	Samira Verhees	Ø-aq’e-n Malla Rasadan ƛerba-zo buƛe-ho-r		Mulla Nasrudin came to the house of his friend.		i-come-uwpst Mullah Nasrudin guest-gen2 house-iloc-lat		forker2013	221	Example of indirect evidentiality.	2.202
50	Hunzib	Hunzib	language	yes	yes	perfect	-un lo/li		-un	gerund	converb	converb	lo / li	'to be’	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	attested	vandenberg1995; khalilova2011	99; NA		Samira Verhees	mɨλaɬ do yiy-an lo		I (female) cried in my dream. (I don’t remember this, but someone told me this)		dream.inter 1sg.abs cry-pfv.cvb be(ii)		khalilova2011	33	Example of indirect evidentiality with first person effect.	2.202
51	Ingush	Standard Ingush	language	yes	yes	perfect	-na<CM>(y)		-na	anterior converb	converb/participle	other	-CM-y	'be’	aux	Perfect	full auxiliary	mixed	Structure	attested	attested	Current relevance	not attested	attested	nichols2011	254--256	Ingush also seems to have a special auxiliary (xanna-CM), similar to Chechen xilla (Nichols 2011: 257-259).	Samira Verhees	Cwa mealxara jar hwo, Tawaibat, fy dead hwuona? ealar aaz.		“You’re so sad today, Tawaibat, what happened to you,” I said.		some sad j.be.pst 2s (name) what d.do.nw.d 2s.dat say.wp 1s.erg		nichols2011	256	Example of resultative.	2.202
52	Karata-Tukita	Karata	dialect_toplevel	yes	yes	perfect	-a/i/e-(CM-χʷa) idja	perfective past	-(CM-χʷa)	general converb	converb	converb	idja	copula	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	attested	pasquereaudraft2020; magomedbekova1971	NA; 130--131	It remains unclear whether the perfect based on the general converb and the perfect based on the perfective past are two separate constructions with distinct functions, or whether the converb suffix can optionally be omitted in the construction (J. Pasquereau, p.c.).	Samira Verhees	χan-šːu-w waša-šːu-l keƛ’ː-ẽ idja: ha-b q’ːoldeni-qː χisa-bič’-o-le xːʷane-ƛ’ːe		The khan’s son said: (you) will you not exchange this hauberk for (your) horse?		khan-m0[gen]-m boy-m0[gen]-erg say-pf cop dem-n hauberk0-cfg5[loc] exchange-fut.neg-ptcp-q horse-quot		pasquereaudraft2020		Example of indirect evidentiality. Originally from a different source.	2.202
53	Khinalug	Khinalug	village	yes	yes	perfect	-(q)omæ	основа результатива				other	-(q)omæ	“иметься, быть в наличии”, ниже говорящего	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	kibriketal1972	158--165, 178--179	Also expresses spatial deixis “lower than the speaker”. As a result, it does not combine with first person (see Kibrik et al. (1972: 169) on Present Definite II).	Samira Verhees	I tshuloz χarabq’æthmæ		Мой зуб испортился				kibriketal1972	178	Not sure what kind of example this is.	2.202
54	Khinalug	Khinalug	village	no	yes	perfect	-athmæ	основа результатива				other	-athmæ	“иметься, быть в наличии”, на одном уровне с говорящим	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	kibriketal1972	158--165, 178--179	On a rare occasion has an indirect evidential flavor (Kibrik et al. 1972: 178).	Samira Verhees	daʕvar hini k’lisшm aram tuvthomæ		В бою он смертельную рану получил				kibriketal1972	178	Not sure what kind of example this is.	2.202
