id	language	idiom	type	genlang_point	map	feature	value1_name	value1	form1	source	page	comment	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	contributor	date	check_me
11	Tindi	Tindi	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-e; -hi	magomedova2012	170--174	Suffixes: -e is used in direct past, -hi is used in habitual present/indefinite future. In analytic tenses, incl. tenses that originate in analytic constructions, the auxiliary ija is replaced by a negative auxiliary hik’ʲi (indirect past, definite future, present progressive) or the suffix -e is attached to the auxiliary buk’o (pluperfect, imperfect past). Prohibitive suffix is -bas:a [168].	бехе̄́	beχ-eː	не взял	did not take	take-PST.NEG	magomedova2012	171		Maksim Melenchenko	2024-11-22T00:00:00Z	
12	Northern Akhvakh	Northern Akhvakh	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-(i)ki / -(i)k-CM; -ƛa	magomedbekova1967	96--98	Suffixes: -(i)ki / -(i)k-CM for habitual present and future, -ƛa for past. In analytic tenses, negative auxiliary goƛ-CM is used. Prohibitive suffix -u-be [93].	ind-iki		не могу | не смогу	(will) not be able	can-NEG	magomedbekova1967	96		Maksim Melenchenko	2024-07-09T00:00:00Z	
13	Southern Akhvakh	Southern Akhvakh	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-(i)ko / -(i)k-CM; -ƛa	magomedbekova1967	96--98	Suffixes: -(i)ko / -(i)k-CM for habitual present and future. -ƛa for past. In analytic tenses, negative auxiliary goƛa is used. Prohibitive suffix -u-be [93].	ind-iko		не могу | не смогу	(will) not be able	can-NEG	magomedbekova1967	96		Maksim Melenchenko	2024-07-09T00:00:00Z	
14	Avar	Standard Avar	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-ro; -č’o	alekseevetal2012	212--224	Suffixes: -ro (simple future, general tense). In analytic tenses, a negative auxiliary heč’o (or a suffix -č’o that originates in it, as in simple past) is used. Prohibitive suffix -ge.	кьижи + чӏо	ƛː’iži-č’o	не спал	did not sleep	sleep-NEG	alekseevetal2012	213		Maksim Melenchenko	2024-07-09T00:00:00Z	
16	Avar	Kabakhchol	dialect_nt3	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	(-lu)-ru	saidova2007	144--145	The only difference from general Zaqatala is that some forms (present, general tense, pluperfect, future) are derived with the suffix (-lu)-ru.	бортануру	borta-n-uru	не падает	does not fall	fall-GNR-NEG	saidova2007	145	GNR = general tense	Maksim Melenchenko	2024-07-09T00:00:00Z	
17	Hinuq	Hinuq	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-me; -mi; -m	forker2013	198--199	In synthetic forms, “the negative suffix, -me, it occurs in all negative verb forms except for the Intentional future where it is -mi, and the Imperative and Optative where it is -m.” Periphrastic tenses are negated as follows: in the Present the auxiliary goɬ is replaced by the negative auxiliary gom, in Simple Past -me is attached to the auxiliary zoq’ wes, in the Unwitnessed Past the negative auxiliary gom is attached to the auxiliary zoq’wen. Prohibitive suffix is -(y)om [230].	šuƛ’e-me			does not forget	forget-NEG	forker2013	193		Maksim Melenchenko	2024-07-09T00:00:00Z	
18	Khwarshi	Khwarshi Proper	dialect_toplevel	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-ate; -bi; -aj	khalilova2009	201--208	“The Present simple negative is formed with the suffix -ate added to the bare verbal stem.” “The negative Past witnessed is formed with the suffix -bi, which is added to the bare verbal stem.” “The negative form of the General tense is formed with the suffix -bi added directly to the General tense verb.” “The negative Past unwitnessed is formed with the suffix -ay which is attached directly to the verb in the Past unwitnessed tense.” “The negation of periphrastic constructions can occur on either the non-finite verb or the auxiliary verb. Negation can also occur on both verbs, which results in an emphatic affirmative meaning. Some periphrastic constructions restrict negation to either the finite or the non-finite verb.” “The prohibitive mood (or negative imperative) is formed with the suffix -bo and the lengthening of the root vowel.” [247]	b-ux-ate		is not coming		HPL-go-NEG.PRS	khalilova2009	201		Maksim Melenchenko	2024-07-09T00:00:00Z	check me
18	Khwarshi	Khwarshi	dialect_nt1	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-ate; -bi; -aj	khalilova2009	201--208	“The Present simple negative is formed with the suffix -ate added to the bare verbal stem.” “The negative Past witnessed is formed with the suffix -bi, which is added to the bare verbal stem.” “The negative form of the General tense is formed with the suffix -bi added directly to the General tense verb.” “The negative Past unwitnessed is formed with the suffix -ay which is attached directly to the verb in the Past unwitnessed tense.” “The negation of periphrastic constructions can occur on either the non-finite verb or the auxiliary verb. Negation can also occur on both verbs, which results in an emphatic affirmative meaning. Some periphrastic constructions restrict negation to either the finite or the non-finite verb.” “The prohibitive mood (or negative imperative) is formed with the suffix -bo and the lengthening of the root vowel.” [247]	b-ux-ate		is not coming		HPL-go-NEG.PRS	khalilova2009	201		Maksim Melenchenko	2024-07-09T00:00:00Z	check me
19	Tsez	Kidero	dialect_nt1	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-oːnu; (-en)-č’i; (-en)-č’u; (-en)-č’ej	imnajshvili1963	197--207	Suffixes as follows, present progressive and past indefinite: oːnu, present habitual and future indefinite: (-en)-č’i, past definite and future definite: (-en)-č’u, past absolute: (-en)-č’ej. Prohibitive suffix -no.	(–)ac̣-xōnu	-ac’-xoː.nu		is not eating	-eat-PRS.PROG.NEG	imnajshvili1963	198		Maksim Melenchenko	2024-07-09T00:00:00Z	
20	Bezhta	Bezhta	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-eʔeš/-jʔeš; -aʔas/-æʔæš; -aʔ/-æʔ; -(e)č’e	comrieetal2015	391--393	“В бежтинском языке отрицательная форма образуется практически от всех глагольных форм, за исключением инфинитива. При ее образовании используется несколько аффиксов: -еъеш//-йъеш, -аъас//-аьъаьш, -чIе, -аъ//-аьъ.” Prohibitive suffix is different: -акъа.	йатӏ-аъас	jat’-aʔas	не хочет, не любит	does not want/like	want-PRS.NEG	comrieetal2015	392		Maksim Melenchenko	2024-07-09T00:00:00Z	
21	Hunzib	Hunzib	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-at’; -at’-s; -it’(o); -in; -is; -ojs; -ajs	isakovxalilov2012	210--212	Suffixes: -at’ for present, future, and their participles, -it’(o) and -in for preterite gerund, -is for preterite and masdar, -ojs for aorist (general tense), -ays or -at’-s for intentional future, -ʌq’o for prohibitive, other suffixes… In analytic forms (which consist of the auxiliary ‘to be‘ and a gerund, participle, or infinitive), the auxiliary is replaced by the negative auxiliary gʌč’.	bolu ʕadam diʔi y-iq’-at’		I do not know this woman		this/2 person me/DAT 2-know-PRS.NEG	vandenberg1995	84		Maksim Melenchenko	2024-07-09T00:00:00Z	
22	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		musaev2002	78--79	"“Отрицательная форма присуща почти всем глаголам и образуется она двумя способами: при помощи отрицательных частиц-приставок хӏе- (хӏя-), ма- (ме-) и при помощи отрицательного вспомогательного глагола ахӏен """"нет"""", """"не есть"""". <…>  В производных при помощи приставок глаголах отрицательные частицы располагаются между приставкой и первичной основой, ср.: чеббелкӏес """"переписать"""" и чебхӏебелкӏес """"не переписать"""". <…> Частица ма-(ме-) употребляется в повелительном, желательном и допускаемо-желательном наклонении, а в остальных наклонениях употребляется хӏе- (хӏя-). <…> Отрицательные формы при помощи же вспомогательного глагола ахӏен""""нет, не есть"""" образуются у аналитических форм, ср.: лукӏули сай букв, """"записывая есть, имеется"""", т.е. """"пишет"""" и лукӏули ахӏен букв, """"записывая нет, не есть"""", т.е. """"не пишет"""".”"	хӏебатур	ħe-bat-ur	не оставил	did not leave	NEG-leave-AOR	musaev2002	78		Maksim Melenchenko	2024-07-09T00:00:00Z	
23	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		forker2020dargwa	222--223	“Negation can be expressed through prefixes or through the negative copula, depending on the inflected verb forms. <…> There are two negative prefixes a- and ma- that occur right before participant-oriented deixis/elevation preverbs and root-initial gender markers if there are any. The prefix a- is occasionally preceded by an additional gender agreement prefix. The functional distribution of the negation prefixes is as follows: the prefix a- is used in the imperfect/preterite, resultative, pluperfect, experiential past, and sometimes also with the perfect and with non-finite verb forms. The prefix ma- is only used in the prohibitive and the negative optative. For all other verb forms the negative copula is employed. The negative copula has the root akːw- <…>”	a-b-erk-un-ne		(she) did not eat		NEG-N-eat.PFV-PRET-CVB	forker2020dargwa	561		Maksim Melenchenko	2024-07-09T00:00:00Z	
24	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		sumbatovamutalov2003	66--71, 113--115	“Negation can be expressed by stem reduplication (2.3.1.1., 2.3.2.3.) and with the negative auxiliary -akːu. The negative auxiliary can be analysed as a defective verb that does not express aspect and has only one basic stem.” “A number of verbal forms consist of a participle or a converb of the main verb and a predicative marker. All these forms have two possible slots to be filled in with the negative auxiliary: the position of the predicative marker and the position of the participle/converb marker” [66–71].	b=uc-b-ak̄u	b=uc-b-akːu	(he) did not catch		[N]catch:PF-PRET-NEG	sumbatovamutalov2003	67		Maksim Melenchenko	2024-07-09T00:00:00Z	
25	Mehweb	Mehweb	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		danieletal2019	82--86	“Verbal negation is expressed by one of the two prefixes, the standard negation prefix ħa- and the volitive negation prefix mV-. The latter is only used in volitional moods including the prohibitive (negative imperative) and negative optative, and the former is used elsewhere, both on finite and non-finite forms. <…> In periphrastic verbal forms, both the lexical and the auxiliary verb may be negated. The standard negation ħa- is placed immediately before the verbal stem, thus following the preverb with preverbal verbs. <…> Attested forms of negation in periphrastic forms use the negative auxiliary agʷara.”	har-ħa-d-uq-un		She did not run away.		PV-NEG-F1-flee:PFV-AOR	danieletal2019	82		Maksim Melenchenko	2024-07-09T00:00:00Z	
26	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		sumbatovalander2014	119--120	Negation prefix ʕaˁ-, located after the preverb. In prohibitive and optative forms, ma- is used. “Отрицательная связка возможна только в аналитических формах и употребляется сравнительно редко.”	ʕaˁ-b=arqʼ-ib		не сделал	did not do		sumbatovalander2014	119		Maksim Melenchenko	2024-07-09T00:00:00Z	
27	Kajtag	Kajtag	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		temirbulatova2004	183--187	“В хайдакском диалекте отрицательные формы глагола образуются посредством частицы а-, с её фонетическими вариантами гӏя-, (если гласный следующего слога -я(э), и э- <…>. <…> При образовании отрицательных форм от глаголов с направительными превербами в хайдакском диалекте отрицательная частица занимает префиксальную позицию, в отличие от кубачинского, в котором частица располагается после направительного преверба. <…> Но в тех случаях, когда отрицательные формы образуются от глаголов с пространственными превербами, которые менее срослись с производящими основами глаголов, отрицательная частица вклинивается между превербом и первичной основой. <…> Отрицательные формы вспомогательного глагола участвуют в образовании аналитических отрицательных форм глаголов прошедшего, настоящего времени.”	абукана	a-bukana	не покушать	to not eat	NEG-eat.INF	temirbulatova2004	183		Maksim Melenchenko	2024-07-09T00:00:00Z	
28	Chirag	Chirag	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		ganenkov2021draft	25--26	“Most verb forms employ the negative prefix aˤ- to form negation. Semi-periphrastic and periphrastic forms express negation in the suffixal position as part of the predicative marker (former copula in the auxiliary function), as shown in 3.6.5. The Optative and the Prohibitive use the suffix ma-. <…> In prefixal and complex verbs, the prefixes can also be placed immediately before the gender–number agreement marker, following the non-inflected component and locative prefixes. Alternatively, negative prefixes in prefixal and complex verbs can occupy the initial position in the verb, preceding all other prefixes and the non-inflected component.”	aˤ-čː-ib			did not give	aˤ-čː-ib	ganenkov2021draft	38		Maksim Melenchenko	2024-07-09T00:00:00Z	
29	Kubachi	Kubachi	language	no	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-akːʷa	magometov1963	224--236	Negative prefix a- is used for auxiliaries. The main means of negation is reduplication (with ā- in between but often omitted in contemporary language), it is used with synthetic past and present and some other forms. Negative auxiliary akːʷa.	bāq̣-ā-q̣ad	b-aːq’-aː-q’a-d	не сделал	did not do	CL-do.PST-NEG-do.PST-1	magometov1963	226		Maksim Melenchenko	2024-07-09T00:00:00Z	
30	Lak	Standard Lak	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		friedman2021	230	“Except for the prohibitive, the verbal negator is (-)q:a-, which can be prefixed or infixed according to the same rules as for (-)ma- (section 5.5.5). The copula has the negative stem #aq:a-. When infixed, the negative marker comes before the last root consonant or consonant cluster, e.g., q:a-Ø-u-W-k’-s:ijaw, Ø-u-q:a-W-k’-s:ijaw ‘I hadn’t arrived’, ħaq:ač’lač’inna ‘I will (definitely) not be drinking’, q:azuns:ara/zuq:azuns:ara ‘(perhaps/probably) I will not work’. In compound verbs and perphrastic forms, the negator comes before the whole verb, before the light verb, or as a copular auxiliary.”	q:a-Ø-u-W-k’-s:ijaw / Ø-u-q:a-W-k’-s:ijaw	q:a-u<w>k’-s:ijaw / u<q:a><w>k’-s:ijaw	I hadn’t arrived		NEG-arrive<I>-PLUPRF / arrive<NEG><I>-PLUPRF	friedman2021	230		Maksim Melenchenko	2024-07-09T00:00:00Z	
31	Archi	Archib	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-t’u	kibrik1977	89--90	Negation is expressed by the suffix -t’u attached to the finite forms. In analytic forms, the suffix is attached to the auxiliary.	b-acː’a-r-t’u				III.SG-melt-IPFV-NEG	chumakina2021	304		Maksim Melenchenko	2024-07-09T00:00:00Z	
32	Agul	Fite	dialect_toplevel	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		magometov1970	148--149	Prefix -dV (after the preverb) for synthetic forms. Analytic forms are negated by negation of auxiliaries, after the root: xuraj-e 'reads' => xuraj-da-wa 'does not read' [149]. Prohibitive is ma- [150]	qi-di-ḳas	qi-di-k’as	не закрывать	not to close	PV-NEG-close.INF	magometov1970	148		Maksim Melenchenko	2024-07-09T00:00:00Z	
33	Rutul	Standard Rutul	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		ibragimov2004	107--108	Negative prefix dʒV- is used for all non-finite forms. Copular suffix diš is used for several finite forms. There is also a prohibitive mV- (in the same position as dʒV-)	gvalaχ ǯi-vɨ-ʔɨ-nij-s xɨv a-diš		‘There is no bread for who did not work.’		work(A) NEG-A-do.PF-H-DAT bread be_in-NEG	authier_rutul	23–24		Maksim Melenchenko	2024-07-09T00:00:00Z	
34	Tabasaran	Standard Tabasaran	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-dar; -idar	alekseevshixalieva2003	69--71	In finite forms, negation is suffixal. In non-finite forms, it is prefixal (prefix is inserted after the preverb) or infixal. The same affix -dar- is used as both prefix and suffix, sometimes with variations (-idar for future), as a prefix it undergoes vowel harmony (dVr-), as an infix it becomes -drV-. In trisyllabic verbs with preverbs negation is expressed by reduplication of the second syllable. Prohibitive mV- is used for the second person. Negative auxiliary (dayi for eventual past, but affixation can also be used [the distribution is unclear]) is used in analytic tense [babaliyeva2013].	гъафун-дар-за		я не пришёл	I did not come	come-NEG-1SG	alekseevshixalieva2003	69		Maksim Melenchenko	2024-07-09T00:00:00Z	
35	Tsakhur	Mishlesh	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		dobrushina1999	81--84	Infix -(i)dʲ is inserted, usually before the last vowel before the root (i.e. before the last vowel of the preverb): qaˤ=t’=q’ɨn 'be afraid' => q<idʲ>aˤ=t’=q’ɨn.  Prohibitive is derived the same way but with -(i)m instead of -(i)dʲ. Analytic negated forms are derived by negating either the lexical verb or the auxiliary. Negated forms can be derived from any analytic or synthetic form by juxtaposition of the indicative form with the particle deš.	q<idʲ>aˤ=t’=q’ɨn			has not feared	PV<NEG>=4=be_afraid.PFV	kibrik1999	81		Maksim Melenchenko	2024-07-09T00:00:00Z	
36	Lezgian	Standard Lezgian	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-č	haspelmath1993	127--128	"Suffix -č (following the aspect suffix) for the majority of verb forms. """"Non-finite and non-indicative verb forms are negated by prefixal negation. In most verbs this means periphrastic negation involving the negative auxiliary t-awun 'not do', but a closed set of verbs take the negative prefix t(A)-"""" [133] (e.g. ta-lhun 'to not say', kis tawun 'to not fall silent'). Prohibitive suffix -mir (fi-mir 'don't go')."	gu-zwa-č		is not giving		give-IPFV-NEG	haspelmath1993	133		Maksim Melenchenko	2024-07-09T00:00:00Z	
37	Budukh	Budukh	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		talibov2007	229--231	Prefixal-infixal negation with an infix dV- (архар 'to sleep' => а-да-рхар) is used mostly in non-finite forms. “Suffixal” negation uses the negative form of the copula: da-CV [184]. It is used in analytic finite forms: чагъарджиз дар 'not going'. Prohibitive is mV- [216]. [alekseev1994: 280]: it is infixation!	a<da>rxar			not to sleep	sleep.INF<NEG>	talibov2007	229		Maksim Melenchenko	2024-07-09T00:00:00Z	
38	Kryz	Alik	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-dV	authier2009	153--156, 159	“Apart from the prohibitive, which has a prefix mV-, negation is expressed by the morpheme dV, prefixed to the root, or as a suffixed copula.” dV- is used with non-finite forms. “Non-indicative finite negative forms (interrogatives, optatives, debitives, and first- and third-person injunctives) also take this prefixed negation. In indicative forms, verbs that have an -r element or a reduplicated syllable before the root, in the perfective, insert the negation morpheme dV-.” [saadiev 1994: 432]: this is prefixation after the preverb!	da-v-ar-ic		ne pas faire F	not to do (feminine)	NEG-F-do-MSD	authier2009	154		Maksim Melenchenko	2024-07-09T00:00:00Z	
39	Udi	Udi	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		maisak2009	483--493	Particles that usually attach prefixally but can be syntactic nodes and do not need a host. te- (cognate to other Lezgic dV-) is used with indicative finite forms, nu- with non-finite forms (e.g. optative), ma- is used with prohibitive and inhibitive.	te=ne bak-e	te-ne bak-e	не был, не стал	has not been	NEG-3SG be-PRF	maisak2009	484		Maksim Melenchenko	2024-07-09T00:00:00Z	
40	Khinalug	Khinalug	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-CM-i	kibriketal1972	102, 106	Negation suffix -(CM)i, inserted before the mood suffix -mæ. Not all forms have negative counterparts. 1st person prohibitive is negated with the suffix -(CM)i, 2st person prohibitive is derived with a different suffix. [kibrik1994: 388]: -mæ is a copula!	kʰirét̄ímæ	kʰir.etː-i-mæ	не делает	is not doing	do.PRS1-NEG-IND	kibriketal1972	87		Maksim Melenchenko	2024-07-09T00:00:00Z	
41	Chechen	Standard Chechen	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		nichols1994	44--45	Negation particle ca is inserted between the preverb and the root. There is an alternative: suffixes -ac and -acara, but they can be attached only in some tenses and for some verbs [jakovlev1940: 24–29]. Non-indicative negation particle is ma. Compound tenses use the negative auxiliary.	i aːra ca v-eːlira		he didn’t go out		he(NOM) out not V-went	nichols1994	36		Maksim Melenchenko	2024-07-09T00:00:00Z	
42	Ingush	Standard Ingush	language	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	yes	-(â)c; -(â)ndz	nichols2011	308--311	“Indicative finite verbs are negated suffixally. For simple tenses built on the present stem, the suffix -(â)c is added to the infinitive stem, followed by any tense suffix. For tenses built on the past stem, -(â)ndz- is added to the infinitive stem, followed by any tense suffix. <…> In analytic tenses only the auxiliary appears in its negative form. Plain 'be' has irregular ablaut in its negative forms, as do most irregular verbs. The negative suffixes have high tone (§4.2), which falls on the preceding vowel stem vowel or epenthetic schwa. <…> For all other verb forms, negation is proclitic. In imperatives, my= precedes the conjugated verb form. It is interposed between that and any prefix or heavy element, but does not trigger reduplication in simple verbs (the lack of reduplication distinguishes it from otherwise homophonous emphatic my=). For nonfinites and converbs the negation is proclitic cy=, positioned the same as my= and likewise not requiring reduplication.”	xaac		do(es) not know		know.NEG	nichols2011	309		Maksim Melenchenko	2024-07-09T00:00:00Z	
43	Tsova-Tush	Zemo-Alvani	village	yes	yes	Verbal negation with suffixes	Verbal negation with suffixes	no		desheriev1953	253--254	Negative particle co, usually inserted before the verb. Prohibitive is ma- [holiskygagua1994: 182].	цо йахе	co yaxe	не пош:ла	did not go	co go.PST	desheriev1953	254		Maksim Melenchenko	2024-07-09T00:00:00Z	
