id	family	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	case governed by postposition	type of spatial case	instrumental	value_as_in_source	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
29	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	Comitative	case	Type of marking	spatial	Case form		aloc-essive	instrumental, absolutive with contact verbs (e.g. hit)		forker2013	98	can be used with postpositions q’wec’e/q’oc’e ‘together’, cadaq ‘with’, sadaq ‘together’	Sara Zadykyan, Chiara Naccarato	-de		hado Ø-eg wennu essu hagze-de q’ wec’e Ø-iň’i-yo gom	dem m-small brother they.obl-aloc(ess) together m-go-icvb be.neg	The youngest brother does not go with them	The youngest brother does not go with them	forker2013	98		43.40.00
30	East Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Comitative	case	Type of marking	spatial	Case form		apudessive?	instrumental	comitative	vandenberg1995	48		Sara Zadykyan, Chiara Naccarato	-ʁur		ože ok’ɑɑk' žin-do halmaǧ-li-ǧur	boy m-wander-prs refl.obl-ins friend-obl-com	the boy walks with his friend	The boy wanders with his friend	vandenberg1995	48		43.40.00
31	East Caucasian	Tsezic	Hunzib	Hunzib	language	no	no	Comitative	clitic	Type of marking	no_case	Case form					vandenberg1995	52		Sara Zadykyan, Chiara Naccarato	#ERROR!		ože ok'ɑɑk' žini-s halmaǧ-no=žun	boy m-wander-prs refl.obl-gen friend=add=com	the boy wanders with his friend	The boy wanders with his friend	vandenberg1995	52		43.40.00
32	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Comitative	case	Type of marking	instrumental	Case form			#NAME?		nichols2011	423		Sara Zadykyan, Chiara Naccarato	-ca		Yz kegiicha naaxa-ca waxeina vaagha	he young.obl people-ins dx-sit.cvant v.sit.prs	He's sitting with the young men	He's sitting with the young men	nichols2011	423		43.40.00
33	East Caucasian	Andic	Karata	Karata	village	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative		pasquereaudraft2020	NA (12)	Sara classifies this as a clitic; -k'en on page 58	Sara Zadykyan, Chiara Naccarato	-k'el (-k'en?)		den ɬo-k’el-ʕagi ʕurmi ge-da hač'e	I who.obl-com-indef life do-ipfv cop.neg	I do not live with anyone	I do not live with anyone	pasquereaudraft2020	NA (19)		43.40.00
34	East Caucasian	Andic	Karata	Tukita	village	no	yes	Comitative	case	Type of marking	comitative	Case form			ergative	послелог	gadzhieva2007	81, 82		Sara Zadykyan, Chiara Naccarato	-k'in		вохьащу-кIин йехьва йахьи		с мальчиком пришла девочка	A girl came with the boy	gadzhieva2007	136		43.40.00
35	East Caucasian	Khinalug	Khinalug	Khinalug	village	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative	совместный падеж	desheriev1959	24	spatial origin?	Sara Zadykyan, Chiara Naccarato	-škili		КIу шаь (эй) бый(и)-шкили кIалар ккуйетмаь		Он с нашим (моим) отцом в Кубу идет/едет	He's going with our father to Kuba	desheriev1959	24		43.40.00
36	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	Comitative	case	Type of marking	spatial	Case form		interessive	instrumental, absolutive with contact verbs (e.g. hit)		khalilova2009	80	can be used with the postposition hadal 'together'	Sara Zadykyan, Chiara Naccarato	-ɬ		(...) ø-ẽxe-yo di-ɬ (...)	m-come-imp I.obl.inter	(...) you come with me (...)	(...) you come with me (...)	khalilova2009	218		43.40.00
37	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	Comitative	case	Type of marking	instrumental	Case form			#NAME?		authier2009	213		Sara Zadykyan, Chiara Naccarato	-zina		riş gada-zina midfar-ik çi-u-ryu // ça-ba-reb	girl boy-ins wedding-sub go-f-prs.f // go-hpl-prs.hpl	La fille et le garçon s’en vont à la noce	The girl and the boy go to the wedding	authier2009	214		43.40.00
38	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Comitative	postposition	Type of marking	no_case	Case form	nominative/genitive		#NAME?		abdullaevaetal2014	376	instrumental semantics	Sara Zadykyan, Chiara Naccarato	bulan		Ону булан бирче бир тиштайпа да бар		С ним была еще одна женщина	With him there also was a woman	abdullaevaetal2014	377		43.40.00
39	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Comitative	case	Type of marking	comitative	Case form			instrumental, locative(s)		kazenin2013	8		Sara Zadykyan, Chiara Naccarato	-šːal		оърчI сси-щал къатлувун лавгунни		мальчик с сестрой в дом ушёл	A boy with his sister went into the house	zhirkov1955	42		43.40.00
40	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Comitative	postposition	Type of marking	no_case	Case form	postessive/absolutive		super (with different directionality suffixes), ad (with different directionality suffixes), absolutive with contact verbs (e.g. hit)		haspelmath1993	306	converb of the locative copula gala 'be behind'	Sara Zadykyan, Chiara Naccarato	galaz		(...) lezgi-jr.i-qʰ galaz (...)	Lezgian-pl-post(ess) with	(...) together with the Lezgians (...)	(...) together with the Lezgians (...)	haspelmath1993	225		43.40.00
41	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Comitative	postposition	Type of marking	no_case	Case form			#NAME?		baskakov1940	84	more variants; instrumental semantics	Sara Zadykyan, Chiara Naccarato	m(yn)an/m(yn)en		Бурун бир Нуруш мынан Шашлыхан болгъан		Давно, некий Нуруш и Шашлыхан жили	Once upon a time there lived some Nurush and Shashlykhan	baskakov1940	175		43.40.00
42	East Caucasian	Lezgic	Rutul	Mukhad	dialect_nt1	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		ibragimov2004	57	instrumental semantics	Sara Zadykyan, Chiara Naccarato	-xwan/-xan		диды-хьван зы базара йахъыри		c отцом я на базар пошел	I went to the market with (my) father	ibragimov2004	57		43.40.00
43	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Comitative	case	Type of marking	spatial	Case form		postcomitative	ergative, supercomitative		xanmagomedovshalbuzov2001	418	originally converb of the auxiliary	Sara Zadykyan, Chiara Naccarato	-q-di		Сабан адаш-ди-хъ-ди шагьриз гъушнийча		Однажды мы с отцом поехали в город	One day (my) father and I went to the city	alekseevshixalieva2003	45		43.40.00
44	Indo-European	Iranian	Tat	Judeo-Tat	dialect_toplevel	yes	yes	Comitative	postposition	Type of marking	no_case	Case form			#NAME?		authier2012	109	circumposition (locative proclitic e= + dative enclitic =(r)e + voz 'with'; instrumental semantics	Chiara Naccarato	e=X=revoz		e=tü=revoz e=biror-i=revoz zihis-de dan-üm	loc=2=ins loc=brother-msd=ins live-inf (subj)can-1	que je puisse vivre avec toi en toute fraternité	may I live with you in brotherhood	authier2012	109		44.41.00
45	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	Comitative	clitic	Type of marking	no_case	Case form			#ERROR!		magomedova2012	46, 58, 72, 198	alternatively considered as a particle or postposition; probably a frozen converb; occurs with the postposition sani 'together'	Chiara Naccarato	#ERROR!		deː k'ja sani ija o-w ħalt'ij-aː	I com together cop dem-m work-ipfv	He works with me	He works with me	authierdraft2020	NA		37.42.00
46	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	Comitative	case	Type of marking	comitative	Case form			ergative, comitative		sosenskaja1999post	124	can be used with postpositions; instrumental semantics	Sara Zadykyan, Chiara Naccarato	-kʷa		wa-kʷa sana	you.sg.obl-com together	с тобой вместе	together with you	sosenskaja1999post	124		43.40.00
47	East Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Comitative	case	Type of marking	spatial	Case form		apudessive	instrumental		bokarev1959	192	can be used with the postposition sadaq 'together'	Sara Zadykyan, Chiara Naccarato	-de		дей обийу мадугьан-де икIис Эшар		мой отец пошел с соседом в Шаури	My father went to Shauri with the neighbour	bokarev1959	192		43.40.00
48	East Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Comitative	case	Type of marking	comitative	Case form			instrumental = ergative	совместный падеж	desheriev1953	64	instrumental -w (= ergative) is also used with comitative meanings	Sara Zadykyan, Chiara Naccarato	-ci		даде-ци вуитIас МоскIови		с отцом еду я в Москву	I go to Moscow with (my) father	desheriev1953	64		43.40.00
49	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	Comitative	case	Type of marking	spatial	Case form		ablative	ergative, instrumental?		ganenkov2008	39	can be used with the postposition sagala 'together'	Sara Zadykyan, Chiara Naccarato	-χun		za-χun tac-i χüjar-moʁ-on=al zu=al pːaI kärän äči=jan=p-i.	I-abl go.away-aop yound.lady-pl-erg=add I=add two time dance=1pl=lv-aor	Девушки, которые пошли со мной, и я два раза танцевали	The girls who came with me and I danced twice	ganenkov2008	39		43.40.00
