id	family	group	lang	idiom	type	genlang_point	map	core	feature	syntactic_function_of_the_caritive_phrase	morphological_status_of_the_caritive_marker	value_as_in_source	value_origin	value1	value1_name	comment	source	page	contributor	form_as_in_source	form	example_as_in_source	example	gloss	translation_as_in_source	translation	example_source	example_page	example_comment	date
18	East Caucasian	Dargwa	Dargwa	Sanzhi	village	no	yes	no	adverbial caritive phrases	adjunct	word	non-spatial postposition akːʷar ‘without, except, apart’	negative copula	not having converb	Caritive marker in adverbial phrases	описывается как причастие, но используется и как обстоятельство	forker2020dargwa	158--159, 290	Anastasia Panova	akːʷar			libil durħ-ne wec’al durħuˁ xːunul akːʷ-ar ha-b-iq’-un-te=de c’il	all<hpl> boy-pl ten boy woman cop.neg-prs up-hpl-bring.up-pret-dd.pl=pst then	All children, ten children (he) rose without his wife then		forker2020dargwa	270		10.202
19	East Caucasian	Dargwa	Dargwa	Standard Dargwa	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	без(безо) предлог с род. п.	negative copula	not having converb	Caritive marker in adverbial phrases		isaev2001	88	Anastasia Panova	агарли			арц агарли калун		остался без денег		isaev2001	88		10.202
20	East Caucasian	Dargwa	Dargwa	Mehweb	village	no	yes	no	adverbial caritive phrases	adjunct	word	(no description)	negative copula	not having converb	Caritive marker in adverbial phrases		magometov1982	72	Anastasia Panova	agʷal-le			kung agʷal-le nu w-aˤq'-un-ra	book cop.neg-CVB I M-go:PFV-AOR-EGO	без книги я пошел /букв. книгу не имея/		magometov1982	72		10.202
21	East Caucasian	Dargwa	Dargwa	Tanty	village	no	yes	no	adverbial caritive phrases	adjunct	word	(no description)	negative copula	not having converb	Caritive marker in adverbial phrases		sumbatovalander2014	699--700	Anastasia Panova	akː˳-ar-le			macːa akː˳-ar-le ʕaˁ-qʼ-aˁ-d	овца neg.cop-th-conv neg-идти:ipf-th-1	Без овец не пойду		sumbatovalander2014	699--700		10.202
22	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	нареч. в значении без, не имея	negative copula	not having converb	Caritive marker in adverbial phrases	в русско-годоберинской части словаря записывается в одно слово	saidova2006	159	Anastasia Panova	ивучIа			къварагIил ивучIа		без нужды		saidova2006	159		10.202
23	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	deverbal expression that serves as postposition	negated Resultative participle form of the verb ‘be’	not having converb	Caritive marker in adverbial phrases	описывается как причастие, но используется и как обстоятельство	forker2013	392	Anastasia Panova	gosme			pikru=tow gosme Ø-iň’i-yo de	thought=EMPH without I-go-PRS I	I (masc.) go without thoughts.		forker2013	392		10.202
24	East Caucasian	Tsezic	Hunzib						adverbial caritive phrases	adjunct					Caritive marker in adverbial phrases				Anastasia Panova											10.202
25	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	deverbal postposition	participle or simultaneous converb of d.aac 'isn't', thus, 'not being'.	not having converb	Caritive marker in adverbial phrases		nichols2011	407	Anastasia Panova	d.oacazh			so joacazh ghogvaac hwo	1s J.be.CVsim go.FUT.V.NEG 2s	You won't go without me		nichols2011	509		10.202
26	East Caucasian	Andic	Karata	Karata	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	нареч. со значением без, не имея	negative copula	not having converb	Caritive marker in adverbial phrases		magomedovaxalidova2001	115	Anastasia Panova	гьачIеда			гIарсе гьачIеда		без денег		magomedovaxalidova2001	115		10.202
27	East Caucasian	Andic	Karata	Tukita	village	no	yes	no	adverbial caritive phrases	adjunct	word	без, не имея	negative copula	not having converb	Caritive marker in adverbial phrases		gadzhieva2007	35	Anastasia Panova	гьачIибах										10.202
28	East Caucasian	Khinalug	Khinalug	Khinalug	village	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	азербайджанский послелог, употребляющийся в функции послелога аттонундаь. может слиться с именем в единое слово с одним словесным ударением	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	desheriev1959	32	Anastasia Panova	-сыз			ХIунаъш са ксан чхи цIвасыз гаьхин ккуидимаь		Он без одного хорошего большого дома жить не может		desheriev1959	32		10.202
29	East Caucasian	Khinalug	Khinalug	Khinalug	village	no	no	yes (neg cop)	adverbial caritive phrases	adjunct	word	"послелог """"без, не имея"""""	negative copula	not having converb	Caritive marker in adverbial phrases	может сливаться с зависимым; used both in the attributive and adverbial construction (cf. Ganieva 2002: 130, 45)	desheriev1959	31--32	Anastasia Panova	аттонундаь			ХIу шаь бый аттонундаь хIинел лагудимаь		Он без нашего отца туда не пойдет || не поедет		desheriev1959	31		10.202
30	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	(no special description)	negative copula	not having converb	Caritive marker in adverbial phrases		khalilova2009	215	Anastasia Panova	gobič			yaraɣi gobič λux-un židu, λ’bahi-dow himon-uč gobič	weapon be.PRS.NEG.CVB stay-PST.UW that.PL.(D)ABS shoot-GNT.PTCP thing-EMPH be.PRS.NEG.CVB	They were left without weapons, without shooting things		khalilova2009	215	надстрочная лабиализация потерялась	10.202
31	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	Le suffixe privatif -suz (azéri) permet non seulement la formation d’adverbes mais d’adjectifs sur tout support nominal	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	authier2009; authier2010	70; 26--27	Anastasia Panova	-suz			zin Nardan Xatun-suz yaşamiş şa-va-yda-b zin	1 Nardan Khatun-without living be-F-FUTNEG-F 1	Je ne pourrai pas vivre sans Grain-de-Grenade.		authier2009	70		10.202
32	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	(no special description)	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases		abdullaevaetal2014	458	Anastasia Panova	-сыз, -сиз, -суьз			Янгурсуз ашлыкълар болмас		Без дождя посевы не вырастут		abdullaevaetal2014	458		10.202
33	East Caucasian	Lak	Lak	Standard Lak	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	(no special description)	negative copula	not having converb	Caritive marker in adverbial phrases		kazenin2013	280	Anastasia Panova	дакъа			Нагу дакъа душурваврал баймур цир		ЧТО без меня делать дочерям?		kazenin2013	280		10.202
34	East Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	yes	adverbial caritive phrases	adjunct	word	postposition derived from converb	negation + locative copula 'be at' (ТА: статив (с превербом) +  -č отрицание + -iz деепричастие)	not having converb	Caritive marker in adverbial phrases	отрицательный комитатив	haspelmath1993	226	Anastasia Panova	galačiz, gwačiz			čna ferma.d-a wun galačiz wuč-na-t'a kilig-a!	[we:ERG farm-INESS you:ABS without what.do-AOR-CND] look-IMPV	Look what we did on the farm without you.'		haspelmath1993	226		10.202
35	Turkic	Kipchak	Nogai						adverbial caritive phrases	adjunct					Caritive marker in adverbial phrases				Anastasia Panova											10.202
36	East Caucasian	Lezgic	Rutul	Standard Rutul	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	(no special description)	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	ismailova2011	30	Anastasia Panova	-сыз			аллагьсыз		безбожно, бессовестно		ismailova2011	30		10.202
37	East Caucasian	Lezgic	Rutul	Standard Rutul	language	no	no	yes (neg cop)	adverbial caritive phrases	adjunct	word	предлог без, безо	"деепричастие от адиш (= отр. бытийный глагол (статив) """"быть""""), диш (= отр. связка), хадиш (= отр. статив с префиксом """"APUD"""" (в частности, обозначает обладание))"	not having converb	Caritive marker in adverbial phrases		ismailova2011	30	Anastasia Panova	адишне, дишне, хадишне			танга хадишне		без денег		ismailova2011	30		10.202
38	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	(no separate lexical entry)	? + адвербиалис	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	xanmagomedovshalbuzov2001	69	Anastasia Panova	-сузди			аьмалсузди		просто, бесхитростно		xanmagomedovshalbuzov2001	69		10.202
39	East Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	no	no	yes (neg cop)	adverbial caritive phrases	adjunct	word	(no separate lexical entry)		not having converb	Caritive marker in adverbial phrases		xanmagomedovshalbuzov2001	111	Anastasia Panova	адарди			инсанар хал-йишв адарди гъйтуб		оставить людей без крова над головой		xanmagomedovshalbuzov2001	111		10.202
40	East Caucasian	Andic	Tindi	Tindi	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	"суффиксоид в значении послелога """"без кого-чего л."""", """"не имея""""; в значении послелога """"без"""""	negative copula	not having converb	Caritive marker in adverbial phrases		magomedova2012; magomedova2003	224; 163	Anastasia Panova	гьикI'ēлъи			и(н)карикI'ēлъи		безотказно		magomedova2012	244	н надстрочное и черты над буквами	10.202
41	East Caucasian	Lezgic	Tsakhur	Mishlesh	village	yes	yes	yes	adverbial caritive phrases	adjunct	word	обозначает отсутствие сопровождающего предмета	деепричастие от отрицательной связки	not having converb	Caritive marker in adverbial phrases	отрицательный комитатив. На 481 стр. отглоссирован как не.быть-АА.	kibrik1999	111--112, 197--198	Anastasia Panova	dena			zɨ aX-u-na sa balkan dena	я.1 1.оставаться-PF-AA один лошадь.3 NEG.NA	Я остался без единой лошади		kibrik1999	111		10.202
42	East Caucasian	Tsezic	Tsez	Asakh	dialect_nt1	yes	yes	yes	adverbial caritive phrases	adjunct	word	(no special description)	negative copula	not having converb	Caritive marker in adverbial phrases	не уверена, что конверб, ср. причастие из Кедеро	comriepolinsky2007	82	Anastasia Panova	ānu-si			[ɣalat’ ānu-si cäx-ru-(łi)]-ce bac’adaw	mistake PRS.NEG-ATTR write-PST.PTCP-NMLZ-EQUAT clean	clean like a piece written without any mistak		comriepolinsky2007	82		10.202
43	East Caucasian	Lezgic	Udi	Nizh	village	yes	yes	yes	adverbial caritive phrases	adjunct	suffix	заимствованный из азербайджанского каритивный суффикс	?	dedicated suffix/clitic ( ~ lessly)	Caritive marker in adverbial phrases	borrowing from Turkic	alekseevetal2008	137	Anastasia Panova	-suz			zu nu-eʁ-aji=z, za-suz tak-i=nan.	я NOT=приходить-COND=1SG я-без уходить-IMP=2PL		Если я не приду, идите без меня	alekseevetal2008	136		10.202
