id	family 	group	lang	idiom	type	genlang_point	map	feature	expression_type	value_in_source	value_semantics	dictionary_value	dictionary_source	value1	value1_name	value2	value2_name	lexical_verb_form	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment	date
36	East Caucasian	Dargwa	Dargwa	Kubachi	village	no	yes	Causative expression type	suffixal auxiliary	каузативные формы образуются при помощи глагола	overcome	?		suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	magometov1963	214		Daria Izmalkova	-aqij;-iqij		bis-aqij	заставить продать	force to sell	sell-overcome.?INF	magometov1963	214		6.2023
37	East Caucasian	Dargwa	Dargwa	Tanty	village	no	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	sumbatovalander2014	109	“Степень грамматикализованности каузативных показателей сильно различается по даргинским идиомам.“	Daria Izmalkova	-aq-		neš-li durħaˁ hajcː-aq-ur	Мама велела мальчику встать	The mother told the boy to stand up	mother-ERG boy UP+(M)+stand_up:PF-CAUS-PRET	sumbatovalander2014	109		6.2023
38	East Caucasian	Dargwa	Dargwa	Itsari	village	no	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	sumbatovamutalov2003	62		Daria Izmalkova	-aq-;-aˁq-		t:at:i-l anwar-ri-c:i it rirs:i qum.ert-aq-ur	Father forced Anwar to forget this girl	Father forced Anwar to forget this girl	father-ERG Anwar-OBL-ILLAT this girl forget:PF-CAUS-PRET	sumbatovamutalov2003	115		6.2023
39	East Caucasian	Dargwa	Dargwa	Tsugni	village	no	yes	Causative expression type	stress shift	сдвиг ударения				morphological	Extent of boundedness	morphological & light verb & suffixal auxiliary	Attested expression types	?	sulaibanovsumbatova2022	110--111		Daria Izmalkova	?		it-i-li gal-li-j če-b-ag-íb ʡiχliq’aˤn	Он показал ребенку птицу	He showed the child a bird	this-OBL-ERG child-OBL-DAT ON-N-see.PFV-PRET(CAUS) bird	sulaibanovsumbatova2022	122	этот-obl-erg ребенок-obl-dat on-n-видеть.pfv-pret(caus) птица	6.2023
40	East Caucasian	Dargwa	Dargwa	Tsugni	village	no	no	Causative expression type	suffixal auxiliary	сложный глагол	drive	?		morphological	Extent of boundedness	morphological & light verb & suffixal auxiliary	Attested expression types	stem	sulaibanovsumbatova2022	128	“спорадическое использование“	Daria Izmalkova	aʁ;iʁ		b-ucː-aʁ-í	чинить, заставлять работать	fix, force to work	N-work.IPFV-drive-INF	sulaibanovsumbatova2022	128		6.2023
41	East Caucasian	Dargwa	Dargwa	Tsugni	village	no	no	Causative expression type	light verb	каузативный матричный глагол	drive	?		morphological	Extent of boundedness	morphological & light verb & suffixal auxiliary	Attested expression types	infinitive	sulaibanovsumbatova2022	128	“спорадическое использование“	Daria Izmalkova	aʁ;iʁ		il-i-li šawg rurq- há-jʁ-u	Она вскипятит кастрюлю	She will boil a pot	this-OBL-ERG pot boil.IPFV-INF UP-drive.IPFV-TH	sulaibanovsumbatova2022	128		6.2023
42	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	hewitt1995	215		Daria Izmalkova	-in;-ev-in	?	?							6.2023
43	East Caucasian	Andic	Godoberi	Godoberi	village	yes	yes	Causative expression type	light verb	analytic construction	put	сажать;запирать;ставить;вешать;откладывать;переносить;заставлять что-л. делать;возлагать на кого-то;перепоручать кому-то;подпускать;объединять кого-л.	saidova2006	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	kibriketal1996	134	The same verb is used in Botlikh. 	Daria Izmalkova	t’ami		im-u-di rasul zini b=aq’al-al-i t’ami	Father made Rasul hide the cow	Father made Rasul hide the cow	father-OBL-ERG Rasul cow N=hide-CAUS-INF cause.PST	kibriketal1996	134		6.2023
44	East Caucasian	Andic	Godoberi	Godoberi	village	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	kibriketal1996	117		Daria Izmalkova	-ali		rasul-di zini b=aq’as-ali	Rasul hid the cow	Rasul hid the cow	Rasul-ERG cow N=hide-CAUS.PST	kibriketal1996	134		6.2023
45	East Caucasian	Tsezic	Hinuq	Hinuq	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb & suffixal auxiliary	Attested expression types	stem	forker2013	324		Daria Izmalkova	-r-;-er-		iyo-y Pat’imat-qo kaɣat cax-er-iš	Mother made Patimat write the letter.	Mother made Patimat write the letter.	mother-ERG Patimat-AT letter write-CAUS-PST	forker2013	325		6.2023
46	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	forker2013	326	“The suffix -k’ (-ek’ after consonants) is added to the stems of adjectives, adverbials/postpositions, and a few verbs.“	Daria Izmalkova	-k'-;-ek'-		“de”=ƛen eƛi-n “mihna-y y-ik’ek’-iš zoq’e-s”=ƛen eƛi-n	“A bird stole me,” she said.	“A bird stole me,” she said.	I=QUOT say-CVB bird-ERG II-steal-RES be-PST=QUOT say-CVB	forker2013	505		6.2023
47	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal auxiliary	serial verb construction	?	?	xalilovisakov2005	morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	forker2013	339	“These are actually serial verb constructions consisting of a verbal stem followed by the verb tok’er-, which takes the inflectional suffixes...“ couldn't find the verb in the dictionary, however causativized verbs formed with it are present 	Daria Izmalkova	tok’er-		hoboy hezzo ɬe=n qorya: tok'er	After that you also make the water boil.	After that you also make the water boil.	then then water=and  boil force	forker2013	339		6.2023
48	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	suffixal auxiliary	light verb	do			morphological	Extent of boundedness	morphological & light verb	Attested expression types	?	forker2013	333	transitivizing construction usually resulting in causative meaning	Daria Izmalkova	CM-u:-		haze xexza-y bak’arzi b-u:-s hayɬo-s q’idi-š geni	The children collected the pears from the ground	The children collected the pears from the ground	these.OBL child.PL.OBL-ERG collect III-do-PST he.OBL-GEN1 	forker2013	335		6.2023
49	East Caucasian	Tsezic	Hinuq	Hinuq	village	no	no	Causative expression type	light verb	periphastic construction	force	?	xalilovisakov2005	morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	forker2013	507	“ This verb expresses not simple causation but causation with force and compulsion. The causee does not act voluntarily“	Daria Izmalkova	t’amizi -u:		hayɬoy eli t'amizi b-u:-s χabar ɬaq’e-r-a	He forced us to finish our conversation	He forced us to finish our conversation	he.ERG we force HPL-do-PST story finish-CAUS-INF	forker2013	507		6.2023
50	East Caucasian	Tsezic	Hunzib	Hunzib 	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	vandenberg1995	107		Daria Izmalkova	-k(V)		iyu-l y-arče-k'-er kid	mother woke up the daughter	mother woke up the daughter	mother-ERG 2-get.up-CAUS-PRET girl/2	vandenberg1995	107		6.2023
51	East Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Causative expression type	suffixal auxiliary	suffixal	do 	делать;сделать;родить	bekovaetal2009;kurkiev2005	suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	nichols2011	486	direct causative	Daria Izmalkova	-d.u		Cuo sy loalaxuo qiera-vyr sogh	He made my neighbor get scared of me. He provoked fear of me in my neighbor.	He made my neighbor get scared of me. He provoked fear of me in my neighbor.	3s.ERG 1s.GEN neighbor fear-V.CAUS.WP 1s.LAT	nichols2011	487		6.2023
52	East Caucasian	Nakh	Ingush	Standard Ingush	language	no	no	Causative expression type	suffixal auxiliary	suffixal	leave	оставлять	bekovaetal2009;kurkiev2005	suffixal auxiliary	Extent of boundedness	only suffixal auxiliary	Attested expression types	stem	nichols2011	488	indirect causative	Daria Izmalkova	-iit;-it		Aaz cyn kuorta laziit	I'm giving him a headache (by doing something to make his head ache, e.g. making noise, annoying him, etc.)	I'm giving him a headache (by doing something to make his head ache, e.g. making noise, annoying him, etc.)	1s.ERG 3s.GEN head ache-CAUS.ind.PRS	nichols2011	489		6.2023
53	East Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	magomedbekova1971	140	 al в токитинском диалекте 	Daria Izmalkova	-a		gwar-a:-ɬa	заставить писать	force to write	write-CAUS-INF	magomedbekova1971	141		6.2023
54	East Caucasian	Andic	Karata	Karata	dialect_toplevel	no	no	Causative expression type	light verb?	описательная форма	let	пускать;пропускать;впускать;выпускать;отпускать;приводить в движение;вводить (одно вещество в другое);наносить (одно вещество на другое);распускать корни;отправлять что-л. кому-л.;издавать (книгу);распространять что-л.;случать (овец);роиться (о пчелах);выводить (птенцов);заставлять или давать возможность кому-л. совершать действие	magomedovaхalidova2001	morphological	Extent of boundedness	morphological & light verb	Attested expression types	настоящее общее	magomedbekova1971	141		Daria Izmalkova	it-aɬ-a		boq'-ida it-ida	заставляет отрезать	forces to cut	cut-PRES let-PRES	magomedbekova1971	142		6.2023
55	East Caucasian	Khinalug	Khinalug	Khinalug	village	yes	yes	Causative expression type	light verb	вспомогательный глагол	sell	продавать что-л.;заставлять что-л. делать;предавать кого-л.	ganieva2002	light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	desheriev1959	114		Daria Izmalkova	ček'iri	?	?							6.2023
56	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	Attested expression types	stem	khalilova2009	271--275	алломорфия обусловлена стрктурой слога и звуком на который оканчивается корень	Daria Izmalkova	-χ;-k'		išet’-i iɬes q’ala λus-χ-i.	The mother made her child fall asleep.	The mother made her child fall asleep.	mother.OBL-ERG that.GEN1 child sleep-CAUS1-PST.W	khalilova2009	341		6.2023
57	East Caucasian	Tsezic	Khwarshi	Kwantlada	village	no	no	Causative expression type	light verb	light verb	let	?		morphological	Extent of boundedness	morphological & light verb	Attested expression types	infinitive	khalilova2009	340--341	“Analytical causatives are less productive in the language“	Daria Izmalkova	CM-ešt’a		ɣinaza Muħamad-qa židuli barkala iλ-a b-ešt’-i.	The women made Magomed thank them	The women made Magomed thank them	woman.PL.OBL.ERG Magomed-CONT that.PL.(D)LAT thanks(III) give-INF III-let-PST.W	khalilova2009	341		6.2023
58	East Caucasian	Lezgic	Kryz	Alik	village	yes	yes	Causative expression type	light verb	analytic construction	do	?		light verb	Extent of boundedness	only light verb 	Attested expression types	?participle	authier2009	172	there is no synthetic causative, “do“ is for intransitives	Daria Izmalkova	aric		xinib.c-ir furi ʕu-r-ğar-a ar-id	La femme persuada son mari.	The woman persuaded her husband.	wife-E man PV-M-believe-A do-AOR.M	authier2009	173		6.2023
59	East Caucasian	Lezgic	Kryz	Alik	village	no	no	Causative expression type	light verb	analytic construction	give	?		light verb	Extent of boundedness	only light verb 	Attested expression types	infinitive	authier2009	314	derived from transitives	Daria Izmalkova	vuyic		a-d zindan.c-a ʕa-r-ğu-z vu-yid	Il l’a fait jeter en prison.	He had him thrown in jail.	3-notN prison-IN PV-M-force.in-INF give-AOR.M	authier2009	314		6.2023
60	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	Attested expression types	stem	abdullaevaetal2014	279	the usage of -tyr;-tir;-tur;-tUr,  -Guz;-giz, -Gar;-ger, -set, -dar is much more restricted	Daria Izmalkova	-dɯr;-dir;-dur;-dyr		yaz-dɯr	заставить писать	force to write	write-CAUS	khangishiev(abdullaevaetal2014)	279		6.2023
